ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100002F000126A6	Dialogue Text	LAIR / Door to Outside	Kim Kitsuragi	The lieutenant clears his throat. "Detective -- aren't you forgetting something?"	警督清了清喉咙。“警探——你是不是忘了什么？”
0x0100002F000126B5	Dialogue Text	LAIR / Door to Outside	Kim Kitsuragi	"Her journal? We should probably leaf through it. Might learn something useful."	“你指的是她的日记？我们应该翻阅一遍。也许能找到什么有用的东西。”
0x0100002F000126BC	Dialogue Text	LAIR / Door to Outside	Kim Kitsuragi	"We still need to investigate the scene. Remember?"	“我们还要调查现场。还记得吗？”
0x0100002F000126C7	Dialogue Text	LAIR / Door to Outside	You	"Of course. I was just testing you, to see if *you* remembered."	“当然了。我这是在考你呢，看看*你*记不记得。”
0x0100002F000126CC	Dialogue Text	LAIR / Door to Outside	You	"Aw, can't you do it Kim? I'm wiped out."	“噢，就不能你来吗，金？我已经没力气了。”
0x0100002F000126D1	Dialogue Text	LAIR / Door to Outside	You	"Sorry!" (Hit your head.) "I forgot."	“抱歉！”（敲敲自己的脑袋。）“我忘了。”
0x0100002F000126D6	Dialogue Text	LAIR / Door to Outside	Kim Kitsuragi	The lieutenant only shakes his head. "Let's just do it, shall we?"	警督只是摇了摇头。“我们赶紧动手吧，好吗？”
0x0100002F000126EB	Dialogue Text	LAIR / Door to Outside	Kim Kitsuragi	"We still have to deal with her..." He adjusts his coat. "Not pleasant, I know. But we can't leave her like that. And we have to investigate the scene, too."	“我们还要处理她的遗体……”他摆弄了一下大衣。“我知道，这不是什么愉快的活计，不过我们不能就这样放着她不管，而且我们还有现场要调查呢。”
0x0100002F000126F2	Dialogue Text	LAIR / Door to Outside	You	"But it's so sad, Kim. Too sad for me!"	“但是实在是太悲伤了，金。我太悲伤了！”
0x0100002F000126F8	Dialogue Text	LAIR / Door to Outside	You	"I'd rather go outside and have a beer right now."	“我宁愿现在就出去喝杯啤酒。”
0x0100002F000126FD	Dialogue Text	LAIR / Door to Outside	You	"Yeah, you're right. Let's get it over with."	“你说得对，咱们赶紧把这事儿了了吧。”
0x0100002F0001270A	Dialogue Text	LAIR / Door to Outside	Kim Kitsuragi	"Be that as it may, it doesn't change the fact. We have a duty to her. Let's see it through." He gestures back toward the tunnels. "After you."	“就算如此也无法改变这个事实：我们对她是有责任的。干活吧。”他朝着后面的隧道做了个手势。“你先走。”
0x0100002F00012717	Dialogue Text	LAIR / Door to Outside	Kim Kitsuragi	He gestures back toward the tunnels. "After you."	他朝着后面的隧道比了个手势。“你先走。”
0x0100002F0001271F	Dialogue Text	LAIR / Door to Stairwell	You	"Sorry!" (Hit your head.) "I forgot."	“抱歉！”（敲敲自己的脑袋。）“我忘了。”
0x0100002F00012725	Dialogue Text	LAIR / Door to Stairwell	Kim Kitsuragi	"We still have to deal with her..." He adjusts his coat. "Not pleasant, I know. But we can't leave her like that. And we have to investigate the scene, too."	“我们还要处理她的遗体……”他摆弄了一下大衣。“我知道，这不是什么愉快的活计，不过我们不能就这样放着她不管，而且我们还有现场要调查呢。”
0x0100002F0001272B	Dialogue Text	LAIR / Door to Stairwell	Kim Kitsuragi	"Be that as it may, it doesn't change the fact. We have a duty to her. Let's see it through." He gestures back toward the tunnels. "After you."	“就算如此也无法改变这个事实：我们对她是有责任的。干活吧。”他朝着后面的隧道做了个手势。“你先走。”
0x0100002F00012731	Dialogue Text	LAIR / Door to Stairwell	You	"Aw, can't you do it Kim? I'm wiped out."	“呃，不能你来吗，金？我已经没力气了。”
0x0100002F00012737	Dialogue Text	LAIR / Door to Stairwell	Kim Kitsuragi	The lieutenant only shakes his head. "Let's just do it, shall we?"	警督只是摇摇头。“我们赶紧动手吧，好吗？”
0x0100002F0001273D	Dialogue Text	LAIR / Door to Stairwell	You	"But it's so sad, Kim. Too sad for me!"	“但是实在是太悲伤了，金。我太悲伤了！”
0x0100002F00012745	Dialogue Text	LAIR / Door to Stairwell	Kim Kitsuragi	"Her journal? We should probably leaf through it. Might learn something useful."	“你指的是她的日记？我们应该翻阅一遍。也许能找到什么有用的东西。”
0x0100002F0001274B	Dialogue Text	LAIR / Door to Stairwell	Kim Kitsuragi	"We still need to investigate the scene. Remember?"	“我们还要调查现场。还记得吗？”
0x0100002F00012751	Dialogue Text	LAIR / Door to Stairwell	You	"Of course. I was just testing you, to see if *you* remembered."	“当然了。我这是在考你呢，看看*你*记不记得。”
0x0100002F0001275C	Dialogue Text	LAIR / Door to Stairwell	You	"I'd rather go outside and have a beer right now."	“我宁愿现在就出去喝杯啤酒。”
