ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000510000285D	Dialogue Text	RACIST / FASCHA DQ FOLDER	You	"I'm trying to turn back time. Can you help me, bröther?"	“我想要时间倒流。你可以帮我吗，兄弟”
0x010000510000286A	Dialogue Text	RACIST / FASCHA DQ FOLDER	Kim Kitsuragi	"You've got to be kidding me..." The lieutenant rubs his forehead as if hit by a sudden migraine. "What is this, detective?"	“你是在开玩笑吧……”警督揉了揉额头，仿佛突然偏头痛发作一样。“怎么回事，警探？”
0x0100005100002871	Dialogue Text	RACIST / FASCHA DQ FOLDER	Racist lorry driver	"Oh, yeah?" He looks intrigued.	“哦，嗯？”他看上去很感兴趣。
0x0100005100002878	Dialogue Text	RACIST / FASCHA DQ FOLDER	Racist lorry driver	"Mhmhm, I see..." The lorryman takes a long drag from his cigarette.	“唔，我明白了……”货車司机深深地吸了一口烟。
0x0100005100002895	Dialogue Text	RACIST / FASCHA DQ FOLDER	Kim Kitsuragi	"This again, really?" The lieutenant looks frustrated.	“又来？你认真的吗？”警督看上去很沮丧。
0x01000051000028AB	Dialogue Text	RACIST / FASCHA DQ FOLDER	You	"Bear with me, Kim, this could be very important."	“请多包涵一下，金，这个真的很重要。”
0x01000051000028B1	Dialogue Text	RACIST / FASCHA DQ FOLDER	You	"Relax, Kim, it'll only be a minute."	“没事的，金，一会就好。”
0x01000051000028B7	Dialogue Text	RACIST / FASCHA DQ FOLDER	You	"My gut tells me he's exactly the kind of guy I'm looking for." (Wink at the lorryman.)	“我的直觉告诉我，他就是我要找的人。”（朝货車司机眨眨眼。）
0x01000051000028C0	Dialogue Text	RACIST / FASCHA DQ FOLDER	Kim Kitsuragi	"I promise, he isn't." He lets out a sigh. "Just please make it quick, I'll organise my notes in the meantime."	“我可以保证不是他。”他叹了口气。“总之快点吧，我正好整理一下笔记。”
0x01000051000028C8	Dialogue Text	RACIST / FASCHA DQ FOLDER	Kim Kitsuragi	"No, it won't be." He lets out a sigh. "And even if it were, it would be a waste of a minute. Just please make it quick, I'll organise my notes in the meantime."	“不，不是的。”他叹了口气。“就算是，也只会浪费一分钟的时间。总之快点吧，我正好整理一下笔记。”
0x01000051000028CF	Dialogue Text	RACIST / FASCHA DQ FOLDER	Kim Kitsuragi	"I promise you, it isn't." He lets out a sigh. "Just please make it quick, I'll organise my notes in the meantime."	“我可以保证，不是的。”他叹了口气。“总之快点吧，我正好整理一下笔记。”
0x01000051000028D8	Dialogue Text	RACIST / FASCHA DQ FOLDER	You	"You seem like a man who knows what's *really* going on."	“你像是了解事情*真相*的人。”
