ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000200001356	Dialogue Text	ICE / ACELE	You	"I'll help you all right."	“我会帮助你的。”
0x010000020000135C	Dialogue Text	ICE / ACELE	You	"I didn't see a case in the church story."	“我在教堂没听说过这种情况。”
0x0100000200001362	Dialogue Text	ICE / ACELE	You	"I've yet to make up my mind."	“我还没想好呢。”
0x01000004000012E9	Dialogue Text	ICE / ACELE	Acele	A shaggy-looking girl in her late teens or early twenties kneels on the ice with an electronic contraption in her hand. Hearing you approach, she looks up.	一个十几或二十出头的、头发蓬乱的女孩正跪在冰上，手中拿着一个电子装置。听到你走近，她抬起头来。
0x0100000400001307	Dialogue Text	ICE / ACELE	You	"Dear child, it's freezing. Where's your hat?"	“亲爱的小朋友，这里真冷啊。你的帽子呢？”
0x010000040000130D	Dialogue Text	ICE / ACELE	You	"So, you wanna *party*?"	“所以，你想参加*派对*吗？”
0x0100000400001313	Dialogue Text	ICE / ACELE	You	"I have some questions for you."	“我有几个问题想问。”
0x010000040000131C	Alternate1	ICE / ACELE	Acele	"Huh?"	“哈？”
0x010000040000131C	Dialogue Text	ICE / ACELE	Acele	"Huh?" She looks up at you, distracted.	“哈？”她心烦意乱地抬头看着你。
0x0100000400001323	Dialogue Text	ICE / ACELE	You	"I said, you should have a hat on."	“我是说，你应该戴上帽子。”
0x010000040000132A	Dialogue Text	ICE / ACELE	Empathy	It's cold out here, but she's not wearing a hat! She must be freezing.	外面天寒地冻，她却没戴帽子！她一定冻坏了。
0x0100000400001334	Dialogue Text	ICE / ACELE	Acele	"So should you."	“你也一样。”
0x010000040000133B	Dialogue Text	ICE / ACELE	You	"Come to think of it -- I *should*. Where would I get one around here?"	“仔细想想——我的确*需要*。这附近哪里能买到呢？”
0x0100000400001341	Alternate1	ICE / ACELE	You	"But I am!" (Point at your hat.)	“但我有戴呀！”（指着你的帽子。）
0x0100000400001341	Dialogue Text	ICE / ACELE	You	"I should -- and I do." (Point at your hat.)	“我要的——我也有。”（指着你的帽子。）
0x0100000400001357	Dialogue Text	ICE / ACELE	Acele	"I don't know, some kind of a... store?" She pauses to think. "Maybe a general store... Look man, fuck the hat."	“我不知道，某个……店里吧？”她停下来思索了一会儿。“杂货店里可能会有……听着老兄，干你的帽子去吧。”
0x010000040000147A	Dialogue Text	ICE / ACELE	You	"Is that kind of language really necessary?"	“这样的用语真的合适吗？”
0x010000040000148D	Alternate1	ICE / ACELE	You	"*I* don't have to do anything. I am the law. *You* have to do what the law says."\n	“*我*不需要做任何事。我就是法律。反倒是*你*，必须按照法律说的做。”
0x010000040000148D	Dialogue Text	ICE / ACELE	You	"*I* don't have to do anything, I'm a police officer. *You*, however, have to do what I say."	“我不需要做任何事，我是个警察。反倒是*你*，必须按照我说的去做。”
