ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000200005AF6	Dialogue Text	HQ / EXIT BULLET difficult	Empathy	Think what you want, but, in your gut, you know otherwise.	想想你要什么，但是你的直觉告诉你，你知道不是这么回事。
0x0100000200005B02	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	"Either way," he looks at the bullet again, "this is enough to confront her with."	“不管怎么说，”他又看了一眼子弹，“这已经足够跟她当面对峙了。”
0x0100000200005B0A	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	"That's a big leap, but from what I've heard, this Ruby sounds pretty desperate. Either way," he looks at the bullet again, "this is enough to confront the washerwoman."	“这是个重大突破，但是根据我听到的消息，这位露比好像很绝望。不管怎么说，”他又看了一眼子弹，“这已经足够跟那位洗衣女工当面对峙了。”
0x0100000200005B10	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	"That's something of a leap -- but we should be on our guard. Either way," he looks at the bullet again, "this is enough to confront the washerwoman."	“这是个重大突破——但是我们应该警惕些。不管怎么说，”他又看了一眼子弹，“这已经足够跟那位洗衣女工当面对峙了。”
0x01000016000091B6	Dialogue Text	HQ / EXIT BULLET difficult	You	"Possibly."	“有可能。”
0x010000160000A429	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	"See anything interesting?"	“发现什么有意思的东西了吗？”
0x010000160000A430	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	The lieutenant nods.	警督点点头。
0x010000160000A438	Dialogue Text	HQ / EXIT BULLET difficult	Visual Calculus	The edge of a floorboard next to it looks scratched.	旁边地板的边缘好像被划过。
0x010000160000A44A	Dialogue Text	HQ / EXIT BULLET difficult	You	What is it?	是什么？
0x010000160000A466	Dialogue Text	HQ / EXIT BULLET difficult	You	"Look, a bullet! Not for a breechloader, though..."	“看，一颗子弹！不过不是后膛枪的……”
0x010000160000A46C	Dialogue Text	HQ / EXIT BULLET difficult	You	"Lieutenant, a bullet!"	“警督，是一颗子弹！”
0x010000160000A472	Dialogue Text	HQ / EXIT BULLET difficult	You	This bullet isn't for a breechloader like the murder weapon?	这颗子弹不是凶器那种后膛枪用的？
0x010000160000A478	Dialogue Text	HQ / EXIT BULLET difficult	You	A bullet, interesting.	一颗子弹，有意思。
0x010000160000A483	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	The lieutenant studies the bullet in your hand. "Still, interesting."	警督仔细研究手中的子弹。“不过，还是很有意思。”
0x010000160000A48A	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	"Yes, for muzzleloaders like the ones officers of the RCM carry. Interesting."	“是啊，RCM警官配的那种前膛枪用的。有意思。”
0x010000160000A491	Dialogue Text	HQ / EXIT BULLET difficult	You	"What do you think it's doing here?"	“你觉得它为什么会在这里？”
0x010000160000A499	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	"Someone hid it as extra ammunition?"	“有人藏起来，当做备用弹药？”
0x010000160000A4A0	Dialogue Text	HQ / EXIT BULLET difficult	You	"Ruby?"	“露比？”
0x010000160000A4A7	Dialogue Text	HQ / EXIT BULLET difficult	Kim Kitsuragi	"I don't know, could be. The washerwoman was clearly withholding something -- and she *does* rent this place out to people."	“不清楚，也许吧。那个洗衣女工肯定有所隐瞒——她*确实*把这个地方租给了别人。”
0x010000160000A4AE	Dialogue Text	HQ / EXIT BULLET difficult	You	"Let's go, then." [Leave.]	“那我们走吧。”[离开。]
0x010000160000A4B8	Dialogue Text	HQ / EXIT BULLET difficult	Loose Floorboard	The floorboard isn't interested -- maybe the Washerwoman is? You have enough to confront her with.	这块地板不感兴趣——也许洗衣女工会呢？现在掌握的信息已经足够和她对峙了。
0x010000160000A4BE	Dialogue Text	HQ / EXIT BULLET difficult	Loose Floorboard	The floorboard doesn't care -- but maybe the Washerwoman does? You have enough to confront her with.	这块地板没什么好关注的——也许应该去找那个洗衣女工？现在掌握的信息已经足够和她对峙了。
0x010000160000A4C6	Dialogue Text	HQ / EXIT BULLET difficult	Hand/Eye Coordination	It's extra ammunition. She's locked and loaded, ready to fight some cops.	这是备用弹药。她已经锁定目标，准备跟警察对着干了。
0x010000160000A4DF	Dialogue Text	HQ / EXIT BULLET difficult	Empathy	Holding the bullet, you get the feeling -- this isn't ammunition against you. It's for herself.	握着手中的子弹，你有一种感觉——这枚子弹不是用来对付你的。是她留给自己的。
0x010000160000A4F5	Dialogue Text	HQ / EXIT BULLET difficult	You	Seems to me like someone is armed and waiting for us.	看来有人全副武装，就等着我们了。
0x010000160000A4FB	Dialogue Text	HQ / EXIT BULLET difficult	You	"Kim, I think this is extra ammunition against us."	“金，我觉得这些备用弹药是用来对付我们的。”
0x010000160000A501	Dialogue Text	HQ / EXIT BULLET difficult	You	"I think this is a last resort -- a bullet in case suicide becomes an option."	“我觉得这是最后一招——如果到了必要关头，这颗子弹可以用来自杀。”
0x010000160000AA7E	Dialogue Text	HQ / EXIT BULLET difficult	Empathy	Holding the bullet, you get the feeling -- this isn't ammunition against *you*. It's for herself.	握着手中的子弹，你有一种感觉——这枚子弹不是用来对付*你*的。是她留给自己的。
0x0100005A0000DB02	Dialogue Text	HQ / EXIT BULLET difficult	You	Move the board aside.	把木板移到一边。
0x0100005A0000DB07	Dialogue Text	HQ / EXIT BULLET difficult	Loose Floorboard	As you look at the floorboards in this corner of the shack, it's clear one of them isn't quite level with the others.	你看着棚屋角落的地板，很显然，其中有一块没有跟其它的对齐。
0x0100005A0000E02C	Dialogue Text	HQ / EXIT BULLET difficult	Loose Floorboard	The hollow space underneath the floorboards is dark and damp. You can barely make out the mixture of sand and sawdust below.	地板下的空洞黑暗而潮湿。你勉强辨认出下面是一滩沙子和锯末的混合物。
0x0100005A0000E031	Dialogue Text	HQ / EXIT BULLET difficult	Loose Floorboard	You stick your hand in and start combing through the sand. Dry, not like outside. Fine dust... and then -- something hard, wrapped in paper.	你把手探进去，开始在沙子里面仔细搜寻。干燥，跟外面的不一样。细细的尘土……然后——你摸到一个包在纸里的硬东西。
0x0100005A0000E036	Dialogue Text	HQ / EXIT BULLET difficult	Loose Floorboard	You return the board to its original position.	你把木板移回到原来的位置。
0x0100005A0000E03B	Dialogue Text	HQ / EXIT BULLET difficult	You	Search through the sand and sawdust.	仔细翻遍沙子和锯末。
0x0100005A0000E041	Dialogue Text	HQ / EXIT BULLET difficult	You	Oh, I don't want to stick my hand in there. [Leave.]	呃，我不想把手伸进去。[离开。]
