ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100002D0000DEF5	Dialogue Text	MEASUREHEAD / FASCHA DQ	Measurehead	"AND REMEMBER. WHAT HAPPENS IN MY MOM'S OFFICE, STAYS IN MY MOM'S OFFICE. QUIET CONTEMPLATION ENDS, BIOLOGICAL RIVALRY RESUMES."	”记住，发生在我妈办公室里的事，就留在办公室里。沉默冥想结束，生物竞争继续。“
0x0100002D0000DF10	Dialogue Text	MEASUREHEAD / FASCHA DQ	Measurehead	"WE ARE DONE HERE. AND *REMEMBER*, WHAT HAPPENS IN MY MOTHER'S OFFICE, STAYS IN MY MOTHER'S OFFICE. QUIET CONTEMPLATION ENDS, BIOLOGICAL RIVALRY RESUMES."	”到此为止了。*记住*，发生在我妈办公室里的事，就留在办公室里。沉默冥想结束，生物竞争继续。“
0x010000510000449A	Alternate1	MEASUREHEAD / FASCHA DQ	You	"Measurehead..." (Let you head hang low.) "I think I screwed up and let the only person rich enough to explain reality to me leave."	“测颅先生……”（低垂下你的头。）“我觉得我搞砸了，让唯一有足够的财富来为我答疑解惑的人离开了。”
0x010000510000449A	Alternate2	MEASUREHEAD / FASCHA DQ	You	"Measurehead..." (Let you head hang low.) "I screwed up and let the only person rich enough to explain reality but not so rich light bends around them, leave."	“测颅先生……”（低垂下你的头。）“我搞砸了，让唯一有足够的财富来为我答疑解惑，但又没有富裕到能够扭曲光的人离开了。”
0x010000510000449A	Dialogue Text	MEASUREHEAD / FASCHA DQ	You	"I need to find a way to turn back time."	“我需要想办法逆转时间。”
0x01000051000044A7	Dialogue Text	MEASUREHEAD / FASCHA DQ	Measurehead	"YOU WANT TO RETURN TO THE PAST?" The giant locks eyes with you. His face is serious...	“你想回到过去？”巨人盯着你。他的表情十分严肃……
0x01000051000044AD	Dialogue Text	MEASUREHEAD / FASCHA DQ	Measurehead	"WALK AWAY, LITTLE OFFICER," he says with a yawn, not even meeting your gaze. "I DON'T CARE ABOUT YOUR IMPOTENT RAMBLINGS. THEY'RE *BORING* ME."	“走开，侏儒警官。”他打了个哈欠，甚至懒得看你。“我不关心你那些孱弱无力的絮叨。它们令我*无聊*。”
0x01000051000044B5	Dialogue Text	MEASUREHEAD / FASCHA DQ	Measurehead's Babe	"Stop *boring* him!" The babe coils a piece of hair around her finger, staring at you like you're the worst.	“别让他*无聊*了！”宝贝在指间卷起一缕发丝，用嫌恶的目光瞪着你。
0x01000051000044C3	Dialogue Text	MEASUREHEAD / FASCHA DQ	You	"Wait, what exactly am I lacking?"	“等等，我到底缺了什么？”
0x01000051000044CA	Dialogue Text	MEASUREHEAD / FASCHA DQ	You	"So it *is* possible to go back?"	“所以*到底*有没有可能回到过去？”
