ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100002900001E83	Dialogue Text	HQ ORB / new home shivers	You	Listen.	仔细听。
0x0100002900001E89	Dialogue Text	HQ ORB / new home shivers	You	Shake it off. [Discard thought.]	摆脱掉。[放弃思维。]
0x0100002900001E93	Dialogue Text	HQ ORB / new home shivers	You	A possible resting spot for my fugitive is what it is.	对于我这样颠沛流离的人来说，也许是个可以落脚的地方。
0x0100002900001E9C	Dialogue Text	HQ ORB / new home shivers	Shivers	Waves crash unto the beach, drowning the reeds. Far to the south a congregation gathers to a soup kitchen in a shelter for the homeless. An old woman gives out knitted scarves for free.	浪花不断冲刷着海岸，淹没了一片芦苇丛。遥远的南边有一个无家可归人员的避难所，人们正聚集在施舍处旁边。一个老妇人在发放免费的针织围巾。
0x0100002900001EB8	Dialogue Text	HQ ORB / new home shivers	Shivers	A middle-aged man stands in a run-down shack on the edge of a fishing village. Nothing nods, no one salutes him. No sight of the fugitive.	一名中年男子站在渔村边缘的一栋破旧棚屋前。没有人向他点头，没有人向他敬礼。也没有看见逃犯的踪影。
0x0100002900001EBE	Dialogue Text	HQ ORB / new home shivers	Shivers	Far to the southeast, two men and a woman dress themselves in ceramic armour. A shortwave radio hisses on the windowsill. One makes a salute. The other downs a drink. Weapons under the bed...	遥远的东南方，是穿着陶瓷盔甲的两男一女。一台短波收音机在窗台上嘶嘶作响。一个人敬了个礼。另一个喝了一杯。武器就放在床下……
0x0100002900001EC7	Dialogue Text	HQ ORB / new home shivers	You	"This feels like a cozy hideout."	“这里感觉是个很舒服的藏身之地。”
0x0100002900001ED5	Dialogue Text	HQ ORB / new home shivers	Kim Kitsuragi	"Mhm..." The lieutenant looks around.	“嗯……”警督四下环顾起来。
0x0100002900001EE2	Dialogue Text	HQ ORB / new home shivers	Shivers	REVACHOL FOREVER	瑞瓦肖万岁
0x0100002900001EEB	Dialogue Text	HQ ORB / new home shivers	You	"This feels like a cozy hideout."	“这里感觉是个很舒服的藏身之地。”
0x0100002900001EF2	Dialogue Text	HQ ORB / new home shivers	Shivers	Who are you talking to? There is no one here. Not even cold.	你在跟谁说话？这里没有人。甚至连寒冷都没有。
0x0100005A0000DAC6	Dialogue Text	HQ ORB / new home shivers	Shivers	The room feels muffled, like you pulled your hat over your ears. Outside, it is cold and windy, but you're inside, and it feels safe and warm.	这个房间让人感觉沉闷压抑，就像把帽子拉到耳朵上的感觉。外面很冷，风很大，但是你在里面感觉安全而温暖。
0x0100005A0000DACC	Dialogue Text	HQ ORB / new home shivers	Shivers	A brisk coastal wind still howls against the window of the shack. Occasionally the waves crawl in under the foundation, producing a low hum...	凛冽的海风依然怒号地拍打着棚屋的窗户。海浪时不时地爬到地基之下，发出一阵低沉的嗡嗡声……
0x0100005A0000DAD2	Dialogue Text	HQ ORB / new home shivers	You	My forward base for the coastal part of the operation.	我的前线基地，专门负责沿海部分的行动。
0x0100005A0000DAD8	Dialogue Text	HQ ORB / new home shivers	Shivers	WHAT IS THIS PLACE TO YOU?	这个地方对你来说算什么？
0x0100005A0000DAE4	Dialogue Text	HQ ORB / new home shivers	You	My new hangout, where I could silently sit, drink and die while looking at the waves roll in.	我的新住所，在这里我可以安静地坐着，喝点东西，然后看着海浪翻滚涌入，把我卷入死亡。
0x0100005A0000DAEA	Dialogue Text	HQ ORB / new home shivers	You	It's free. That's good enough. I could live here.	这里不用钱，而且挺不错的。我可以住在这里。
0x0100005A0000DAF0	Dialogue Text	HQ ORB / new home shivers	Shivers	LOOK UNDER THE FLOORBOARDS	看看地板下面
0x0100005A0000DAF6	Dialogue Text	HQ ORB / new home shivers	Shivers	Behind the half-built cinder block house at the other end of the village there are three people, drinking. Your *new crew*. You don't need the old crew, oh no, you have a new crew to get drunk with.	村子另一端半成品煤砖房的背后，有三个人正在喝酒。那是你的*新队员*。你不需要之前的那些人，完全不用了，因为你找到了一帮新伙计，可以与他们一醉方休。
0x0100005A0000DAFC	Dialogue Text	HQ ORB / new home shivers	You	Looks like this is my new home -- wonder where the old one went?	看来这里就是我的新家了——不知道之前那个去哪了？
0x0100005A0000DBAF	Dialogue Text	HQ ORB / new home shivers	Shivers	Waves crash unto the beach, drowning the reeds. Far to the south a congregation gathers to a soup kitchen in a shelter for the homeless. An old woman gives out knitted scarves for free.	浪花不断冲刷着海岸，淹没了一片芦苇丛。遥远的南边有一个无家可归人员的避难所，人们正聚集在施舍处旁边。一个老妇人在发放免费的针织围巾。
0x0100005A0000DBB9	Dialogue Text	HQ ORB / new home shivers	Shivers	Westward, across the canal, towers the Whirling-in-Rags. Door #1 on the second floor is locked, behind it lies a trashed room. One floor below, behind a counter, stands an irritable man.	西边，运河的对面，褴褛飞旋耸立着。第二层的1号门上锁了，背后是垃圾房。下面一层的柜台后面站着一个急躁的男人。
0x0100005A0000DBBE	Dialogue Text	HQ ORB / new home shivers	Shivers	Overhead you hear the forlorn shriek of seagulls. Far below the birds -- a wooden boardwalk, filled with abandoned stands, tables and benches, echoes from a long lost time.	头顶传来海鸥孤独的尖叫声。远在鸟群之下——是一条堆满废弃货摊和桌椅的木板道。迷失在悠久时间长河里的它，正在低声回应着。
0x0100005A0000DFCE	Dialogue Text	HQ ORB / new home shivers	Shivers	You already were a part of their crew once. You can get drunk with them again. You're probably going to hang out there a lot, behind that cinder block house. It's where you belong.	你曾经是他们中的一员。你又一次醉倒在他们中间。那栋煤渣砖房的背后可能会成为你经常出入的地方。那里才是属于你的地方。
