ArticyId	TermType	ConvTitle	Actor	En	Zh
0x01000005000020DD	Dialogue Text	PLAZA / ANNETTE	You	"I can't understand how I didn't notice a giant ice bear fridge myself..."	“我不明白，为什么我自己没有注意到一台巨大的冰熊冰箱呢……”
0x01000005000020E3	Dialogue Text	PLAZA / ANNETTE	You	"One more thing. How do I get inside the building?"	“还有一件事。我怎么进到那里面去？”
0x01000005000020E9	Dialogue Text	PLAZA / ANNETTE	You	"One more thing. How do I get inside the building? I already talked to your mom, but she's not letting anyone in."	“还有一件事。我怎么进到那里面去？我已经跟你妈妈聊过了，不过她不让任何人进去。”
0x01000005000020EF	Dialogue Text	PLAZA / ANNETTE	Annette	The girl shrugs cheerfully: "Well, it is pretty dark in there..."	女孩愉快地耸耸肩。“这个嘛，那里特别黑……”
0x01000005000020F8	Dialogue Text	PLAZA / ANNETTE	Annette	"Um... that's a problem. The only way in is through the bookstore, but my mum is pretty strict about not letting anyone in."	“呃……这是个问题。唯一的入口就是书店，不过我妈妈挺严格的，她不让任何人进去。”
0x01000005000020FF	Dialogue Text	PLAZA / ANNETTE	Annette	"But, I don't know, you're a *police man*..." She says it with admiration, eyeing you up and down. "Maybe you can convince her somehow?"	“但是，我不知道，你是一个*警察*……”她上下打量着你，口气很是钦佩。“也许你可以想办法说服她？”
0x0100000500002107	Dialogue Text	PLAZA / ANNETTE	Annette	"Um... she can be pretty strict, you're right about that. I don't really know what to say. You could try sneaking in?" She smiles shyly, like she's not sure it's the right answer.	“呃……你说的没错，她有时候是很严格。我真的不知道该说什么好。你可以试着溜进去？”她害羞地笑了，似乎不确定这是不是正确答案。
0x010000050000210E	Dialogue Text	PLAZA / ANNETTE	Annette	"I'm sorry, sir, I really don't know."	“我很抱歉，先生，我真的不知道。”
0x01000005000027F5	Dialogue Text	PLAZA / ANNETTE	Annette	"Uh..." She doesn't know what to say.	“呃……”她不知道该说什么了。
0x010000060000919D	Dialogue Text	PLAZA / ANNETTE	You	"Say, child... *you* wouldn't happen to know a good fridge, would you?"	“话说，小朋友……*你*不会碰巧知道哪里有一台好冰箱吧？”
0x01000006000091A4	Dialogue Text	PLAZA / ANNETTE	Annette	"A fridge?"	“一台冰箱？”
0x01000006000091B1	Dialogue Text	PLAZA / ANNETTE	You	"Yes. Like a big, big fridge a cop could put a dead body into."	“是的。比如一台特别特别大的冰箱，可以让警察在里面放一具尸体。”
0x01000006000091B7	Dialogue Text	PLAZA / ANNETTE	Annette	"Hah!" She smiles. "You mean like the ice bear fridge? Man, that's scary."	“哈！”她笑了。“你是说冰熊冰箱吗？老天啊，那家伙特别吓人。”
0x01000006000091C7	Dialogue Text	PLAZA / ANNETTE	Kim Kitsuragi	"Ice bear fridge?"	“冰熊冰箱？”
0x01000006000091CD	Dialogue Text	PLAZA / ANNETTE	You	"Ice bear fridge?"	“冰熊冰箱？”
0x01000006000091D5	Dialogue Text	PLAZA / ANNETTE	Annette	"Yes. Like a bear, but white. There's a fridge below the building, in the basement." She points underground. "With red glowing eyes. I went back there once. Behind the bookstore..."	“是的。像一头熊，不过是白色的。这栋建筑下面有一台冰箱，在地下室里。”她指了指地下。“它的红色眼睛会发光。我曾经去过一次。就在书店背后……”
0x01000006000091E0	Dialogue Text	PLAZA / ANNETTE	Annette	She lowers her voice. "Mum doesn't want me to go there anymore. Not that I want to. It was pretty scary.	她压低了声音。“妈妈不想再让我过去了。也不是说我想去。那里真的挺吓人的。”
0x01000006000091E9	Dialogue Text	PLAZA / ANNETTE	You	"And there's a big fridge there?"	“所以那里有一台冰箱？”
0x01000006000091EF	Dialogue Text	PLAZA / ANNETTE	Annette	"Yes." She smiles.	“是的。”她笑了。
0x0100000600018295	Dialogue Text	PLAZA / ANNETTE	Annette	"You don't look much like a policeman." She examines you, as if to find something policeman-like.	“你看起来不像个警察。”她打量着你，似乎想找出一些像警察的东西。
0x010000060001829E	Dialogue Text	PLAZA / ANNETTE	You	"Huh, well what does a cop look like then?"	“呃，那警察看起来什么样？”
0x01000006000182A9	Dialogue Text	PLAZA / ANNETTE	Empathy	What could you do to help her anyway?	再说了，你能帮她什么呢？
0x01000006000182BA	Dialogue Text	PLAZA / ANNETTE	Savoir Faire	Did someone say *sneak around in the cellar*? We should do that.	好像有人说*偷溜进地下室*？我们应该这么做。
0x01000006000182C3	Dialogue Text	PLAZA / ANNETTE	You	"Yeah, poor people are boring."	“是啊，穷人都挺无聊的。”
0x01000006000182CA	Dialogue Text	PLAZA / ANNETTE	Annette	"I guess, yes. People in books are always very interesting. Especially the romance-people."	“我猜是吧。书里的人总是很有意思。特别是浪漫的那些。”
0x01000006000182D2	Dialogue Text	PLAZA / ANNETTE	You	"Okay."	“好吧。”
0x01000006000182D9	Dialogue Text	PLAZA / ANNETTE	Annette	"Sometimes they break up for a little while, but then they always get back together."	“有时候他们会暂时分手，不过之后总是会和好的。”
0x01000006000182E5	Dialogue Text	PLAZA / ANNETTE	You	"Why can't you help me? I'm beyond help, right?"	“你为什么不帮我呢？我已经没救了，对吗？”
0x01000006000182F2	Dialogue Text	PLAZA / ANNETTE	Kim Kitsuragi	"Wonderful."	“太棒了。”
