ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001EEC0	Dialogue Text	SEAFORT ORB / chain afterthought	Visual Calculus	As a defensive measure locking off that side of the bay.	作为封锁海湾那一边的防御手段。
0x010000060001EEC8	Dialogue Text	SEAFORT ORB / chain afterthought	You	"This means I *sorta* got into the depot door."	“这就意味着我*算是*进了补给站的大门。”
0x010000060001EED3	Dialogue Text	SEAFORT ORB / chain afterthought	Cuno	"Dunno, pig, doesn't look like we behind a door right now -- just Cuno's 2 cents of course."	“不知道，猪头，我们现在看起来不像是在大门后面——当然了，这只是坤诺的想法。”
0x010000060001EED9	Dialogue Text	SEAFORT ORB / chain afterthought	Kim Kitsuragi	"Technically -- no. It doesn't."	“从严格意义上讲——不是的。并没有。”
0x010000060001EEF1	Dialogue Text	SEAFORT ORB / chain afterthought	You	This means I *sorta* got into the depot door.	这就意味着我*算是*进了补给站的大门。
0x010000060001EEF7	Dialogue Text	SEAFORT ORB / chain afterthought	Interfacing	He's right.	他说得对。
0x010000060001EF05	Dialogue Text	SEAFORT ORB / chain afterthought	Interfacing	Technically -- no. Sorry.	从严格意义上讲——没有。很抱歉。
0x010000450001C372	Dialogue Text	SEAFORT ORB / chain afterthought	Interfacing	The chain trails off into the ocean, connecting the island to the supply depot on the coast.	链条消失在大海里，连接着岛屿和海岸边的补给站。
0x010000450001C379	Alternate1	SEAFORT ORB / chain afterthought	You	(Point to it.) "This leads to the depot in Land's End."	（指过去。）“这里可以通往地之角的补给站。”
0x010000450001C379	Dialogue Text	SEAFORT ORB / chain afterthought	You	What for?	为什么？
0x010000450001C37F	Dialogue Text	SEAFORT ORB / chain afterthought	You	[Finish thought.]	[完成思维。]
0x010000450001C398	Dialogue Text	SEAFORT ORB / chain afterthought	Interfacing	For bringing supplies: munitions and fuel. You could also raise it, in order to lock the Western bay of Revachol.	为了运送补给品：弹药和燃料。也可以把它抬起来，封锁瑞瓦肖西海岸。
0x010000450001C3AA	Dialogue Text	SEAFORT ORB / chain afterthought	Kim Kitsuragi	The lieutenant looks at the mechanism overhead. "Ah, yes... so it seems."	警督看着头顶的机械。“啊，是的……好像是这样。”
0x010000450001C3BD	Dialogue Text	SEAFORT ORB / chain afterthought	You	"What do you think it was used for?"	“你觉得它是做什么用的？”
0x010000450001C3CA	Dialogue Text	SEAFORT ORB / chain afterthought	Kim Kitsuragi	"For bringing munitions to the island, maybe? And supplies. You could also *lock* the bay, when you raise the chain."	“也许是为了把弹药送到岛上？还有补给品。如果把链条抬起来，还可以*封锁*海湾。”
0x010000450001C3DD	Dialogue Text	SEAFORT ORB / chain afterthought	You	Lock it from whom?	封锁起来是为了防谁？
0x010000450001C3E3	Dialogue Text	SEAFORT ORB / chain afterthought	Interfacing	Enemies.	敌人。
0x010000450001C3FE	Dialogue Text	SEAFORT ORB / chain afterthought	You	What kind of enemies?	什么样的敌人？
0x010000450001C405	Dialogue Text	SEAFORT ORB / chain afterthought	Interfacing	Enemies of the Commune of Revachol.	瑞瓦肖公社的敌人。
0x010000450001C424	Dialogue Text	SEAFORT ORB / chain afterthought	Rhetoric	Of the future. Enemies of mankind.	未来的敌人。人类的敌人。
0x010000450001C42A	Dialogue Text	SEAFORT ORB / chain afterthought	Rhetoric	Enemies of madness. Lunacy. Of the apocalypse taking place here.	疯狂的敌人。精神失常的疯子。就在大灾难降临在这里之后。
0x010000450001C42F	Dialogue Text	SEAFORT ORB / chain afterthought	Rhetoric	Do not be too eager to greet these enemies, black hearted cavalier -- they were also the enemies of Revachol.	不要急着迎接这些敌人，黑心骑士——他们也是瑞瓦肖的敌人。
0x010000450001C457	Dialogue Text	SEAFORT ORB / chain afterthought	You	"Lock it from whom?"	“封锁起来是为了防谁？”
0x010000450001C45E	Dialogue Text	SEAFORT ORB / chain afterthought	Kim Kitsuragi	"From enemies." He looks up ahead. "Enemies of the Commune of Revachol. This seafort was a revolutionary fortification, I believe..."	“敌人”。他抬起头。“瑞瓦肖公社的敌人。我相信这座海堡是大革命时期的要塞。”
0x0100006B00001761	Dialogue Text	SEAFORT ORB / chain afterthought	Cuno	The boy stares at the mechanism. "Cool fucking chain."	男孩凝视着机械。“这锁链也他妈的太酷了吧。”
0x0100006B00001775	Dialogue Text	SEAFORT ORB / chain afterthought	Cuno	"Fuck does Cuno know?" He shrugs his shoulders. "Cuno would use it to bring shit to the island."	“坤诺当然他妈的知道了。”他耸了耸肩。“坤诺要用它往岛上运狗屎。”
0x010000160000312B	Alternate1	SEAFORT ORB / fairweather t500 helmet	You	Don't think this helmet would have helped me anyway. (Look down at your wounds.)	反正这个头盔对我也没什么大用。（低头看向你的伤口。）
0x010000160000312B	Dialogue Text	SEAFORT ORB / fairweather t500 helmet	You	Don't think this helmet would have helped me anyway. (Look down at your wound.)	反正这个头盔对我也没什么大用。（低头看向你的伤口。）
