ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001E58D	Dialogue Text	LANDS END / DEPOT DOOR	You	"Okay. I can live with this." (Accept it.)	“好吧。我可以忍受。”（接受它。）
0x010000060001E594	Dialogue Text	LANDS END / DEPOT DOOR	Kim Kitsuragi	"What else is there to do? *Not* accepting isn't gonna bring the fire brigade in..." He looks at the door with a rueful smile.	“还能怎么做呢？*不*接受也不能让消防队来……”他看着这扇门，脸上带着悲伤的微笑。
0x010000060001E59E	Dialogue Text	LANDS END / DEPOT DOOR	Conceptualization	At least you can *think* about opening it. About doors in general -- they are, after all, fundamental to your life. Perhaps something useful will come from this?	至少你可以*考虑*打开它。一般而言，说到门——它们毕竟是你生活的基础。也许可以得到一些有用的东西呢？
0x010000060001E5A5	Dialogue Text	LANDS END / DEPOT DOOR	Esprit de Corps	Relax, he thinks. There's no one in there. If we can't open it, neither can anyone else.	放松，他想到。里面没人。如果我们打不开，别人也不可以。
0x010000060001E5B0	Dialogue Text	LANDS END / DEPOT DOOR	Conceptualization	At least you can *think* about opening it. About doors in general -- they are, after all, fundamental to your life. Perhaps something useful will come from this?	至少你可以*考虑*打开它。一般而言，说到门——它们毕竟是你生活的基础。也许可以得到一些有用的东西呢？
0x010000450001C1FE	Dialogue Text	LANDS END / DEPOT DOOR	Door (Unopenable)	An old door, worn by elements, guards the depot. The wind has blown a sand dune in front of it. The door hasn't been opened in a long while. You see a handle.	一扇老旧而破损的门守卫着仓库。前方是被风吹起的一道沙丘。看来这扇门已经有一阵子没开了。你看见一只手柄。
0x010000450001C20B	Dialogue Text	LANDS END / DEPOT DOOR	You	Walk away. [Leave.]	走开。[离开。]
0x010000450001C211	Dialogue Text	LANDS END / DEPOT DOOR	Door (Unopenable)	Yes. Better that way. You can't even fathom the rabbit hole you might find yourself in otherwise.	是的，这样最好。反正你连自己身处的兔子洞到底有多深都不知道。
0x010000450001C219	Dialogue Text	LANDS END / DEPOT DOOR	Door (Unopenable)	You rattle the handle a bit, then push on the door with all your weight -- it does not budge. Not only is it locked, it's also *jammed* shut.	你稍微摇晃了一下手柄，然后用全身的重量去推门——它没有移动分毫。看来它不仅仅是锁了，而且还*卡*的死死的。
0x010000450001C220	Alternate1	LANDS END / DEPOT DOOR	You	"Huh, the door's shut tight. How can we get in there?"	“哈，门关的很紧。我们怎么才能进去？”
0x010000450001C220	Dialogue Text	LANDS END / DEPOT DOOR	You	Huh... I wonder what's inside. How can I get in there?	嗯……不知道里面有什么。怎么才能进去呢？
0x010000450001C231	Dialogue Text	LANDS END / DEPOT DOOR	You	"Whatever, door." [Leave.]	“无所谓了，门。”[离开。]
0x010000450001C23F	Dialogue Text	LANDS END / DEPOT DOOR	Door (Unopenable)	You can't. This door cannot be opened...	不行。门还是没打开……
0x010000450001C24A	Dialogue Text	LANDS END / DEPOT DOOR	Kim Kitsuragi	The lieutenant shrugs. "We don't get in there."	警督耸耸肩。“我们不用进去。”
0x010000450001C251	Dialogue Text	LANDS END / DEPOT DOOR	You	"What do you mean? We get into... like... everywhere."	“你什么意思？我们不是应该……怎么说呢……什么地方都能进得去吧。”
