ArticyId	TermType	ConvTitle	Actor	En	Zh
0x01000006000181E8	Dialogue Text	YARD / CUNO	Authority	VICTORY!	胜利！
0x0100000600018214	Dialogue Text	YARD / CUNO	You	"So you respect me now?"	“现在知道尊重我了？”
0x010000060001821C	Dialogue Text	YARD / CUNO	Cuno	"You're dreamin' pig. That's not how this shit *works*."	“做梦吧猪猡，这他妈才不是这么*回事*。”
0x0100000600018229	Dialogue Text	YARD / CUNO	Empathy	A *little*. But don't expect anything to *change*.	*一点点*吧，但别指望会有什么*不同*。
0x0100000600018231	Dialogue Text	YARD / CUNO	Cunoesse	"Don't let him dominate you, Cuno! Fuck his fat ass!"	“别让他压制住你，坤诺！操翻他！”
0x01000006000183E7	Dialogue Text	YARD / CUNO	Volition	He hasn't been in your room, relax.	他没去过你的房间，放轻松。
0x01000006000183F3	Dialogue Text	YARD / CUNO	You	"But I didn't try to shoot her, I just aimed at her."	“但我没有想要杀人，我只是瞄准了她。”
0x01000006000183FA	Dialogue Text	YARD / CUNO	Cuno	"What, bitch?! You fuckin' making EXCUSES for yourself now?"	“怎样，贱人？！现在开始找借口了吗？”
0x0100000600018408	Dialogue Text	YARD / CUNO	Kim Kitsuragi	"Hmh..." An imperceptible nod.	“嗯……”一个微不可查的点头。
0x010000060001840F	Dialogue Text	YARD / CUNO	Esprit de Corps	You *are* making excuses, he thinks. For aiming your gun at a child nonetheless.	你*正在*找借口，他想着。即便如此，你仍然把枪对准了一个孩子。
0x01000006000189B4	Dialogue Text	YARD / CUNO	Encyclopedia	By the way, 'kipt' is a racial slur.	另外，‘吉皮特'是种族蔑称。
0x010000070001B0E7	Dialogue Text	YARD / CUNO	Authority	No! You don't *need* to ever talk to these little shitheads again. It's much more important to prove to this kid you're a man. A *big* man.	不！你再也不*需要*跟这帮脑残说话了。向这个孩子证明你是个男人要重要的多。一个*大*男人。
0x010000310000B49C	Dialogue Text	YARD / CUNO	You	"A moment of your time, please!"	“劳驾，耽误你一点时间！”
0x010000310000B4A2	Dialogue Text	YARD / CUNO	Cuno	"Alright." He juts his chin out. "Entertain the Cuno! Show me whatcha got. Whatcha got there? Whatcha got, huh?! Show me whatcha got!"	“好吧。”他抬起下巴。“让坤诺乐一乐！给我看看你的把戏。有什么把戏？什么把戏？！给我看看你的把戏。”
0x010000310000B4A7	Dialogue Text	YARD / CUNO	You	"Hey kid, a word. Police business."	“嘿小孩，只给你一句话。警察办案。”
0x010000310000B4F7	Dialogue Text	YARD / CUNO	Kim Kitsuragi	"*We* shouldn't do anything. I don't tempt such forces."	“*我们*什么都不需要做，我也不会去招惹那种势力。”
0x010000310000B4FF	Dialogue Text	YARD / CUNO	You	"What *forces*?"	“什么*势力*？”
0x010000310000B507	Dialogue Text	YARD / CUNO	Kim Kitsuragi	"You will see."	“你会知道的。”
0x010000310000B531	Dialogue Text	YARD / CUNO	You	"I gotta ask... who is Cuno?"	“我得问一句……坤诺是谁？”
0x010000310000B607	Dialogue Text	YARD / CUNO	You	"The body -- what do you know about it?"	“那具尸体——你都知道些什么？”
0x010000310000B811	Dialogue Text	YARD / CUNO	You	"About the crime scene -- you kids often play in this yard?"	“关于犯罪现场——孩子们经常在这个院子里玩吗？”
0x010000310000B9A0	Dialogue Text	YARD / CUNO	You	"Okay, I'm off." [Leave.]	“好吧，失陪。”[离开。]
0x010000310000BD32	Dialogue Text	YARD / CUNO	Cuno	"Cuno doesn't fucking care."	“坤诺他妈的不在乎。”
0x010000310000BDD9	Dialogue Text	YARD / CUNO	Cuno	"Fuck does Cuno care?" The boy turns to you. (He doesn't care.)	“坤诺会他妈的在乎吗？”那男孩转向你。（他不在乎。）
0x010000310000C00B	Dialogue Text	YARD / CUNO	You	Figure out what's going on with this kid.	弄明白这孩子究竟怎么了。
0x010000310000C00B	tooltip1	YARD / CUNO	You	*Shot* the body down.	开枪把尸体*打*下来。
