ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060000FA17	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	Tremble. THE TIME IS NOW. τὰ ὅλα.	颤栗。时间就是现在。τὰὅλα。
0x010000060000FA23	Dialogue Text	THOUGHT / APOCALYPSE COP	You	What time?	什么时间？
0x010000060000FA29	Dialogue Text	THOUGHT / APOCALYPSE COP	You	Am I sure it's not just a joke, or some kind of coping mechanism?	我确定这不是个笑话，或者某种应对机制吗？
0x010000060000FA2F	Dialogue Text	THOUGHT / APOCALYPSE COP	You	This is because of the insane world-ending I've been saying isn't it? (Proceed.)	是因为我一直在胡言乱语的那个世界末日理论，对吧？（继续。）
0x010000060000FA38	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	Time for THE SHOW. For τὰ ὅλα. The hallowed time of fear and disintegration. A countdown has begun. All will collapse on itself. The world will disappear into a single grain of blackness. All sound will be muted. All life will scream.	演出的时间到了。τὰὅλα。恐惧与分裂的神圣时间。倒计时开始了。一切都将分崩离析。整个世界都会在一片黑暗中消失殆尽。听不见一切声响。所有生命都将发出刺耳的尖叫。
0x010000060000FA3F	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	Yes. You spoke the words of the παλίντροπος, and the houses of Perikarnassis. Items, people, even WORDS will tumble, all will lose its meaning in the coming years. That is why you marked yourself.	是的，你说出了那个单词*παλίντροποςe*，还有佩里卡内西的家园。所有物品，人类，甚至是言语都会崩塌，在接下来的几年中失去所有意义。这就是你给自己做记号的原因。
0x010000060000FA45	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	It's *totally* also a coping mechanism.	这不*完全*就是应对机制嘛。
0x010000060000FB59	Dialogue Text	THOUGHT / APOCALYPSE COP	You	Wait, wait -- when did this *countdown* begin?	等等——这个*倒计时*是什么时候开始的？
0x010000060000FB5F	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	Monday morning. The moment you arrived in this reality. You are the first crack in the sheer face of god. From you it will spread.	周一早晨，你醒过来的那一刻起。你是神明的冷峻面颊上第一道裂痕。灾难将会以你为起点蔓延。
0x010000060000FB76	Dialogue Text	THOUGHT / APOCALYPSE COP	You	I *do* think the world might end soon. (Opt in.)	我*的确*认为这个世界可能很快会终结。（接受思想。）
0x010000060000FB7C	Dialogue Text	THOUGHT / APOCALYPSE COP	You	Uhm... yeah, I'm going to opt out of the 'παλίντροπος' whatever it is. This was a mistake. (Opt out.)	呃……是啊，不管这个“παλίντροποςe”是什么，我还是不参加了。这是个错误。（拒绝思想。）
0x010000060000FB82	Dialogue Text	THOUGHT / APOCALYPSE COP	You	Yeah... I don't think the time is *now*. Later maybe. [Leave.]	是啊……我觉得这个时间不是*现在*。也许以后再说吧。[离开。]
0x010000060000FB89	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	No. You cannot *leave*. The countdown has not yet reached XERO.	不。你不能*离开*。倒计时还没有到达XERO.
0x010000060000FB95	Dialogue Text	THOUGHT / APOCALYPSE COP	You	τὰ ὅλα? What's that?	τὰὅλα？那是什么？
0x010000060000FB9C	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	οῦ λόγου δ' ἐόντος ξυνοῦ ζώουσιν οἱ πολλοὶ ὡς ἰδίαν ἔχοντες φρόνησιν.	οῦλόγουδ'ἐόντοςξυνοῦζώουσινοἱπολλοὶὡςἰδίανἔχοντεςφρόνησιν.
0x010000060000FBA9	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	The face of the woman fractures. There will be herd killing. We all become vapour.	女人的面孔碎裂了。大屠杀将会出现，我们全都会变成水蒸气。
0x010000060000FBAE	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	Okay, yes. Maybe it *is* just the hangover talking. Or some kind of joke you're playing on yourself instead of working on the case...	好吧，没错。也许这*只是*一些醉话。或者你对自己开的某种玩笑，为的就是不想办案……
0x010000060000FBB4	Dialogue Text	THOUGHT / APOCALYPSE COP	You	I'm... a little afraid.	我……有点害怕。
0x010000060000FBBD	Dialogue Text	THOUGHT / APOCALYPSE COP	Half Light	So you should be. The world island crumbles at your feet and in the far plain -- παλίντροπος.	你应该这样。这个世界岛在你脚下碎裂，还有那遥远的平原——παλίντροποςe。
0x010000060000FBC4	Dialogue Text	THOUGHT / APOCALYPSE COP	Volition	Perhaps -- just a thought -- this has something to do with the hangover?	也许——只是个想法啊——这跟宿醉有关？
0x0100000600012D9E	Dialogue Text	THOUGHT / ART COP	You	[Discard thought.]	[放弃思维。]
0x0100000600012DAF	Dialogue Text	THOUGHT / ART COP	You	Wait, but don't I have to be 100% cop -- to get the case finished and all that?	等等，我不应该是个100%的警察吗——为了破案啊什么之类的？
0x0100000600012DB5	Dialogue Text	THOUGHT / ART COP	You	Okay. If 50% art critic is what's needed to free me from rote repetition, so be it. (Opt in.)	好吧。如果需要50%的艺术评论家把我从这些机械性的重复工作中解救出来，那就这样吧。（接受思想。）
0x0100000600012DBB	Dialogue Text	THOUGHT / ART COP	You	No. I cannot risk another copo-diversion at this point. Go away! (Opt out.)	不。眼下我可不能冒险转变警察类型了。快走开！（拒绝思想。）
0x0100000600012DC4	Dialogue Text	THOUGHT / ART COP	Conceptualization	Exactly. It's not *only* your duty to only catch the criminals of the street, you must also apprehend criminals of the printing press and the gallery -- the trite and derivative artists and writers of the world!	没错。抓捕街上的罪犯不是你*唯一*的职责，你还要逮捕印刷业和画廊的罪犯——世界上那些陈腐和只会模仿的艺术家和作者！
0x0100000600012DCA	Dialogue Text	THOUGHT / ART COP	Conceptualization	Go ahead and provide savage criticisms, Art Cop. The world is yours to rip to pieces and reassemble!	去吧，猛烈地批判吧，艺术警探。这个世界是你的，把它撕成碎片再重新拼接起来吧！
0x0100000600012DD2	Dialogue Text	THOUGHT / ART COP	Conceptualization	Quit being so indecisive. What are you going for here? Some kind of indecisive and *camp* aesthetic now? Strike a bold shape here. Go art or go home.	别这么犹豫不决。你来这儿是干什么的？参加优柔寡断的*审美*夏令营吗？这里要大胆一点。不搞艺术，就回家去吧。
0x0100000600012DDB	Dialogue Text	THOUGHT / ART COP	Conceptualization	Bravo! Continue, then, in the mediocre and vulgar epigones of the world. So what if everything is incomprehensibly shit and you can see it. Take no responsibility.	太赞了！那就继续，在充满平庸又粗俗的追随者的世界。所以，如果一切都是让人费解的狗屁，而你也能看见。完全不要负责。
0x0100000600012DE3	Dialogue Text	THOUGHT / ART COP	Visual Calculus	This was a good call. That guy probably thinks forensics is autism too.	这是个好主意。那个家伙可能也会觉得辩论术是臆想了。
0x010000210000160F	Dialogue Text	THOUGHT / ART COP	You	Wait, what about music? Is it art?	等等，那音乐呢？也是艺术吗？
0x0100002100001615	Dialogue Text	THOUGHT / ART COP	Conceptualization	Only the most experimental kind.	只有最实验性的那一类是。
0x010000210000161D	Dialogue Text	THOUGHT / ART COP	You	That's stupid. Architecture is stupid. Music is stupid.	愚蠢。建筑学很愚蠢，音乐也愚蠢。
0x0100005A00013A70	Dialogue Text	THOUGHT / ART COP	Conceptualization	Why does art inspire you so much?	为什么艺术能带给你这么多灵感？
0x0100005A00013A76	Dialogue Text	THOUGHT / ART COP	You	It does, yes -- but what *is* art?	确实是这样没错——但什么*是*艺术？
0x0100005A00013A7B	Dialogue Text	THOUGHT / ART COP	You	No, art is for arrogant blowhards. Why am I getting this?	不，艺术是为那些傲慢的吹牛大家准备的。我为什么会想到这个？
0x0100005A00013A83	Dialogue Text	THOUGHT / ART COP	Conceptualization	Excellent question. Art is a diverse range of visual, literary, auditory, and performative creativity! It's an expression of imagination and technical skill. Additionally, it's history, criticism and pure enjoyment...	这是个很好的问题。艺术是各种各样的视觉、文学、听觉和表述行为创造力的集合体！它是想象力和工艺技术的表达。此外，它还是历史，批判和纯粹的享受……
0x0100005A00013A8B	Dialogue Text	THOUGHT / ART COP	Conceptualization	Is it? Yet your eye constantly seeks out the most critical side of any aesthetic confrontation. You follow the expressions of imagination and technical skill with curiosity...	是吗？但你的眼睛还在不断寻找所有审美冲突中最有批判性的一面。你用好奇心追求着想象力和工艺技术的表达……
0x0100006B00000265	Dialogue Text	THOUGHT / ART COP	Conceptualization	Yes! You seek substance. No vapid representations and reproductions of social mores, as made manifest in stuffy biennials, we're talking real *living art* here. Become the Art Cop. Half art critic -- half cop.	是的！你在寻找物质。没有社会习俗那乏味的表示法和复制品——这一点在古板的二年生植物上表现地最明显，我们这里谈论的是真正的*生活艺术*。成为艺术警探吧。一半是艺术评论家——另一半是警察。
0x0100006B00000271	Alternate1	THOUGHT / ART COP	Conceptualization	Have you looked in the mirror lately? To be honest, you have the exact features of the modern artist, with that wild hair and those clothes. Perhaps you should try to write poetry some day -- and critique architecture!	你最近有没有照镜子？说真的，你拥有现代艺术家的所有特征，看看你疯狂的发型，还有衣服。也许有天你应该试试写诗——还有批判建筑学！
0x0100006B00000271	Dialogue Text	THOUGHT / ART COP	Conceptualization	Have you looked in the mirror lately? You have the exact features of a savage art critic, with that beard and those clothes! Dishevelled and *prophetic*. Perhaps you should try to critique architecture too!	你最近有没有照镜子？你拥有一个残酷艺术评论家的所有特征，看看那把胡子，还有那些衣服！蓬乱，而且有*预言感*。也许你还应该尝一下批判建筑学！
