ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060000EA3F	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Physical Instrument	As you talk it feels like chewing on gravel, granite, steel bars...	当你说话的时候，感觉就像是在咀嚼砂砾、花岗岩和铁栏杆……
0x010000060000EA74	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Rhetoric	You told her you loved her. She has to feel *something*.	你告诉她你爱她。她肯定会感觉到*什么*的。
0x010000060000EA7C	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Volition	More questions. Ask more.	更多问题。再多一点。
0x010000060000EA97	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"You know what I meant. We're talking about it again. It came up again. This conversation is about *that* again."	“你知道我的意思。我们又说回这个了。它又出现了。这段对话又要扯到*那上面*去了。”
0x010000060000EAA5	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"No, you don't. You're just being a martyr. And I'm really going now. The time is up. I must be on the 10:20 flight..." She turns.	“不，你不明白。你只是个殉道者。我必须赶上10：20的飞机……”她转过身去。
0x010000060000EAAF	Dialogue Text	DREAM SEAFORT / DOLORES DEI	You	"Will we ever see each other again?"	“我们还会再见面吗？”
0x010000060000EAB5	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"I won't see you but you will see me."	“我不会再见你了，但是你会见到我。”
0x010000060000EABB	Dialogue Text	DREAM SEAFORT / DOLORES DEI	You	"How can that be?"	“那怎么可能？”
0x010000060000EAC1	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"Oh, Harry, this is a dream, can't you see? I'm already in Mirova by now. Who knows how long ago this happened?" She looks around. "A year, two, *five* years ago?"	“哦，哈里，这是个梦境，你没看见吗？现在我人已经在米诺瓦了。谁知道已经过去多久了？”她看看周围。“一年，两年，还是*五年*？”
0x010000060000EAC7	Dialogue Text	DREAM SEAFORT / DOLORES DEI	You	"How will I see you *again* then?"	“那我怎样才能*再次*见到你呢？”
0x010000060000EACD	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"Right here. Tomorrow night. Once this dream starts happening it keeps happening -- three times a week. At least. And Harry, it really, really looks like it's started *happening* again. There's the video rental..."	“就在这里。明天晚上。一旦你进入梦境，它就会一直发生——每周至少三次。还有，哈里，看起来那件事真的又要*发生*了。录像带租赁店出现了……”
0x010000060000EAD3	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"I'm suffocatingly beautiful. And young. And I smell of tutti frutti chewing gum -- like I did that time when I asked you for forgiveness. After leaving you the first time, so long ago..."	“我是那么的灿烂华丽，让人窒息。青春洋溢。而且我闻起来有一股水果口香糖的味道——就像我第一次离开你之后，回来祈求你原谅的时候一样。那是很久之前的事了……”
0x010000060000EAD9	Dialogue Text	DREAM SEAFORT / DOLORES DEI	You	"But this is intolerably bad."	“但是这真是糟糕的让人难以忍受。”
0x010000060000EADF	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"Oh, yes. This is real darkness. It's not death, or war, or child molestation. Real darkness has love for a face. The first death is in the heart, Harry."	“哦，是的。这是真正的黑暗。这不是死亡，或者战争，或者猥亵儿童。真正的黑暗长着一张爱情的脸庞。第一次死亡是在心里的，哈里。”
0x010000060000EAFA	Dialogue Text	DREAM SEAFORT / DOLORES DEI	You	"No..."	“不要……”
0x010000060000EB01	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Dolores Dei	"Yes."	“要的。”
0x010000060000EB0C	Dialogue Text	DREAM SEAFORT / DOLORES DEI	You	"I like this."	“我喜欢这样。”
0x010000060001F26E	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Conceptualization	Silence. A distant wind blows. You can't think of anything pretty to say.	沉默。远处的风在呼啸。你想不出任何好听的话。
0x010000060001F27A	Dialogue Text	DREAM SEAFORT / DOLORES DEI	Logic	Why? That's what *dolor* means.	为什么？那就是*伤心*的含义。
