ArticyId	TermType	ConvTitle	Actor	En	Zh
0x01000006000148CB	Dialogue Text	BOARDWALK / FELD MURAL	Kim Kitsuragi	"Some sort of industrial ruin? I don't recognize the name of the company. R&D used to mean Research and Development... It looks long-abandoned."	“某种工业废墟？我不认得这个公司的名字。R&D以前代表研究和开发…看起来已经废弃很久了。”
0x01000006000148E5	Dialogue Text	BOARDWALK / FELD MURAL	Trant Heidelstam	"She?" The man hears you. "I don't know who you mean, but... the building seems long-abandoned to me."	“她？”男人听到了你的话。“我不明白你什么意思，但是…在我看来，这栋大厦已经废弃很久了。”
0x01000006000148EB	Dialogue Text	BOARDWALK / FELD MURAL	Feld Mural	You try to peer in but there are no windows on this side. Only the disinterested whistle of the wind.	你想看清里面的情况，不过这边没有窗户。只有风儿冷漠的呼啸声。
0x0100000600014947	Dialogue Text	BOARDWALK / FELD MURAL	Logic	Is *trying to talk to the city* something you've done before? Is it in your secret repertoire -- a trick for when you're out of ideas?	跟*城市对话*这件事，你之前也做过吗？这是你的秘密保留项目吗——当你想不出主意的时候就用这种诡计？
0x010000060001494E	Dialogue Text	BOARDWALK / FELD MURAL	Inland Empire	A prayer of sorts? To Revachol.	某种祈祷文？献给瑞瓦肖的。
0x0100000600014963	Dialogue Text	BOARDWALK / FELD MURAL	You	She could be *anywhere*, how do I find her?	她可能在*任何地方*，我该怎么找到她？
0x010000060001498D	Dialogue Text	BOARDWALK / FELD MURAL	Savoir Faire	An adventure awaits! An adventure on the windswept urban coast.	一场冒险等待着你！地点就在被风吹过的城市海岸。
0x0100000600014995	Dialogue Text	BOARDWALK / FELD MURAL	Endurance	Buckle up and raise your collar -- this search is going to be wet and cold.	穿厚实点，武装起来——这次的搜查一定是阴冷而潮湿的。
0x01000006000149A6	Dialogue Text	BOARDWALK / FELD MURAL	Shivers	Anyway -- you do it sector by sector. Go over the whole peninsula, ask the locals, enter the places which you *can* enter first.	不管怎么说——你打算一步步来。走遍整个半岛，询问当地人，先去那些你*可以*进去的地方看看。
0x01000006000149AC	Dialogue Text	BOARDWALK / FELD MURAL	Conceptualization	Or spiritual? She could be looking for refuge...	也许是很谨慎？她可能在寻找庇护…
0x01000006000149B2	Alternate1	BOARDWALK / FELD MURAL	Shivers	And then there's the church. You look at the bell tower, rising into the sky -- you look East and remember you already searched it. And found no trace of Ruby.	然后是教堂。你看着直插云霄的钟楼——你看着东边，想起自己好像已经搜查过了，但是没有找到露比的踪迹。
0x01000006000149B2	Dialogue Text	BOARDWALK / FELD MURAL	Shivers	And then there's the church. You look at the bell tower rising into the clouds -- a prominent place to hide, but maybe she's reckless?	然后是教堂。你看着高耸入云的钟楼——藏在这里好像有点太显眼了，不过也许她很鲁莽呢？
0x01000006000149BA	Dialogue Text	BOARDWALK / FELD MURAL	Perception (Hearing)	Indeed. About 70 metres west from here.	确实。从这里往西大概70米的地方。
0x01000006000149C0	Alternate1	BOARDWALK / FELD MURAL	Shivers	How hard can it be? You were told she's north of the village and this place is a peninsula. West of here there are the cryptozoologists -- helping them might give you a reason to map out the place.	能有多难？有人告诉过你，她在村子的北边，而且这地方是个半岛。西边是神秘动物学家，帮助他们也许可以给你一个摸清地形的理由。
0x01000006000149C0	Alternate2	BOARDWALK / FELD MURAL	Shivers	How hard can it be? You were told she's north of the village and this place is a peninsula. You've already mapped it out while checking the traps. So you *know* the place.	能有多难？有人告诉过你，她在村子的北边，而且这地方是个半岛。你在检查陷阱的时候已经摸清了这里。所以你已经*知道*这个地方了。
