ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000030000028A	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	And then sleep doesn't come.	然而你睡不着。
0x01000005000033E5	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Go to sleep.	睡觉。
0x01000005000033EB	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Go to sleep.	睡觉。
0x01000005000033F1	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Go to sleep.	睡觉。
0x01000005000033F7	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Go to sleep.	睡觉。
0x01000005000033FD	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Go to sleep.	睡觉。
0x0100000500003408	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Go to sleep.	睡觉。
0x0100002100001245	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	...	……
0x010000210000124C	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	...	……
0x010000210000187C	Dialogue Text	DAYCHANGE / TEQUILA BED	Tutorial Agent	The option to go to sleep becomes available every night after 21.00.	每天21点之后，睡觉的选项就会开启。
0x01000021000023A0	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The bed's a little nicer now. You could get a good night's sleep here.	现在床感觉好一些了。你可以在这里睡个好觉。
0x01000021000023B7	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The window is fixed, the sheets are new, it's easier to fall asleep than ever before...	窗户修好了，床单是新的，现在比以前更容易入睡……
0x0100005A0001243B	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Crawl in.	准备休息。
0x0100005A00012447	Dialogue Text	DAYCHANGE / TEQUILA BED	You	No time to rest yet. [Leave.]	还不是休息的时候。[离开。]
0x0100005A0001244E	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The sheets feel at once coarse and clammy against your skin. The bed sags beneath your weight as you stretch out and finally close your eyes...	一接触到身下的床单，皮肤立即感觉到粗糙而湿冷。你伸开手脚，整张床随着你的重量慢慢下陷。最终，你慢慢合上双眼……
0x0100005A00012483	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The bed is cold and not particularly inviting, but it's yours. The sheets look awful...	你身下的床冰冰凉凉，算不上特别诱人，但至少它属于你。不过床单看上去有点糟糕……
0x0100005A000124C1	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The bed is still cold from the broken window, and not too inviting. But it's yours. You've earned it.	窗户破了，整张床也是冰冰凉凉的。虽然不那么诱人，但至少它属于你。这是你应得的。
0x0100005A0001256B	Dialogue Text	DAYCHANGE / TEQUILA BED	You	Go to sleep.	睡觉。
0x0100005A00012579	Alternate1	DAYCHANGE / TEQUILA BED	Bed	The unchanged linens are only getting greasier and greasier every time you crawl among them. Like some wounded animal you close your eyes and ask for sleep. Just some hours of regular sleep, please...	每次你爬上床单，这张一尘不变的亚麻制品只是变得越来越黏腻。你就像一只受伤的困兽渴求着睡眠。只是照例睡几个小时而已……
0x0100005A00012579	Alternate2	DAYCHANGE / TEQUILA BED	Bed	The room behind your closed eyelids is familiar now. The only home you've ever known. Its darkness gathers. The last thing you hear is the wind blowing in through the broken window, then something comes: a kind of sleep...	在你合上的眼眸背后，是逐渐熟悉的房间。你唯一已知的家。黑暗慢慢凝聚成团。你最后听见的，只有从破窗户里钻进来的风声。接下来，是某种东西的到来：睡意……
0x0100005A00012579	Alternate3	DAYCHANGE / TEQUILA BED	Bed	It's not easy, but your bones are *so* tired from what feel like *weeks* of work on the case. You have to try. After what feels like hours, you feel you *might* be sleeping...	这并不容易，你的骨头感觉*特别*疲惫，仿佛已经连续*几周*都扑在了这个案子上。你必须试一下。像是过了几个小时之后，你感觉自己*好像*是睡着了……
0x0100005A00012579	Alternate4	DAYCHANGE / TEQUILA BED	Bed	The bed is still cold from the wind blowing in from the broken window. The mattress creaks as you close your eyes and try your hardest to fall asleep...	窗户破了，整张床也是冰冰凉凉的。你合上双眼，身下的床垫也跟着嘎吱作响。你拼尽全力让自己入睡……
0x0100005A00012579	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The passage of time has not made the sheets any less coarse. The bed sags beneath your weight as you close your eyes and drift off into an uneasy sleep...	床单并没有随着时间的流逝变得柔软。合上双眼，身下的床也随着重量慢慢凹陷下去。你渐渐陷入惴惴不安的梦乡……
0x0100005A0001258A	Alternate1	DAYCHANGE / TEQUILA BED	Bed	The bed is alright. You could sleep here -- later, once night has come. To the sound of waves crashing outside... you've earned it.	这张床还不错。你可以睡在这里——当然，是等夜幕降临的时候。外面的海浪还在翻腾……这是你应得的。
0x0100005A0001258A	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The bed is comforting, if a bit run down. Still, you've earned a rest.	这张床有那么一点点破旧，不过也算得上舒适。而且，你真的应该好好休息一下。
0x0100005A00012595	Alternate1	DAYCHANGE / TEQUILA BED	Bed	The place feels almost like home now, quiet and dignified around you -- a new life by the seaside. You're incredibly tired. The darkness and warmth come fast. You're falling asleep...	现在这个地方已经感觉有点像家了，宁静和庄严的氛围包围着你——新的生活即将在海边展开。你感觉到极度疲累。黑暗和暖意很快袭来。你开始觉得昏昏欲睡……
0x0100005A00012595	Alternate2	DAYCHANGE / TEQUILA BED	Bed	The bed underneath you is soft, if lumpy. Waves wash the sand underneath the hut, then grow distant to your ear. In the quiet hum of the organic heater, you fall asleep...	你身下的床虽然有些粗糙，但还算柔软。海浪冲刷着小屋下的沙滩，声响离你的耳边越来越远。在有机加热器静默的嗡鸣声中，你慢慢陷入梦境……
0x0100005A00012595	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	Across the room, the heating system hums its soft lullaby. The mattress feels soft and sheets warm. It only takes you moments for the world to fall away...	供暖系统低沉地哼唱着摇篮曲，声音响彻整个房间。身下是柔软的床垫和温暖的床单。不消几分钟，整个世界就渐渐在你眼前消散了……
0x0100006B00003CFA	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The day has not made the sheets any less coarse. The bed sags beneath your weight as you close your eyes and fall into uneasy sleep...	时间并没有让身下的床单变得柔软起来。你闭上双眼，整张床随着身体的重量慢慢下陷，你忐忑不安地进入梦乡……
0x0100006B00003D09	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	Across the room, the heating system hums a soft lullaby. The mattress feels soft and sheets warm. After some time you fall into uneasy sleep...	供暖系统低沉地哼唱着摇篮曲，声音响彻整个房间。身下是柔软的床垫和温暖的床单。过了一会儿，你忐忑不安地进入梦乡……
0x010000710000163A	Dialogue Text	DAYCHANGE / TEQUILA BED	Bed	The sheets feel at once coarse and clammy against your skin. The bed sags beneath your weight as you stretch out and finally close your eyes...	一接触到身下的床单，皮肤立即感觉到粗糙而湿冷。当你伸开手脚，整张床随着你的重量慢慢下陷。最终，你慢慢合上双眼……
