ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000400014FF4	Dialogue Text	PIER / APARTMENTS PIER DOOR	Kim Kitsuragi	"Madam, I assure you we're real police officers," the lieutenant repeats dutifully.	“夫人，我向你保证，我们是真警察，”警督尽职尽责地重复到。
0x0100000400014FFC	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Kim, tell her we're real policemen!"	“金，告诉她我们是真警察！”
0x01000005000039F1	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Ma'am, we're looking for Billie Méjean's apartment. We have important news to deliver."	“夫人，我们正在寻找比莉·梅让的公寓。我们有重要消息要传达。”
0x01000005000039F8	Dialogue Text	PIER / APARTMENTS PIER DOOR	Southwest Entrance to the Tenements	No reply. You can hear faint sweeping inside; a gust of wind blows through your clothes.	没有回应。你可以听见里面微弱的扫地声；一阵风吹过你的衣衫。
0x010000060001B8FB	Dialogue Text	PIER / APARTMENTS PIER DOOR	Visual Calculus	This could be a way into the apartment building the smoking man vanished into.	这可能是进入公寓大楼的一条路，抽烟的男人就是从那里消失的。
0x010000060001B90D	Dialogue Text	PIER / APARTMENTS PIER DOOR	Visual Calculus	Backyard door? There must be another entrance to the east.	后院的门？东边肯定还有一个入口。
0x010000060001B91C	Dialogue Text	PIER / APARTMENTS PIER DOOR	Interfacing	Backyard door? With the smoker? You already were there. Didn't work.	后院的门？那边是不是有个抽烟的人？你已经去过那边了。没用。
0x010000060001B924	Dialogue Text	PIER / APARTMENTS PIER DOOR	Southwest Entrance to the Tenements	There is no reply. Just faint sweeping sounds inside.	没有回应。你可以听见里面微弱的扫地声。
0x010000060001B92C	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	Am I?	我有吗？
0x010000060001B933	Dialogue Text	PIER / APARTMENTS PIER DOOR	Authority	Obviously. Look at that vague yet threatening stuff spewing forth from your mouth...	很明显。看看从你嘴里喷涌而出的那些模糊而又吓人的东西……
0x010000060001B943	Dialogue Text	PIER / APARTMENTS PIER DOOR	Authority	You already tried and all you got was *hurt*. Better not to try anymore. Then you won't get HURT.	你已经试过了，不过唯一得到的只有*伤害*。最好不要再试了。那样你就不会受伤。
0x01000057000166A4	Dialogue Text	PIER / APARTMENTS PIER DOOR	Southwest Entrance to the Tenements	A sturdy metal door guards the southwest entrance to the apartment building. It's locked.	一扇坚固的金属门守卫着公寓大楼西南方的入口。它是锁着的。
0x01000057000166AA	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	Knock.	敲门。
0x01000057000166B0	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	[Leave.]	[离开。]
0x01000057000166B9	Dialogue Text	PIER / APARTMENTS PIER DOOR	Southwest Entrance to the Tenements	The door rattles against your knuckles, but there's no response.	随着你指关节的敲击，大门发出嘎吱嘎吱的响声，不过没有人回应。
0x01000057000166C5	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	Knock again.	再敲一次。
0x01000057000166CC	Dialogue Text	PIER / APARTMENTS PIER DOOR	Southwest Entrance to the Tenements	The door rattles again, but this time you hear an elderly woman's voice calling out from inside...	门再次发出嘎吱嘎吱的响声，不过这一次你听见里面传来一个老妇人的声音……
0x01000057000166D3	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	Convince her that you're a real policeman.	说服她你是个真正的警察。
0x01000057000166D3	tooltip1	PIER / APARTMENTS PIER DOOR	You	Kim is here.	金在这里。
0x01000057000166D3	tooltip2	PIER / APARTMENTS PIER DOOR	You	Found your badge.	找到你的警徽。
0x01000057000166D3	tooltip3	PIER / APARTMENTS PIER DOOR	You	Kim confirmed you are officers.	金确认你是警官。
0x01000057000166D3	tooltip4	PIER / APARTMENTS PIER DOOR	You	Billie Méjean's apartment.	比莉·梅让的公寓。
0x01000057000166D3	tooltip5	PIER / APARTMENTS PIER DOOR	You	Dresscode: RCM official.	着装要求：RCM警官。
0x01000057000166EB	Dialogue Text	PIER / APARTMENTS PIER DOOR	Authority	You can't think of anything convincing. Time for some police brutality!	你想不出什么让人信服的事情。是时候来点警察暴力了！
0x01000057000166F0	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"I'm gonna light this place up!" (Roll up your sleeves.)	“我要把这个地方点燃！”（卷起你的袖子。）
0x0100005700016719	Dialogue Text	PIER / APARTMENTS PIER DOOR	Authority	You're well versed in the kind of threatening legalese that implies criminal liability but in fact has no meaning whatsoever.	你很精通这类意味着刑事责任的威胁性法律术语，不过实际上没有任何意义。
0x010000570001DA93	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"This is the police -- open the door."	“我是警察——把门打开。”
0x010000570001DA99	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Hold on, who am I speaking to?"	“等一下，我在跟谁说话？”
0x010000570001DAA0	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"The police?! Everyone knows the police don't come around *here*.“ The hallways echoes with her cackle.	她的笑声在走廊里回荡：“警察？！所有人都知道警察不会来*这里*的。”
0x010000570001DAA8	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"It doesn't matter who I am. Now go on, get out of here!"	“我是谁无所谓。现在，赶快离开这里！”
0x010000570001DAB0	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"But I'm not joking."	“但是我没有开玩笑。”
0x010000570001DAE4	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Hey, are you there? I've checked the backyard, but couldn't get in that way."	“喂，你在吗？我检查过后院了，不过那边进不去。”
0x010000570001DAF1	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"Good. We've had enough problems with bums and drunks and thieves loitering in the hallway... You have no business here."	“很好。我们已经受够那些在走廊里闲晃的流浪汉、醉鬼和小偷了……这里没你什么事。”
0x010000570001DAF8	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"No, I already told you, I won't be responsible for any more strangers getting into the building..."	那个声音回复到：“不行，我已经告诉过你了，我不会再让任何陌生人进入这栋大楼了……”
0x010000570001DAFF	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"I need to talk to a young man in this building."	“我需要跟这里的一个年轻男性聊几句。”
0x010000570001DB0D	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"Go check the backyard door, maybe someone there will..." She trails off, leaving the sentence unfinished.	“去后院门看看，也许那边有人可以……”她的声音越来越小，话没有说完。
0x010000570001DB1D	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"You don't scare me, punk! I may be an old woman but I can still take the likes of you!"	“你吓不到我的，小阿飞！我也许是个老女人，不过我还是能对付你这种人的！”
0x010000570001DB24	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Ma'am, if you don't open this door, I'm gonna introduce you to a lateral vascular neck restraint -- and it's going to *hurt*."	“夫人，如果你不打开这扇门，我就要对你施行锁喉的手段了——而且，那样一定会*很疼*的。”
0x010000570001DB38	Dialogue Text	PIER / APARTMENTS PIER DOOR	Kim Kitsuragi	"No, you're not."	“不，你不会的。”
0x010000570001DB3D	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Open up or I'm gonna breach this motherfucker!" (Kick the door.)	“把门打开，不然我就砸了这个狗屁玩意！”（踹门。）
0x010000570001DC5A	Dialogue Text	PIER / APARTMENTS PIER DOOR	Perception (Hearing)	From within comes the faint sound of a broom sweeping across the concrete floor.	里面传来扫帚清扫混凝土底板的微弱声响。
0x010000570001DFF8	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Ma'am, your non-compliance is hindering a police matter. I may be forced to refer you for potential prosecution."	“夫人，你不服从的行为是在妨碍警方办案。我可能会被迫把你列为潜在的诉讼对象。”
0x010000570001DFFF	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"I know my rights! And don't you 'ma'am' me, boy!" the voice snaps back.	“我知道自己的权利！还有，不要再叫我‘夫人’了，小子！”那个声音突然又响了起来。
0x010000570001E01F	Dialogue Text	PIER / APARTMENTS PIER DOOR	Authority	Insufficiently deferential!	不够恭敬！
0x010000570001E032	Dialogue Text	PIER / APARTMENTS PIER DOOR	Kim Kitsuragi	"Miss," the lieutenant jumps in, "would it help if we offered to show you our badges?"	“女士，”警督插了进来，“如果我们把警徽拿给你看的话，会不会有帮助呢？”
0x010000570001E03F	Dialogue Text	PIER / APARTMENTS PIER DOOR	Perception (Hearing)	But the sweeping on the other side has stopped.	另一边扫地的声音停下来了。
0x010000570001E047	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"Hold your horses..." You hear the click of a night latch, before the lady on the other side gets caught in a coughing spasm.	“不要着急……”你听见门闩发出的咔哒声，另一边的女士咳嗽个不停。
0x010000570001E04D	Dialogue Text	PIER / APARTMENTS PIER DOOR	Cleaning Lady	"I don't care about your stinkin' badge. Just come in," she manages to say with a wheeze.	“我不在乎你的什么鬼警徽。进来吧，”她气喘吁吁地说到。
0x010000570001E055	Dialogue Text	PIER / APARTMENTS PIER DOOR	You	"Okay, miss, would it help if I showed you my badge?"	“好吧，女士，如果我把警徽拿给你看的话，会不会有帮助呢？”
