ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100008100003029	Dialogue Text	JAM ORB / dlc truck	Shivers	The Delta Logistics Company truck stands here waiting, reflecting white light from the courtyard behind it.	德尔塔物流公司的货車在这里等待着，后面院子的白光反射在車身上。
0x0100008100003036	Dialogue Text	JAM ORB / dlc truck	You	Are there people in there?	里面有人吗？
0x0100008100003042	Dialogue Text	JAM ORB / dlc truck	You	Why is the light so strange?	为什么这光感觉怪怪的？
0x0100008100003048	Dialogue Text	JAM ORB / dlc truck	You	Let it go for now. [Leave.]	暂时先不管它。[离开。]
0x010000810000305D	Dialogue Text	JAM ORB / dlc truck	Shivers	Because this is a place of mystery.	因为这是一个神秘的地方。
0x0100008100003063	Dialogue Text	JAM ORB / dlc truck	Shivers	Yes, people hard at work at their desks. They can barely tell if it's day or night anymore because the lights in the building are so uniform and bright. Who knows when they'll come out?	是的，人们努力伏案工作着。大楼里的灯光始终那么明亮，让他们很难分辨现在是白天还是黑夜。谁知道他们什么时候会出来？
0x010000810000306F	Dialogue Text	JAM ORB / dlc truck	You	What keeps them motivated?	是什么给了他们动力？
0x0100008100003075	Dialogue Text	JAM ORB / dlc truck	Shivers	Could be. They certainly want to stir the pot. Remake reality in some new image.	也许。他们肯定想破坏现状，用某种新形象来重新塑造现实。
0x010000810000309E	Dialogue Text	JAM ORB / dlc truck	You	Are they really so pressed for time to finish whatever they're doing? Sounds potentially dangerous...	不管他们在做什么，完成时间真有这么紧张吗？听起来好像挺危险的……
0x01000081000030A7	Dialogue Text	JAM ORB / dlc truck	You	Those don't sound like proper working conditions.	听起来可不像什么恰当的工作环境。
0x01000081000030AF	Dialogue Text	JAM ORB / dlc truck	You	Sounds like a highly motivated bunch.	听上去像是一群干劲十足的人。
0x01000081000030B5	Dialogue Text	JAM ORB / dlc truck	You	I hope they're working for the glory of Revachol, at least.	希望他们至少是为了瑞瓦肖的荣耀而工作。
0x01000081000030BB	Dialogue Text	JAM ORB / dlc truck	Shivers	Irony. They're yuppies masquerading as Mazovians... Or was it Mazovians masquerading as yuppies? Even they get confused sometimes, out here in poverty-stricken Martinaise.	讽刺。他们是冒充马佐夫主义者的雅皮士……又或者是马佐夫主义者在冒充雅皮士？在备受贫穷困扰的马丁内斯，就连他们自己有时也会搞混。
0x01000081000030C2	Dialogue Text	JAM ORB / dlc truck	Shivers	Yes, and it's rather ironic, because they believe themselves to be Mazovians deep down.	是的，确实很讽刺，因为在内心深处，他们相信自己是马佐夫主义者。
0x01000081000030CB	Dialogue Text	JAM ORB / dlc truck	Shivers	Could be. Not sure they remember what they're working for anymore themselves...	也许。不确定他们是否还记得自己在为什么工作……
0x01000081000030D1	Dialogue Text	JAM ORB / dlc truck	Shivers	Yes, they are highly motivated by irony, being yuppies masquerading as Mazovians... Or was it Mazovians masquerading as yuppies? Even they get confused sometimes, here in poverty-stricken Martinaise.	是的，作为冒充马佐夫主义者的雅皮士，他们在讽刺的激励下积极奋斗着……又或者是冒充雅皮士的马佐夫主义者？在备受贫穷困扰的马丁内斯，就连他们自己有时也会搞混。
0x01000081000063DA	Alternate1	JAM ORB / dlc truck	Shivers	You're not yet equipped for that expedition.	你还没准备好去探险。
0x01000081000063DA	Dialogue Text	JAM ORB / dlc truck	Shivers	Not yet.	还没有。
0x01000081000063E7	Alternate1	JAM ORB / dlc truck	Kim Kitsuragi	"A mythical cocaine skull could hardly be of any consequence to our ongoing investigation." The lieutenant adjusts his glasses.	警督调整了一下眼镜。“一个虚构的可卡因骷髅跟我们现在的调查几乎没有任何关系。”
0x01000081000063E7	Dialogue Text	JAM ORB / dlc truck	Kim Kitsuragi	"Whatever's going on there could hardly be of any consequence to our ongoing investigation." The lieutenant adjusts his glasses.	警督调整了一下眼镜。“不管那里发生了什么，对我们现在的调查都几乎没有任何影响。”
0x01000081000063EF	Dialogue Text	JAM ORB / dlc truck	Kim Kitsuragi	"You can come back to it on your own when we're done with this case."	“案子处理完之后，你可以自己再回来。”
0x01000081000063F5	Alternate1	JAM ORB / dlc truck	You	"Hey Kim, let's try to get into that courtyard. That's where Idiot Doom Spiral said we could find the cocaine skull..."	“喂，金，我们想办法进院子里去吧。白痴厄运漩涡说我们可以在里面找到可卡因骷髅……”
0x01000081000063F5	Alternate2	JAM ORB / dlc truck	You	"Hey Kim, let's try to get into that courtyard. It's *so* mysterious."	“喂，金，我们想办法进院子里去吧。它*真是*太神秘了。”
0x01000081000063F5	Alternate3	JAM ORB / dlc truck	You	Isn't that where the cocaine skull is supposed to be? How do I get into the courtyard?	那不就是可卡因骷髅的所在地吗？我怎么才能进到院子里去呢？
0x01000081000063F5	Dialogue Text	JAM ORB / dlc truck	You	Can't I get into the courtyard somehow?	难道就不能想办法进到院子里去吗？
0x0100008100006408	Dialogue Text	JAM ORB / dlc truck	Shivers	You knew it would be here, blocking the gate.	你知道它可能就在这里，堵住了大门。
0x0100005A00002CB2	Dialogue Text	JAM ORB / fuckoffafterthought	Half Light	Damn, that felt *good*. Your heart's pounding nicely. You should tell people to fuck off more often.	见鬼，这种感觉*很棒*。你的心兴奋地跳动着。你应该告诉别人，要多犯点错误才对。
0x0100005A00002CB9	Dialogue Text	JAM ORB / fuckoffafterthought	You	Fuck yeah, motherfuckers!	真他妈的对，混帐东西！
0x0100005A00002CC0	Dialogue Text	JAM ORB / fuckoffafterthought	You	"Kim, I think I should tell people to fuck off more often. It felt really good."	“金，我觉得我应该告诉别人，应该多犯点错误，感觉真的很棒。”
0x0100005A00002CC6	Dialogue Text	JAM ORB / fuckoffafterthought	You	It's not really my style.	这真的不是我的风格。
0x0100005A00002CCE	Dialogue Text	JAM ORB / fuckoffafterthought	Kim Kitsuragi	"Not as a general rule, but that one was justified. Better to get the lay of the land before telling people to fuck off."	“照例来说不应该这样，不过确实是事出有因。在告诉别人多犯错误之前，最好先弄清楚情况的好。”
0x0100005A00002CDC	Dialogue Text	JAM ORB / fuckoffafterthought	Authority	That means you should do it whenever you feel like someone's disrespecting your authority.	这就意味着：每当你感觉有人不尊重你的权威，就应该这么做。
0x0100005A00002CEB	Dialogue Text	JAM ORB / fuckoffafterthought	Volition	No, you shouldn't. You're an officer of the law.	不，你不应该这么做。你是执法人员。
0x0100005A00002CF5	Dialogue Text	JAM ORB / fuckoffafterthought	Half Light	Never forget: The whole world's a wooden house and you're a god damn flamethrower.	永远不要忘记：这个世界是一座木房子，而你是一个该死的火焰喷射器。
0x0100005A00002CFB	Dialogue Text	JAM ORB / fuckoffafterthought	Half Light	Hey, I've got an idea on how to fix your style. Maybe you should just go fuck yourself? Yeah, ever thought of that?	喂，我想到一个办法可以修复你的风格。也许你应该玩自己的老二去？对哦，有没有想过这一点？
0x01000070000009B5	Dialogue Text	JAM ORB / fuckoffafterthought	Half Light	That's the spirit!	这才是精神所在！
0x0100002B00041080	Dialogue Text	JAM ORB / logic orb	Logic	Someone here is stealing from a company called Humanox.	这里有人在从一个名叫纽曼奥克斯的公司偷东西。
0x0100002B0004108D	Dialogue Text	JAM ORB / logic orb	Kim Kitsuragi	"Did you see that?" The lieutenant nods towards the vehicle. "The seals on the humanitarian aid lorry have been broken off."	“你看见了吗？”警督朝着一辆車点点头。“人道救援货車上的封条被撕掉了。”
0x0100002B00041092	Dialogue Text	JAM ORB / logic orb	Encyclopedia	Humanox is a non-profit humanitarian aid organization created by EPIS countries to provide assistance during humanitarian crises.	纽曼奥克斯是一个非盈利性的人道主义救援组织，由EPIS国家创建，目的是在人道主义危机发生时提供援助。
0x0100002B0004109C	Dialogue Text	JAM ORB / logic orb	You	"Looks like someone's stealing."	“看来有人在偷东西。”
0x0100002B000410A2	Dialogue Text	JAM ORB / logic orb	You	"I did see it, yes. Let's better not jump to any conclusion."	“我看见了，没错。我们最好先别下定论。”
0x0100002B000410AA	Dialogue Text	JAM ORB / logic orb	Kim Kitsuragi	"You may be right," he agrees, scanning the jam. "Let's keep our eyes open."	“也许你是对的，”他扫了一眼拥堵的交通，表示赞同。“我们最好把眼睛睁大点。”
