ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000040001505A	Dialogue Text	APT ORB / abandoned apt shivers	Shivers	A shift in temperature. The air chills around you. Dust settles on the stony floor.	周围的温度突然变化，冰冷的空气将你包围。灰尘静静地躺在石头地板上。
0x010000040001505F	Dialogue Text	APT ORB / abandoned apt shivers	You	[Discard thought.]	[放弃思维。]
0x0100000400015067	Dialogue Text	APT ORB / abandoned apt shivers	You	Rub your sides for warmth.	摩擦自己的身体来取暖。
0x010000570001E06D	Dialogue Text	APT ORB / abandoned apt shivers	Shivers	A former architect stands before a slice of window, a room plan in her hand. A cold wave has made the air in the building stand still and frozen, with temperatures falling down to -20°C.	一位前建筑师站在一扇窗户前，手中握着一份房间的平面图。寒潮让这栋建筑里的空气凝固下来，冰冷刺骨，温度已经下降到零下20度。
0x010000570001E07A	Dialogue Text	APT ORB / abandoned apt shivers	You	Her face...	她的脸……
0x010000570001E080	Dialogue Text	APT ORB / abandoned apt shivers	You	The plan...	那张平面图……
0x010000570001E086	Dialogue Text	APT ORB / abandoned apt shivers	You	Shiver. [Finish thought.]	颤抖。[完成思维。]
0x010000570001E090	Dialogue Text	APT ORB / abandoned apt shivers	Shivers	...is red from the cold. She's breathing on her fingers clasping the plan. Traces of sadness are visible in her expression.	……被冷空气冻得通红。她不停地朝握着平面图的手指哈气。从她的表情里，你捕捉到悲伤的痕迹。
0x010000570001E096	Dialogue Text	APT ORB / abandoned apt shivers	Shivers	... faint pencil lines on paper depict the same place, but a missing eastern wall connects the room with the neighbouring apartment. Ideas for arranging the furniture have been jotted down.	……纸上模糊的铅笔线描绘出相同的地点，但是少了一堵与隔壁公寓连接的东墙。家具的布置方案已经记录下来了。
0x010000570001E09E	Dialogue Text	APT ORB / abandoned apt shivers	Shivers	It's clean and empty, with new tapestry embellishing the walls. A standard HB graphite pencil has fallen off a three-legged stool in the middle of the room.	这里空旷而整洁，墙上装饰着新挂毯。一支标准的HB石墨铅笔从屋子中央的三腿凳上滚落了下来。
0x010000570001E0A6	Dialogue Text	APT ORB / abandoned apt shivers	You	Look around yourself...	看看自己周围……
0x010000570001E2C0	Dialogue Text	APT ORB / abandoned apt shivers	Conceptualization	She had an eye for beauty.	她的审美眼光不俗。
0x0100008F0000053C	Dialogue Text	APT ORB / electrochem after picking up speed	Electrochemistry	Take the speed. Take that glorious stuff. You have it now. You've got it! TAKE IT!	拿走思必得。拿走那份光辉与荣耀。现在它是你的了。你拥有它了！快拿走！
0x0100008F00000549	Dialogue Text	APT ORB / electrochem after picking up speed	You	Let's get fucked up.	让我们一起见鬼去吧。
