ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001502E	Dialogue Text	LAIR ORB / beware shivers	Rhetoric	It's not a quib. The situation is dangerous.	这不是在嘲弄谁。现在的情况很危险。
0x0100000600015034	Dialogue Text	LAIR ORB / beware shivers	Authority	He trusts your gut feeling on this.	他相信你的直觉。
0x010000060001503F	Dialogue Text	LAIR ORB / beware shivers	Kim Kitsuragi	He lowers his voice. "Once we detain a credible suspect, who knows what the Union and the Wild Pines will do? We'll set in motion events we have no control over."	他压低了声音。“一旦我们拘留了可靠的嫌疑人，谁知道工会和野松公司会怎么做？我们将无法掌控事态的发展。”
0x0100000600015046	Dialogue Text	LAIR ORB / beware shivers	Logic	You will upset the balance of power in Martinaise. The deadlock between the company and the Union will destabilize.	你会扰乱马丁内斯的势力平衡。公司和工会之间的僵局将会动摇。
0x010000060001504E	Dialogue Text	LAIR ORB / beware shivers	Interfacing	This part of town is a fine clockwork puzzle. Disturb its peace and it will start breaking down -- uncontrollably.	城市的这个部分是个精细的钟表谜题。一旦打破它的平衡，就会开始分崩离析——完全无法控制。
0x0100000600015058	Dialogue Text	LAIR ORB / beware shivers	You	"We haven't met the Union leader yet. We should maybe get into the harbour before this?"	“我们还没见过工会领袖。也许在这之前，我们可以去港口看看？”
0x010000060001505E	Dialogue Text	LAIR ORB / beware shivers	You	"We've met the Union leader, but haven't gotten any info from him. Maybe we should talk to him more first?"	“我们已经见过工会领袖，但没能从他那里得到任何信息。也许应该先去找他聊聊？
0x0100000600015064	Dialogue Text	LAIR ORB / beware shivers	You	"Evrart knows more than he's told us. Maybe we should continue working for him?"	“艾弗拉特知道的比他告诉我们的多。也许我们应该继续做他的工作？”
0x010000060001506A	Dialogue Text	LAIR ORB / beware shivers	You	"We've found out Evrart's plan to take the harbour -- maybe we should tell Joyce about it?"	“我们已经发现艾弗拉特想要夺取港口的计划——也许应该去跟乔伊斯聊聊？”
0x0100000600015070	Dialogue Text	LAIR ORB / beware shivers	You	"We still don't know the full extent of Evrart's plans. I told Joyce -- maybe we should see Evrart again?"	“我们还不知道艾弗拉特的全部计划。我告诉过乔伊斯了——也许我们应该再去见见艾弗拉特？”
0x0100000600015076	Dialogue Text	LAIR ORB / beware shivers	You	"We know Evrart's true intentions *and* his plan for Martinaise. What more is there to do with the Union?"	“我们知道艾弗拉特的真正目的，*还有*他对马丁内斯的计划。那还跟工会有什么关系呢？
0x010000060001507C	Dialogue Text	LAIR ORB / beware shivers	Volition	Keep calm. Go over the whole situation in detail.	冷静点。把整体情况再细致地梳理一遍。
0x0100000600015084	Dialogue Text	LAIR ORB / beware shivers	Kim Kitsuragi	"You're right, there won't be time to do that when the dominoes are falling. At the first sign of danger, they will shut the place down for good."	“你说的没错，一旦多米诺骨牌倒下，就没时间这么做了。只要一看到危险的信号，他们就会永远关闭这个地方。”
0x010000060001508A	Dialogue Text	LAIR ORB / beware shivers	Visual Calculus	He's right. That place is like a fortress. It's already almost impenetrable.	他是对的。那个地方就像个堡垒，本来就可以说是密不透风了。
0x0100000600015091	Dialogue Text	LAIR ORB / beware shivers	Kim Kitsuragi	"You're right, however corrupt he may be, nothing happens in Martinaise without him knowing. We might have to dirty our hands, but..."	“你是对的，不管他有多腐败，马丁内斯发生的一切都逃不过他的双眼。我们也许会弄脏自己的双手，不过……”
0x0100000600015097	Dialogue Text	LAIR ORB / beware shivers	Esprit de Corps	...in this case, we can't afford to be squeaky clean.	……在这种情况下，我们也不能独善自身。
0x01000006000150A0	Dialogue Text	LAIR ORB / beware shivers	Kim Kitsuragi	"I'll leave that to your judgement. You already know what I think about cross-pollinating information like this. It's dangerous, but..."	“这就交给你去判断了。你已经知道我对于这种交叉信息的看法。的确很危险，但是……”
0x01000006000150A6	Dialogue Text	LAIR ORB / beware shivers	Rhetoric	He just can't be sure -- maybe it will yield something useful?	他就是无法确定——也许会出现一些有用的东西？
0x01000006000150AF	Alternate1	LAIR ORB / beware shivers	Kim Kitsuragi	"I don't know, little things?" He pauses. "But you're right. We've gotten everything we can from the Union -- we even opened that container..." 	“我不知道，小东西？”他停顿了一下。“但是你说得对。工会那边，能得到的消息我们都掌握了——我们甚至还把那个集装箱打开了……”
