ArticyId	TermType	ConvTitle	Actor	En	Zh
2r58j35_p5iqcumr	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"I harpoon-hunt all my meals."	
3al0n2h2zonopuqs	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Stop worrying and start living."	
5_z2zn9ulj9qqltd	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Warmer than you fucking think, grandpa."	
53kmhe2mrjpkyg54	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"The juice is worth the squeeze."	
89jrlaalpzu5fh4t	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"I am immortal."	
9dlzavtqpmxsq804	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Can't feel my fucking lingam."	
atg_uz9a2ely1d7f	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"I'm the guy who *doesn't* need the ambulance."	
cbd3jpbb8im8faux	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Even dying is an art."	
dhvffsdsrkwp010_	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Are you getting stronger or weaker right now?"	
eeogbhk7jr5e384z	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Willpower embodied."	
fft_l0l50s6tb3k7	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"With TRT it's good to start early."	
g3jersi93dul98vr	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Unstoppable force."	
n8q56yig92_u4kzv	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Do you even meditate?"	
pgv75uxbv_nrsk4p	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"The clock goes only one way."	
pp7n_n2l3zopl85f	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"Get your testosterone levels checked."	
x5tqu4klygxtw0f4	Dialogue Text	Arx - EasterEggs / Flow – The Arctic Swimmer		"I'm only getting stronger."	
_822cx9cfqxx0bxg	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Rhetoric	Classic case of Mullen-mania, a well-documented condition.	
_l3uoaxuyi5cf8sf	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	Got what?	
_vfwjfuvev6w73vi	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	Actually I think I got that one wrong.	
_zce5w7pbwp3z03f	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Visual Calculus	The whole shebang.	
1wb6ut1mj4woersf	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	No, I didn't. Whatever it was. [Discard thought.]	
25n8c8iv607gdwmv	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Visual Calculus	Don't think like a cop, cops don't solve cases. They slide nippers on the goons and take 'em to the big house, but they don't *solve* anything.	
2s1z9yzrq5f1v_lg	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	So I am a dick?	
508388zf_oaeq2h8	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	I think I've always felt like a private investigator.	
9yfwykgprf417lrr	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Encyclopedia	A-khm! This cop here solved 216 cases over 18 years.	
aaiqj1gc2hmt41_v	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	Who does then?	
acqsmn7dou81c929	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Visual Calculus	If there's any doubt, consult your trusty Dick Mullen book and reconnect with the real you, him. Dick Mullen. You. Him. Youse. Modus: Mullen.	
armygwy_heo8sgnr	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Visual Calculus	Bullseye. A snooper. And a damn good one.	
bh7f2dvpi0r2bc3s	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	So they *did* love each other to death?	
c1i8yowv4kkqo986	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Logic	The deaths of Charlie Spillane and Deanna Deneuve, the case Dick Mullen was on  -- that's what this crooked swindle must be.	
c4rh3fo2t655ymfx	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	I don't feel like a private investigator.	
e42sc9uv70uxq463	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Visual Calculus	The dicks, gum-heels, hawkshaws, peepers, sleuths -- men like Mullen and you.	
g5dh0pht1bk02ndn	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Visual Calculus	The coat, the hat, the swindle so crooked a yeggman couldn't break it.	
gtotd8khl_elbi36	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	So Mullen *did* ice his best friend and the broad?	
i0wbyvvq57d7o_dm	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Composure	You're right, he used to be more polite.	
jzbwkolbkxfkjoq8	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Visual Calculus	That's it. You got it.	
k3f20138pxa8gf02	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	You	Wait, why are you talking like that?	
kfjmbhfeyx4g3k02	Dialogue Text	Arx - EasterEggs / Modus Mullen / Flow – INITIATING MODUS: MULLEN	Electrochemistry	This is why you should never read books.	
