ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001E8BA	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Endurance	This one isn't used to being suited this long. She's uncomfortable; will open fire just to hurry things along.	这个人不习惯长时间地穿着盔甲。她很难受；她会先开火，只是为了让事情的进度快一点。
0x01000007000082C9	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Suggestion	Yes. This will be good. It will calm him down and won't cost any more lives. Lives that could be spared.	是的。这样就好。这样就能让他冷静下来，谁也不会死。那些可以挽救的性命。
0x0100004500018ACE	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	I should talk to him about the hanged man.	我应该跟他聊聊吊人。
0x0100004500018ACE	tooltip1	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	His name was Ellis Kortenaer	他的名字叫埃利斯・科顿艾尔。
0x0100004500018ACE	tooltip2	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	He was fostered	他是被收养的。
0x0100007800012E58	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Suggestion	Dangerous! Ask about him first. You don't want personal facts about his dead friend coming out of your mouth -- *he* has to start it.	危险！先问问他的事。你可不想他那位亡友的个人信息从你的嘴里说出来——应该让*他*先开口。
0x0100007800012E5E	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Suggestion	Of course! Nothing bad will happen. Talk about his dead friend! He seems stable enough to take it.	当然！不会发生什么糟糕的事。聊聊他那位死去的朋友！他的情绪看起来足够稳定，应该能接受。
0x0100007800012E6C	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"I knew you weren't a god damn scab leader!"	“我知道你不是什么该死的工贼头子！”
0x0100007800012E80	Alternate1	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"Who are you -- a major?"	“你是谁——一位少校吗？”
0x0100007800012E80	Alternate2	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"Who are you -- *Korty*?"	“你是谁——*科迪*？”
0x0100007800012E80	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"Who are you?"	“你是谁？”
0x0100007800012E87	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	"Sergeant Major Raul Kortenaer -- reporting in to burn this fucking mud hut to the ground!" He points at the Whirling-in-Rags...	“军士长劳尔·科顿艾尔——我要把这个该死的小土楼烧成灰烬！”他指向褴褛飞旋……
0x0100007800012E93	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	"Yeah, I don't fucking *act* so well. Lely had a hard-on for making faces for you natives. Fucking food-aid shit..." He wipes his mouth. "That shit is done now. Trigger time."	“是啊，我他妈的*演的*不是很好。莱利很会在你们这群土著面前扮鬼脸。什么粮食援助之类的狗屁……”他擦了擦嘴。“现在都他妈的结束了。开枪时间到了。”
0x0100007800012E99	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Perception (Hearing)	As he moves, the interlocking pieces of his armour click, softly.	随着他的动作，盔甲上的扣件发出轻轻的咔哒声。
0x0100007800012EC0	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Logic	...click, click, click! The realization comes to you, like a picture puzzle coming together: His name is Raul Kortenaer -- the dead man's name is Ellis Kortenaer. He's *brothers* with the deceased!	……咔哒，咔哒，咔哒！你突然之间顿悟了，就像最后一块归位的拼图：他的名字叫劳尔·科顿艾尔——死去的人叫埃利斯·科顿艾尔。他们是*兄弟*！
0x0100007800012EC7	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Empathy	No -- probably foster brothers! Ellis was put into a foster home, remember...	不——也许是义兄弟！埃利斯被扔进了寄养家庭，还记得吗……
0x0100007800012ECE	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Logic	Korty -- Kortenaer. Major Raul *Korty* Kortenaer. Friends with Lely. Raul and Lely.	科迪——科顿艾尔。少校劳尔·*科迪*·科顿艾尔。莱利的朋友。劳尔和莱利。
0x0100007800012ED7	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"Kortenaer -- I know that name."	“科顿艾尔——我知道这个名字。”
0x0100007800012EDD	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"His parents left him in a fucking leaf compactor."	“他的父母把他留在了一台该死的树叶压缩机旁边。”
0x0100007800012EE3	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"Listen, your Lely -- everyone says good things about him. He was a talker."	“听着，你的莱利——大家都说他是个好人。他很健谈。”
0x0100007800012EE9	Alternate1	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	(Conclude.) "Your brother did not deserve to go out like that. I promise -- I *will* find his killer."	（总结。）“你的兄弟不应该就这样死去。我保证——我*一定*会找出杀他的凶手。”
0x0100007800012EE9	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	(Conclude.) "Your colonel did not deserve to go out like that. I promise -- I *will* find his killer."	（总结。）“你的上校不应该就这样死去。我保证——我*一定*会找出杀他的凶手。”
0x0100007800012EF0	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	He sways from left to right, inspecting you.	他左右摇摆着，探察着你。
0x0100007800012EF7	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"Raul and Ellis Kortenaer..." Look him in the eye. "I'm sorry about your brother, Raul."	“劳尔和埃利斯·科顿艾尔……”看着他的眼睛。“我对你的兄弟感到很抱歉，劳尔。”
0x0100007800012EFE	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	"He wasn't my fucking brother! We just grew up on the same farm and got beat into place by the same sick fuck..."	“他妈的，他不是我的兄弟！我们只是在同一个农场长大，被同一个变态从小打到大……”
0x0100007800012F06	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"And then went to the same military academy. And the same unit. And the same war..."	“之后进了同一所军事学院。编入同一个部队。参加了同样的战争……”
0x0100007800012F0C	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"You were foster brothers. I know that."	“你们是义兄弟。我知道的。”
0x0100007800012F19	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	"Same fucking mudhut town too..." he looks around, then wipes his face with his armoured glove.	“同一个该死的破镇子……”他看了看周围，然后用盔甲手套抹了抹自己的脸。
0x0100007800012F29	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Half Light	Beaten by a foster parent, or someone on the farm?	被同一个寄养父母殴打，还是农场上的其他人？
0x0100007800012F33	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	"Who... Lely?"	“谁……莱利？”
0x0100007800012F3A	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	You	"Yes. When he was small... just an infant."	“是的。当时他还很小……只是个婴儿。”
0x0100007800012F44	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	"Fuck do you mean *talker*?"	“你说*健谈*是他妈什么意思？”
0x0100007800012F51	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kim Kitsuragi	"We've heard testimony. People say he was charismatic. A nice guy to be around."	“我们听过证词了。大家都说他很有魅力，是个很好的人。”
0x0100007800012F58	Dialogue Text	TRIBUNAL / I GOT TO KNOW THE HANGED MAN	Kortenaer	"Yeah, he liked to chat up the natives. Share leaflets, squeeze a bit of kipt ass here and there. Great fucking idea that turned out to be..." He points toward the yard.	“是啊，他喜欢跟土著聊天。发发传单，这里那里地招惹一些吉皮特。本来他妈的挺好的想法，结果却变成……”他指向院子。
