ArticyId	TermType	ConvTitle	Actor	En	Zh
_91objf6wfbr5p7o	Dialogue Text	Coop TEST	Physical Instrument	There's no such things as *too* hard. They don't try enough.	
_li60r_i4chdpvnu	Dialogue Text	Coop TEST	Authority	AUTHORITY	
_uglvjh9kbik261w	Dialogue Text	Coop TEST	Kim Kitsuragi	"Yes," the lieutenant agrees. It's a good tradeoff."	
0c0upgqb18s6ep9e	Dialogue Text	Coop TEST	Suggestion	SUGGESTION	
0oow07tei1buz2k_	Dialogue Text	Coop TEST	You	Surrender to  the adrenaline, the glasses-situation will resolve right now!	
1dgakuwunchcaafq	Dialogue Text	Coop TEST	Esprit de Corps	There's nothing in the world we need to talk about less than my glasses.	
1j527_k69tsdm6z2	Dialogue Text	Coop TEST	Savoir Faire	SAVOIR FAIRE	
1s8lq5fndqc_lbyi	Dialogue Text	Coop TEST	Physical Instrument	There's no such things as *too* hard. They don't try enough.	
1szof6fyoqv5jp0b	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
1vhr2hyrh5n6gacm	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
1zk0xk2gflxldham	Dialogue Text	Coop TEST	Esprit de Corps	There's nothing in the world we need to talk about less than my glasses.	
2e7h9ci13almtd9d	Dialogue Text	Coop TEST	Authority	AUTHORITY	
2smk41bfxfs4_5e6	Dialogue Text	Coop TEST	You	"I wish I was blind too, the glasses are awesome!"	
37hy6acd1mjynbuj	Dialogue Text	Coop TEST	Authority	The glasses? Forget about the glasses. It's his attitude.	
51d8z8mz31mh7d7j	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
5np9wpr3dc_4l090	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
5z3syqtibngoc2hr	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
64hrzoz_fw_ldw6f	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
6508qhob8ryh6ku2	Dialogue Text	Coop TEST	Kim Kitsuragi	"Yes," the lieutenant agrees. It's a good tradeoff."	
6c5rddcmre08wqkw	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
6uw_4vkrbnv4fiit	Dialogue Text	Coop TEST	Half Light	HALFLIGHT	
7awzqrkzh9q50t6t	Dialogue Text	Coop TEST	Logic	LOGIC	
7xzm0k8enkw8hbla	Dialogue Text	Coop TEST	Half Light	START RUNNING AWAY IN PANIC, IT'S TOO MUCH.	
80kpvyy52saieb61	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
8l9qvrc1v1gzltr9	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
8uosejrm4l3ns9lp	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
9am4xilsgssc87n3	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
9lqzp28_di26qa4f	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
9o17up7q6qitgovx	Dialogue Text	Coop TEST	Esprit de Corps	There's nothing in the world we need to talk about less than my glasses.	
9woynwupscccq1un	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
bj5fksu134ps_xua	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
bl8os5nsh7qe44z7	Dialogue Text	Coop TEST	Logic	It's not. It's not his glasses either. It's all nonsense.	
cr3qk4xxbhxcgj62	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
d0i17r0_me_rfzyv	Dialogue Text	Coop TEST	Half Light	KNOCK THE GLASSES DOWN	
d3msqyypfpeg8qmd	Dialogue Text	Coop TEST	Physical Instrument	There's no such things as *too* hard. They don't try enough.	
d6lvspjt7qbvwkdy	Dialogue Text	Coop TEST	Rhetoric	RHETORIC	
e8bcdwsj8mbxnbp8	Dialogue Text	Coop TEST	Inland Empire	SUGGESTION	
eapo451p3by3c6cl	Dialogue Text	Coop TEST	Authority	The glasses? Forget about the glasses. It's his attitude.	
ec5rr0kkr1p9h985	Dialogue Text	Coop TEST	Half Light	Get those damn things off him right now. Panic starts taking you over.	
eekrpbj6o27i327b	Dialogue Text	Coop TEST	Logic	LOGIC	
ef5x3q7h9jec80v1	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
em_1qymp7fcdsu6y	Dialogue Text	Coop TEST	Rhetoric	RHETORIC	
etydjwmc535jts6w	Dialogue Text	Coop TEST	Savoir Faire	Yes, *these* glasses. They try too hard.	
fhn8lyjpuvphs0cf	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
flaj1ltlupvstlhk	Dialogue Text	Coop TEST	You	"Listen, Kim... we need to talk about the glasses."	
g1836tx4dvg165r8	Dialogue Text	Coop TEST	You	"Actually I mean some other glasses. Nevermind. [Leave.]	
g4bmc3rs8lei38c1	Dialogue Text	Coop TEST	Kim Kitsuragi	"My glasses," he asks, looking  over the frames.	
gh_9jvvge404s2dc	Dialogue Text	Coop TEST	Rhetoric	RHETORIC	
gj48naj3hlu47ixf	Dialogue Text	Coop TEST	Logic	It's not. It's not his glasses either. It's all nonsense.	
hco3d4kjnh562lrx	Dialogue Text	Coop TEST	Logic	It's not. It's not his glasses either. It's all nonsense.	
