ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000F000149C3	Dialogue Text	JAM / box of clothes	Savoir Faire	If he really wants to save the economy he'd let you pay with net worth. Go over and ask him if you can	如果他真的想拯救经济，他会让你用净资产支付。过去问他可不可以。
0x0100000F000149E9	Dialogue Text	JAM / box of clothes	Savoir Faire	How about some premium-class service over here? Like paying with net worth. Go over and ask him if you can do that.	这里的高级会员服务怎么样？比如用净资产支付。过去问他可不可以。
0x0100002B00040FEB	Dialogue Text	JAM / box of clothes	You	[Leave for now.]	[暂时离开。]
0x0100002B00040FF1	Dialogue Text	JAM / box of clothes	You	Find something worth salvaging from that pile of rags.	从那堆破烂里找出一些可以废物再利用的东西。
0x0100002B00040FF1	tooltip1	JAM / box of clothes	You	Dresscode: Rummager.	着装要求：翻查者。
0x0100002B00040FF7	Dialogue Text	JAM / box of clothes	Pile of Clothes	There are clothes inside. Cheap second-hand clothes, smelling of strangers' body odours.	里面有衣服。便宜的二手服饰，闻起来有陌生人的体味。
0x0100002B00041001	Dialogue Text	JAM / box of clothes	Pile of Clothes	You find your hands deep in tattered and faded garments made from weird polyester blends that make your body itch and sweat in all the wrong places.	你发现自己的双手深陷在一堆破旧褪色的衣服里——是由古怪的涤纶混纺制成的，它们让你身上所有错误的地方开始发痒、出汗。
0x0100002B00041007	Dialogue Text	JAM / box of clothes	You	Browse through the box.	浏览箱子。
0x0100002B0005E84B	Dialogue Text	JAM / box of clothes	Composure	Something cold grazes your hand. Synthetic and sleek -- a windbreaker. 'SURF', it says, but also: 'WIND', 'SUMMER', '100% WATERPROOF', and 'SPORT'. All in different typefaces.	有些冰冷的东西擦伤了你的手。人造的，很光滑——是一件防风夹克。上面写着“冲浪”，还有：“风”，“夏天”，“100%防水”还有“运动”。所有字体都不一样。
0x0100002B0005E853	Dialogue Text	JAM / box of clothes	Composure	No good. All you can come up with are some treated wool pants. You can tell they're too tight around your thighs and too loose around the waist.	不太好。你唯一发现的只有些处理过的羊毛裤子。你能看出大腿的位置太紧，或者腰部周围太松。
0x0100002B0005E859	Dialogue Text	JAM / box of clothes	You	"I want to buy the windbreaker."	“我想买这件防风夹克。”
0x0100002B0005E85F	Dialogue Text	JAM / box of clothes	You	"I want to buy those itchy pants."	“我想买那些痒痒的裤子。”
0x0100002B0005E867	Dialogue Text	JAM / box of clothes	Siileng	"You won't regret it, officer!" The street vendor smiles broadly.	“你不会后悔的，警官！”街头小贩笑的更欢了。
0x0100002B0005E86D	Dialogue Text	JAM / box of clothes	Siileng	"Gotta prepare for springtime, right?" The street vendor seems pleased.	“为春天做准备，是吗？”街头小贩好像很高兴。
0x0100002B0005E873	Dialogue Text	JAM / box of clothes	Siileng	"Economical, but also trendy!" the street vendor shouts. "Look first-hand, buy second-hand. Keep the economy moving!"	“经济划算，不过也很时髦！”街头小贩嚷嚷着。“看就看一手的，买就买二手的。保持经济发展！“
