ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000580001AD83	Dialogue Text	LIFELINE / GIVING UP	You	"I wish I was fucking dead. Fuck you, fuck you."	“我真他妈希望自己要死了。去你妈的，操。”
0x010000580001AD89	Dialogue Text	LIFELINE / GIVING UP	Volition	Nothing you can say would make you feel any better now...	现在你说什么也不会让感觉变得好起来……
0x010000580001ADAC	Dialogue Text	LIFELINE / GIVING UP	You	"I'm done. No one even likes cops."	“我不干了。根本没人喜欢警察。”
0x010000580001ADBC	Dialogue Text	LIFELINE / GIVING UP	Volition	Despair creeps into you, getting fat on your weakness. Whatever noble intentions you once had as a police officer -- it's eating them all up now.	绝望渐渐爬进你的心底，因为你的软弱愈发膨胀。不论作为一名警察的你曾经有过多么崇高的意愿——现在都变成了它的食粮。
0x010000580001ADC7	Dialogue Text	LIFELINE / GIVING UP	Inland Empire	There's something else in there. There has to be. But -- it's like reaching your hand into muddy water, fishing around, and coming up with nothing...	还有些什么东西。肯定有什么。但是——就像把手伸进泥水中一样，不论怎么四下翻找，还是什么都没有……
0x010000580001ADCD	Dialogue Text	LIFELINE / GIVING UP	Kim Kitsuragi	"Yes, it can be difficult to be on the receiving end of so much distrust and outright hatred," he says with a sad half-smile.	“是啊，承受这么多的怀疑和赤裸裸的仇恨真的很难，”他露出悲伤的微笑。
0x010000580001ADD3	Dialogue Text	LIFELINE / GIVING UP	Conceptualization	You're still coming up with sentences. That's a step up from total annihilation, right?	你还在组织语言。这是离完全的毁灭又近了一步，是吗？
0x010000580001ADD9	Alternate1	LIFELINE / GIVING UP	You	"I'm seriously running out of shits to give. Let corpses hang on trees! I'm quitting. Fuck you."	“我真他妈什么办法也没了。就让尸体挂在树上吧！我不干了。去你妈的。”
0x010000580001ADD9	Dialogue Text	LIFELINE / GIVING UP	You	"I'm seriously running out of shits to give, Kim. Fuck you."	“我真的没什么好说的了，金。去死吧你。”
0x010000580001ADE1	Dialogue Text	LIFELINE / GIVING UP	Interfacing	Yeah, I'm pretty sure you're shit out of luck *fishing around* right now. You're drowning.	是啊，我很肯定你的*搜查*运走到尽头了。你已经被水淹没不知所措了。
0x010000580001ADE7	Alternate1	LIFELINE / GIVING UP	Kim Kitsuragi	"Fuck me? Please leave the *rage* you have for after we finish the investigation."	“去你妈的？请等到我们的调查结束之后再发泄你的*怒火*吧。”
0x010000580001ADE7	Dialogue Text	LIFELINE / GIVING UP	Kim Kitsuragi	"Fuck me? I understand this is by no means an easy investigation, but..."	“叫我去死？我理解这次调查一点也不轻松，不过……”
0x010000580001AE23	Dialogue Text	LIFELINE / GIVING UP	You	"I've wasted my life protecting humans. They don't deserve it."	“保护人类简直就是浪费我的生命。他们不值得。”
0x010000580001BD2C	Dialogue Text	LIFELINE / GIVING UP	Kim Kitsuragi	"I don't dispute that you have been charged with protecting the people of a particularly... challenging district. But poverty does not make one a loser -- poverty is just... poverty."	“我不否认，你确实被指控过，而且是因为保护这里的人，这个……很有挑战性地方的人。但是贫穷不会让人变成废材——贫穷只是……贫穷而已。”
0x010000580001BD32	Dialogue Text	LIFELINE / GIVING UP	Kim Kitsuragi	He watches your meltdown stoically from behind the lenses of his glasses.	他透过鼻梁上的眼镜片，恬淡地看着你陷入崩溃。
0x010000580001BD38	Dialogue Text	LIFELINE / GIVING UP	Cuno	"Too late for that. So whatcha gonna do now? Skewer yourself?"	“现在已经太迟了。所以你打算怎么做？狠狠地嘲笑自己？”
0x010000580001BD3E	Dialogue Text	LIFELINE / GIVING UP	Cuno	"Cuno don't give a shit about your shits."	“坤诺才不管你那张臭嘴说出的屁话。”
0x010000580001BD46	Dialogue Text	LIFELINE / GIVING UP	Cuno	"That you are a loser, Cuno doesn't doubt, but why go around whining about it?"	“你是个废材，坤诺完全不怀疑这一点，但是你为什么还要到处抱怨呢？”
0x010000580001BD4B	Dialogue Text	LIFELINE / GIVING UP	Cuno	"Cuno knew the pig was a f****t."	“坤诺知道这头猪是个狗娘养的杂种。”
0x010000580001BD50	Dialogue Text	LIFELINE / GIVING UP	You	"I wish I was fucking dead. Fuck you, fuck you Cuno."	“我真他妈希望自己要死了。还有你，坤诺，去死吧你。”
0x010000580001BD56	Dialogue Text	LIFELINE / GIVING UP	You	"I'm done. No one even likes cops."	“我不干了。根本没人喜欢警察。”
0x010000580001BD5C	Alternate1	LIFELINE / GIVING UP	You	"I'm seriously running out of shits to give. Let corpses hang on trees! I'm quitting."	“我真他妈什么办法也没了。就让尸体挂在树上吧！我不干了。”
0x010000580001BD5C	Dialogue Text	LIFELINE / GIVING UP	You	"I'm seriously running out of shits to give, Cuno. I'm quitting."	“我真的没什么好说的了，坤诺。老子不干了。”
