ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060000992D	Dialogue Text	KINEEMA ORB / halogen watermarks	Tutorial Agent	You can now see your statistics on your JOURNAL page -- to the right of the task description.	现在你可以在日志界面看到自己的统计信息——就在任务描述右侧。
0x010000060001924E	Dialogue Text	KINEEMA ORB / halogen watermarks	You	"I'm sure I've seen worse."	“我确定自己见过更糟糕的。”
0x0100000600019255	Dialogue Text	KINEEMA ORB / halogen watermarks	Kim Kitsuragi	"Oh yes. Coal City, Le Royaume, the Burnt Out Quarter..."	“哦，没错。煤城，王国，燃尽区……”
0x010000060001925D	Dialogue Text	KINEEMA ORB / halogen watermarks	Shivers	All of them worse than here.	都比这里要糟糕的多。
0x010000060001926D	Dialogue Text	KINEEMA ORB / halogen watermarks	Rhetoric	*Alpha male officers who are proud of their numbers* often do -- it's meant.	*为自己的数字感到骄傲的大男子主义警官*经常这么做——是这个意思。
0x0100000600019275	Dialogue Text	KINEEMA ORB / halogen watermarks	Physical Instrument	Son, here is where we score your life performance. You better hope it's good.	小子，这里就是我们给你的生活表现打分的地方。你最好希望分数不错。
0x010000060001927D	Dialogue Text	KINEEMA ORB / halogen watermarks	Half Light	That's right. A killer of humans.	没错。人类的杀手。
0x0100000600019288	Dialogue Text	KINEEMA ORB / halogen watermarks	Electrochemistry	*Confirmed kills*? That sounds pretty evil. A *drink* would soften that feeling.	*确认击杀数？*听起来好像挺邪恶的。如果来*一杯酒*，就能抚慰这种感受。
0x0100000600019298	Dialogue Text	KINEEMA ORB / halogen watermarks	Empathy	It's not a problem for him to state it, however.	不过，陈述这件事对他来说不是问题。
0x01000006000192AE	Dialogue Text	KINEEMA ORB / halogen watermarks	Esprit de Corps	It's meant in earnest. Please don't mistake it for a jab.	这是认真的。请不要把它误会成批评。
0x01000006000192BC	Dialogue Text	KINEEMA ORB / halogen watermarks	Kim Kitsuragi	"Neither am I. Are we done here?"	“我也不知道。完事了吗？”
0x01000006000192C4	Dialogue Text	KINEEMA ORB / halogen watermarks	You	"Wait, *eighteen years* I've done this?"	“等等，我已经做这个*18年*了吗？”
0x01000006000192CA	Dialogue Text	KINEEMA ORB / halogen watermarks	Kim Kitsuragi	"That's what it says. I might've guessed even longer based on your age... what did you do all those blissful years of your youth?"	“上面就是这么写的。以你的年纪来看，我猜可能会更久……你在无忧无虑的年轻时代都做了些什么？
0x01000006000192F6	Dialogue Text	KINEEMA ORB / halogen watermarks	You	Not bad.	还不赖。
0x01000006000192FC	Dialogue Text	KINEEMA ORB / halogen watermarks	Damaged Ledger	Not bad for what? You don't even know what it means yet.	什么还不赖？你都不知道是什么意思。
0x0100000600019313	Dialogue Text	KINEEMA ORB / halogen watermarks	Half Light	He's sincerely glad you're not a scary predator. Not to say relieved you're competent.	你不是一个可怕的掠夺者，这一点让他由衷地感到高兴。现在还不能放心地说你能够胜任。
0x0100008100004285	Dialogue Text	KINEEMA ORB / halogen watermarks	Damaged Ledger	A rat brazenly darts past you and disappears amongst the stopped lorries. In the distance -- a child somewhere shrieks, a woman reprimands her in a voice no quieter than the child's cry...	一只老鼠厚脸皮地从你身边窜过，消失在停着的货車中间。远方——有个孩子在尖叫，一个女人的训斥声比小孩的哭声还要大……
0x0100008100004291	Dialogue Text	KINEEMA ORB / halogen watermarks	Kim Kitsuragi	"Ah, Martinaise," he smells the air and says.	“啊，马丁内斯，”他深吸一口气，开口说到。
0x010000810000429E	Dialogue Text	KINEEMA ORB / halogen watermarks	Shivers	In the middle of a broken plaza, in a cone of light barely visible in the daytime, two men, one slim, the other sturdy. They are on the city stage, but only one of them knows his lines...	在破败的广场中央，圆锥形的光线映照出两个男人，一个瘦小，另一个壮实。他们站在城市的舞台中央，但是只有一个人知道自己的台词……
0x01000081000042B0	Dialogue Text	KINEEMA ORB / halogen watermarks	You	"I know you've killed some people in the line of duty..."	“我知道，你在执行任务的时候杀过人。”
0x01000089000008F0	Dialogue Text	KINEEMA ORB / halogen watermarks	Interfacing	As you hold your ledger's clip under the headlamp, a shimmering iridescent pattern appears. One you've definitely seen before...	当你把手册拿到前灯下，一个闪烁的虹光图案出现在你眼前。你之前肯定见过……
0x0100008E000009C6	Dialogue Text	KINEEMA ORB / halogen watermarks	Damaged Ledger	Around the borders of the watermark are dozens, no, *hundreds* of micro-perforations.	水印的边缘是数十个，不对，是“数百个”微穿孔。
0x0100008E000009CD	Dialogue Text	KINEEMA ORB / halogen watermarks	Logic	It's not unlike the pattern from the racist lorryman's boots. A stylized map of Revachol.	不像是种族主义货車司机的靴子图案。一份程式化的瑞瓦肖地图。
0x0100008E000009D4	Dialogue Text	KINEEMA ORB / halogen watermarks	Interfacing	As you hold your ledger's clip under the headlamp, an iridescent hologram appears: a street grid and the veins of a great river. A familiar sensation washes over you...	当你把手册拿到前灯下，一个闪烁的全息图出现在你眼前。一个街道网，还有大河的脉络。一种熟悉的感觉贯穿你的全身……
0x0100008E000009DB	Dialogue Text	KINEEMA ORB / halogen watermarks	Kim Kitsuragi	"There she is: Revachol West." There's a note of pride in the lieutenant's voice.	“有了：瑞瓦肖西部。”警督的声音里透露出一丝骄傲的味道。
0x0100008E000009EA	Dialogue Text	KINEEMA ORB / halogen watermarks	You	Look at the shimmering street grid.	看着闪闪发亮的街道网。
0x0100008E000009F0	Dialogue Text	KINEEMA ORB / halogen watermarks	You	Look at the perforations.	看着穿孔。
0x0100008E00000A05	Dialogue Text	KINEEMA ORB / halogen watermarks	You	"Okay, let's go." [Put the ledger away.]	“好吧，我们走。”[把手册放到一边。]
