ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001C560	Dialogue Text	WORLD / WAITING BENCH	Bench	The cold stone slab of the bench looks rather uncomfortable. There are cigarette stubs all around.	冰冷的石凳看起来一点也不舒适。烟头散落地到处都是。
0x010000060001C56B	Dialogue Text	WORLD / WAITING BENCH	Bench	The worn and beaten wooden planks of the bench do not look overly comforting.	长凳上破败的木板看起来一点也不舒适。
0x010000060001C576	Dialogue Text	WORLD / WAITING BENCH	Kim Kitsuragi	"Hmh..." The lieutenant looks down the street. "We can sit on benches after we've solved the murder. Let's go."	“嗯……”警督望向街道。“解决这起凶杀案之后，也许我们可以坐下来。好了，走吧。”
0x0100002100001387	Dialogue Text	WORLD / WAITING BENCH	Tutorial Agent	You can revisit the bench if you ever need to pass the time when Lieutenant Kitsuragi is gone.	等曷城警督不在的时候，如果你需要消遣时间，再回到长凳这里来也不迟。
0x0100002100001391	Dialogue Text	WORLD / WAITING BENCH	Kim Kitsuragi	"A rather uninviting bench," the lieutenant notes. "I'm not one for sitting on benches anyway -- before the murder investigation is solved."	“这个长凳确实不是很吸引人，”警督开口到。“再说了，反正我也不想坐在长凳上——在凶杀案调查结束之前不想。”
0x0100002F00012B7E	Dialogue Text	WORLD / WAITING BENCH	Bench	It is the dead of night. Now is not the time for sitting, but for sleeping. It is time to find a bed.	夜深人静。现在应该睡觉，而不是坐下。该去找张床了。
0x0100008900001D1F	Dialogue Text	WORLD / WAITING BENCH	Bench	You sit on the cold stone slab of the bench. It feels rough, yet comforting.	你坐在冰冷的石凳上。虽然有些粗糙，但还算舒适。
0x0100008900001D2E	Dialogue Text	WORLD / WAITING BENCH	Bench	You sit on the wind-worn wooden planks of the bench. Your feet ache.	你坐在被风腐蚀的长木凳上，脚感觉有些痛。
0x0100008900001D3B	Dialogue Text	WORLD / WAITING BENCH	You	Twiddle your thumbs. [Wait 15 minutes.]	捻弄自己的拇指。[等待15分钟。]
0x0100008900001D40	Dialogue Text	WORLD / WAITING BENCH	You	Stare into the sky. [Wait 30 minutes.]	盯着天空发呆。[等待30分钟。]
0x0100008900001D45	Dialogue Text	WORLD / WAITING BENCH	You	Think deep thoughts. [Wait 1 hour.]	深入思考。[等待1小时。]
0x0100008900001D4A	Dialogue Text	WORLD / WAITING BENCH	You	[Get up.]	[站起来。]
0x0100008900001D5A	Dialogue Text	WORLD / WAITING BENCH	Bench	A flock of seagulls flies overhead, heading towards... who knows where. Soon enough they are out of sight...	一群海鸥掠过头顶，朝着……鬼知道什么地方飞去。很快，它们离开了你的视线……
