ArticyId	TermType	ConvTitle	Actor	En	Zh
2pj3b9dcbtha_ae9	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST / Kim seagull bark	Kim Kitsuragi	"I don't even want to know what happened here..."	
_tst8_p6kepwbg5e	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Half Light	'Fuck off, you bipedal rodent,' whispers its psionic eye.	
0auohms0bzxiajfx	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	Enough. [Leave.]	
1hyngv84bc2s0k85	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Hand/Eye Coordination	It's a seagull. They're practically immortal. And the only thing you'll be throwing is some dirt. It's guaranteed no one will get hurt.	
3rs8vi4pkvj73jh_	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Hand/Eye Coordination	Target practice. For improving your aim. Some of us have been wondering when you'll get around to that.	
3sbg720_q2z0bso5	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Volition	No, it won't be fun, it'll be annoying. *You'll* be annoying.	
8ncr6unh_y1v_npr	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Empathy	No, don't throw *anything* at the bird, the bird will get hurt!	
f0o36p3qsmhb_s75	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Electrochemistry	Come on, do it, don't be such a pussy -- it'll be fun! Especially while the lieutenant is gone...	
fkxhufhu57sreuk8	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	Alright, here we go... (Pick up some dirt and throw it at the seagull.)	
fot7e98ytztegh5p	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	What if the bird gets hurt?	
fpwx73lqv7q6qgny	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Hand/Eye Coordination	Precisely. No obstructions, just the seagull. Pick up some dirt and throw it at the bird. Come on, hurry up!	
jjronbb4vzlts_9j	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Seagull	A clump of soil seems to graze the bird's wing, but the gull just fluffs its feathers and turns another side. It really doesn't seem to care.	
kgstxgov8jgf7n4s	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Logic	It will be okay -- from a purely physical point of view. These birds are used to worse things than bits of flying soil. And you'll miss.	
np8hntdxfdx9fvc_	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	Okay, one more time... (Hurl the mother of all dirt clods at the gull.)	
oysjh3l2baog3w77	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Seagull	Particles of soil, grass, and tiny rocks fly in a wide arc over the seagull's head. The bird doesn't even bat an eye.	
r1xw_w7ajmr2_3h4	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Hand/Eye Coordination	Told you we needed to practice! What if this was a combat situation? We wouldn't be talking anymore. Try again!	
rsxox2_ckmit_y4j	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Hand/Eye Coordination	Better, but practice makes perfect! One more time -- right into the seabull's eye!	
sdy2vpoqu54by8c2	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Hand/Eye Coordination	Oh no...	
tyebl3qt97rj2dp2	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	I don't have time for shenanigans. [Leave.]	
wl6wmtt9rdr0_3fb	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	Hand/Eye Coordination	There! On the ice. Target practice.	
x0c33_8qgp7godlh	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	I don't see anything but a seagull.	
zfivkbn52pkl91m6	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	What?	
zlg27c8m7yh7bg2t	Dialogue Text	Helen - EasterEggs / Flow – Seagull attack / Flow – COAST ORB / seagull initiation	You	Here it comes again... (Pick up some more dirt and launch it at the bird.)	
_byonf8a49rvqibx	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Yes, that's a good idea. Let's do it in the morning. You know, when we're not sleeping."	
_kmodtvd89st9l74	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"You'll get used to them, I promise. Sometimes it helps to go for a short walk."	
0btbrhv3f9p0ee79	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Esprit de Corps	You're going to have to figure this one out on your own.	
0sbuh5lwjvdgkf_h	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Very funny. What do you want?"	
1smz6dafpzbnh6ta	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Isn't it always party time with you?"	
2kee3ugz12zmp430	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Door, Room #2	The lieutenant's door is closed.	
2wws7zuwoo9vv56p	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Well, I don't know either. You should get some rest."	
3wbme678i0i9vmm0	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	[Leave.]	
3zfnvu2khxkhjucr	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	Tap out the tune Kim whistled on the swing set.	
58len5q17pp_4_h8	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	"It's Garte, the barkeep."	
6xcbaa4yol3t8c3f	Alternate1	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Good night, Harry."	
6xcbaa4yol3t8c3f	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Good night, detective."	
7c5swn83zgm23mvg	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	"I don't know, Kim."	
9e_ftggoawpklks9	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	Knock again.	
ael4734twoaf4z1w	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	"I wanted to go over the case again."	
b317tlcje2o81eua	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Volition	What are you doing?	
b4h56ml4k1r91onm	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Interfacing	Doesn't he want to go for a little drive?	
e_ez2p0f3g5txayk	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"To clear our heads from what, *sleep*?"	
flakrpc2qjhrl_zt	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	"I'm... not ready to go to sleep yet."	
hlk7ay3m_851ap1m	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Bad dreams?"	
ixqj2fc9_eh_ngtj	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Logic	Is *he* not worried that you might have missed something in the autopsy?	
jh7njea86b0vytn_	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	Knock again, as before.	
jkol44kw0c0vcyau	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	"It is I, Garte, Manager of this Faire Cafeterium."	
k63bx_abnv1hxg04	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	Bang on the door.	
ka7hasw8nb4fkzr2	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Door, Room #2	Your hear the sound of a drawer closing followed by the shuffling of feet.	
kr1x1feslar62lk2	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Door, Room #2	Your hear the sound of a drawer closing followed by the shuffling of feet.	
netvs23wreq6wg94	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Door, Room #2	Your hear the sound of a drawer closing followed by the shuffling of feet.	
ouns9ny0r27zx8u0	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Door, Room #2	Still no response.	
pv87dnbh863p5up6	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Electrochemistry	Where is he? Isn't it party o'clock?	
q0mchm176fufczbt	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	Knock.	
q3fwugiag9ebbtwr	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Yes, what is it? What time is it?"	
r0yvxpln3i7mzcpx	Alternate1	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Is that you, Harry? What time is it?"	
r0yvxpln3i7mzcpx	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Kim Kitsuragi	"Is that you, detective?"	
r7g5cci8kqe0lpzb	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Door, Room #2	No response.	
s0m8q5d648w0gher	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Logic	Is *he* not worried that you haven't found the murder weapon yet?	
s62lo_ee9sg5lzcg	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	I should stop bothering Kim. [Leave.]	
sg7ivgdqhkh21vci	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	Drama	No, thou art Garte.	
t4xqu039rgnxzi6q	Dialogue Text	Helen - EasterEggs / Flow – WHIRLING / KIM DOOR	You	"Do you wanna go for a midnight drive, to clear our heads?"	
