ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100002F000099E7	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"I dream about you all the time."	“我总是会梦见你。”
0x0100002F000099ED	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"Measurehead's amazing!"	“测颅先生太棒了！”
0x0100002F000099F2	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"Just look at him, the wonderful hunk."	“看看他，多么的强壮。”
0x0100002F000099F7	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"No one will get past you!"	“没人过得了你这关。”
0x0100002F000099FC	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"Oh, Measurehead!"	“哦，测颅先生！”
0x0100002F00009A01	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"Not soft and weak like other men."	“跟其他柔弱的男人都不一样。”
0x0100002F00009A06	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"Measurehead is *law*."	“测颅先生就是*法律*。”
0x0100002F00009A19	Dialogue Text	GATES / ANOTHERBABE barks	Measurehead's Babe	"Everyone should try to be more like Measurehead."	“每个人都该向测颅先生学习。”
0x0100002F00008F6A	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"Looking monolithic."	“看起来很庞大。”
0x0100002F000099A7	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"Measurehead crushes all."	“测颅先生能碾压一切。”
0x0100002F000099AC	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"You're the right stuff, Measurehead."	“你就是那个对的人，测颅先生。”
0x0100002F000099B1	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"No man matches Measurehead."	“没有人能跟测颅先生相匹敌。”
0x0100002F000099B6	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"Nobody comes close to Measurehead."	“没人能近得了测颅先生的身。”
0x0100002F000099BF	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"The future belongs to Measurehead."	“未来属于测颅先生。”
0x0100002F000099CA	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"Measurehead makes all men quiver."	“测颅先生能让所有男人瑟瑟发抖。”
0x0100002F000099D2	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"More than enough to please a woman."	“取悦女人绰绰有余。”
0x0100002F000099E0	Dialogue Text	GATES / BABEONE barks	Measurehead's Babe	"Measurehead is a powerful man."	“测颅先生是一个强大的男人。”
0x01000006000102E1	Dialogue Text	GATES / MANANA	You	"I've come to Martinaise investigating a murder."	“我来马丁内斯是为了调查一起凶杀案。”
0x01000006000102EA	Dialogue Text	GATES / MANANA	Call Me Mañana	"Murder, huh? That sounds like a lot of hard work. You'd never see me investigating a murder."	“凶杀案？听起来挺麻烦的。我就永远都不会去调查凶杀案。”
0x01000006000102F7	Dialogue Text	GATES / MANANA	You	"It's actually very fun and easy."	“其实很好玩，也很简单。”
0x01000006000102FD	Dialogue Text	GATES / MANANA	You	"You're right. It's almost impossible. I'm 91% sure I'll never get it solved."	“你说得不错，破案几乎是不可能的。我91%能确信这个案子永远也破不了。”
0x0100000600010303	Dialogue Text	GATES / MANANA	You	(Whisper) "I have no idea what I'm *doing*."	（低语）“我也不知道自己到底在*干嘛*。”
0x010000060001030C	Dialogue Text	GATES / MANANA	You	"Maybe you want to help me solve it by telling me who did it?"	“没准你能帮得上忙？告诉我凶手是谁。”
0x0100000600010313	Dialogue Text	GATES / MANANA	Call Me Mañana	"Of course, *policía*." He gives you a sly smile. "It wasn't me. You can rule me out. Easier that way."	“没问题，*警官*。”他会心地一笑，“不是我。你可以把我排除掉，这样更简单一些。”
0x010000060001031A	Dialogue Text	GATES / MANANA	Drama	He didn't do it. It's the truth.	不是他干的。这是事实。
0x0100000600010320	Dialogue Text	GATES / MANANA	Volition	Should we? He's *nice*. I don't like *nice*.	我们应该这样吗？他人很*好*。我不喜欢*好人*。
0x0100000600010329	Dialogue Text	GATES / MANANA	Call Me Mañana	"I don't believe you. Poste L'Aventurier said the same thing. They tried to get me to be their postman. So fun, so easy, they said. It's just walking." He shakes his head at the memory.	“我不信。冒险家邮局说过一样的话，他们只想骗我做他们的邮递员。他们说，很好玩，很简单的，只是走走路而已。”他一边回想一边摇了摇头。
0x0100000600010330	Dialogue Text	GATES / MANANA	Call Me Mañana	"It wasn't. I'm doing much better here at the harbour. Being an honest Union man with *a lot* of free time on his hands."	“然而事实并非如此。我在港口这儿要比当邮差强太多了，作为一名诚实的工会成员，我手上有*大把*的自由时间。”
0x0100000600010337	Dialogue Text	GATES / MANANA	Call Me Mañana	"Probably not." He nods. "I wouldn't even know where to start with that. Much better here at the harbour -- for an honest Union man like me."	“很有可能会没结果。”他点点头。“要我的话甚至都不知道该从哪里入手。还是在港口工作好——对于我这么个诚实的工会成员来说。”
0x010000060001033E	Dialogue Text	GATES / MANANA	Call Me Mañana	He whispers back: "That's okay. I have no idea what I'm doing either. I don't even know what day it is..." He thinks and then decides: "Don't tell me. It's a *better* day that way."	他低声回复道：“没关系的，我也不知道自己成天在干什么。我甚至都不知道今天星期几……”他想了一下，然后开口道：“别真的告诉我，这样的话日子会变得*更美好*一些。”
0x010000060001035C	Dialogue Text	GATES / MANANA	You	"Measurehead? I think I met him."	“测颅先生？我好像已经见过他了。”
0x0100000600010363	Dialogue Text	GATES / MANANA	Call Me Mañana	"Yeah, the two-and-a-half-metre tall Semenese supremacist up there." He points to the bridge above the gates. "Walk right past him..."	“就是那边那个身高两米半的萨马拉至上主义者。”他指着大门顶上的那座桥。“从他身边直接走过去……”
0x0100000600017C40	Dialogue Text	GATES / MANANA	You	"*Anything* else I should know about this task? This weasel person? When he'll be home?"	“关于这个任务，还有*什么*的我需要知道的吗？这个黄鼠狼是什么人？他什么时候回家？”
0x01000006000184B3	Dialogue Text	GATES / MANANA	Call Me Mañana	"All right, I may have *some* advice for you on how to deal with Jean-Luc there -- out of solidarity to the RCM. It's low on technology, however."	“好吧，要对付那个让·卢克的话，我确实可以给你点*建议*——这是为了向RCM表达诚意。不过技术含量挺低就是了。”
0x01000006000184BA	Dialogue Text	GATES / MANANA	Conceptualization	Hmm... maybe that *would* work? We'll have to see.	嗯……也许*能管用*？我们拭目以待吧。
0x01000006000184C1	Dialogue Text	GATES / MANANA	You	"Yes?"	“你说？”
0x01000006000184C8	Dialogue Text	GATES / MANANA	Call Me Mañana	"First -- don't fight him. Obviously. Second, get him to share his theory by being *subordinate*. Admit your lack of expertise. Basically grovel. That's how I'd do it," he tips his beret and concludes: "You're welcome."	“首先——别跟他打，没什么好解释的。第二，展现出*顺从*的姿态让他分享自己的理论，承认自己没有发言权。基本上就是要保持卑躬屈膝，要是我就会这么做，”他整了整贝雷帽，然后总结道，“不用谢。”
0x010000060001B40B	Dialogue Text	GATES / MANANA	Rhetoric	You've been in there, he means -- talked to the boss man too probably...	他的意思是，你去过那里——还很可能跟老大聊过……
0x010000060001B42B	Dialogue Text	GATES / MANANA	You	"Labour utopia." (Nod approvingly.)	“劳工的乌托邦。”（赞许地点点头。）
0x010000060001B43A	Dialogue Text	GATES / MANANA	Kim Kitsuragi	"Understood." The lieutenant takes a note. "This has been of limited use -- still, thank you."	“明白。”警督记下笔记。“虽然用处有限——不过还是谢谢你。”
0x010000060001B441	Dialogue Text	GATES / MANANA	Half Light	He means -- a more violent faction could easily take care of such a thing.	他的意思是——换作是一个更暴力的帮派的话，三两下就能摆平这种事情。
0x010000060001B449	Dialogue Text	GATES / MANANA	Call Me Mañana	"No problem. I wish the best to you in your search. Sure am glad it's not *my* search..." He takes a sip from his flask.	“没问题。祝你们搜寻工作一切顺利。当然了，很高兴用不着*我*去搜查……”他从酒瓶里喝了一口。
0x010000060001B450	Dialogue Text	GATES / MANANA	You	"Thank you -- this has been of *limited* use."	“谢谢——这个*没啥用*。”
0x010000060001B463	Dialogue Text	GATES / MANANA	Call Me Mañana	"Of course. I got you -- you don't know anything." He taps the side of his nose with a little wink.	“当然。我明白的——你什么也不知道。”他拿手指轻轻点了下鼻侧，对你挤了个眼。
0x010000060001B46B	Dialogue Text	GATES / MANANA	You	"Got it."	“了解。”
0x010000060001B472	Dialogue Text	GATES / MANANA	Call Me Mañana	"I'm more of a philosophical dockworker, see -- I like to talk about the big picture stuff. Who I am. Who you are. What we are fighting for..." The man takes a big sip from his flask.	“我更接近于一个哲学派的码头工人。我喜欢讨论宏大的命题，我是谁，你是谁，我们为何而战……”男人从酒瓶里喝了一大口。
0x010000060001B47F	Dialogue Text	GATES / MANANA	You	"However much you feed the wolf..."	“不管给狼喂多少肉……”
0x010000060001B486	Dialogue Text	GATES / MANANA	Call Me Mañana	"... the wolf always wants more. I like wolves."	“……狼总是还想要更多。我喜欢狼。”
0x010000060001B497	Dialogue Text	GATES / MANANA	You	"Cool. I don't have anything to add to that."	“酷。我没什么要补充的。”
0x010000060001B49E	Dialogue Text	GATES / MANANA	Call Me Mañana	"A *none-of-the-above* kind of man? No harm in being that."	“你是*以上都不是*那一卦的吗？无伤大雅。”
0x010000060001B4AB	Dialogue Text	GATES / MANANA	You	"You mean corruption?"	“你是说腐败？”
0x010000060001B4BA	Dialogue Text	GATES / MANANA	Kim Kitsuragi	"By that you mean corruption?"	“那你的意思是说腐败？”
