ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000700019A89	Dialogue Text	COAST / GARY barks coast	Gary, the Cryptofascist	"Lots of people out there miss the good old days."	“很多人都怀念过去的美好时光。”
0x0100000700019A8F	Dialogue Text	COAST / GARY barks coast	Gary, the Cryptofascist	"You think it's gonna be much longer?"	“你觉得还会不会很久？”
0x0100000700019A95	Dialogue Text	COAST / GARY barks coast	Gary, the Cryptofascist	"People are starting to think, waking up."	“大家都开始有想法了，快醒醒。”
0x0100000700019A9B	Dialogue Text	COAST / GARY barks coast	Gary, the Cryptofascist	"Don't you ever wish Hjelmdall was a real place?"	“你有没有希望过赫姆达尔是个真实的地方？”
0x0100000700019AAC	Dialogue Text	COAST / GARY barks coast	Gary, the Cryptofascist	"So many things happening *behind* the scenes."	“*幕后*发生了好多事情。”
0x0100000700019AB3	Dialogue Text	COAST / GARY barks coast	Gary, the Cryptofascist	"People are just scared of the truth."	“大家只是害怕真相而已。”
0x0100000700019ABA	Dialogue Text	COAST / GARY barks coast	Gary, the Cryptofascist	"I'm just saying, as a *Revacholian*, I am slightly worried."	“我只是想说，作为一个*瑞瓦科人*，我稍微有些担心。”
0x0100000700019FE3	Dialogue Text	COAST / GARY barks whirling	Gary, the Cryptofascist	"What about Revacholian traditions and customs?"	“瑞瓦科人的传统和风俗呢？”
0x0100000700019FE9	Dialogue Text	COAST / GARY barks whirling	Gary, the Cryptofascist	"Gotta be careful what you say these days."	“现在说话都要小心咯。”
0x0100000700019FEF	Dialogue Text	COAST / GARY barks whirling	Gary, the Cryptofascist	"Quite colourful in here... I mean the lights!"	“这里颜色挺丰富的……我是说灯光！”
0x0100000700019FF5	Dialogue Text	COAST / GARY barks whirling	Gary, the Cryptofascist	"I don't mean to sound paranoid or anything, *but*..."	“我不想让自己听起来像是个偏执狂或者什么的，*但是*……”
0x0100000700019FFB	Dialogue Text	COAST / GARY barks whirling	Gary, the Cryptofascist	"It's not like I go to meetings or anything."	“我也不是去参加集会啊或者什么的。”
0x010000070001A006	Dialogue Text	COAST / GARY barks whirling	Gary, the Cryptofascist	"Mass-radio can't be trusted. They're all just mouth-pieces."	“主流媒体根本不可信。他们都是传话机。”
0x010000070001A00D	Dialogue Text	COAST / GARY barks whirling	Gary, the Cryptofascist	"If I come to *your* home I respect your way of life, right?"	“如果我去*你*家，就该尊重你的生活方式，是吧？”
0x0100004C0000AAA2	Dialogue Text	COAST / KIM barks	Kim Kitsuragi	"Looks like an abandoned building..."	“看起来像是一栋废弃的建筑……”
0x010000040001553F	Dialogue Text	COAST / KIM WRECKED CAR barks	Kim Kitsuragi	"Good lord..."	“天啦……”
0x010000070001A023	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"It's a bit crowded in here."	“这里有点拥挤。”
0x010000070001A029	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"Are you enjoying yourself, darling?"	“你玩的开心吗，亲爱的？”
0x010000070001A031	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"There was a confirmed sighting in Mirova in December."	“已经确认12月在米诺瓦出现过。”
0x010000070001A037	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"The evidence is right there -- we can't just ignore it."	“证据就摆在这儿——不能就这么无视它吧。”
0x010000070001A03D	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"An *unconfirmed* sighting is just a story."	“没有*真正*目击到的话，那就只是个故事了。”
0x010000070001A043	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"C'mon, Gary, it's never that black and white."	“拜托，盖理，从来都不是黑白分明这么简单的。”
0x010000070001A04D	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"God, I hope the traps will hold..."	“老天，真希望那个陷阱能坚持住……”
0x010000070001A054	Dialogue Text	COAST / MORELL barks whirling	Morell, the Cryptozoologist	"Hate to break it to you, Gary, but rhinos don't just combust in flames."	“盖理，我很不想打断你，但是犀牛是不会在火焰中燃烧的。”
0x01000006000151CE	Dialogue Text	COAST / SMALL BUOY	Logic	You could ask the Miss what she thinks. Later, if you have the time -- though you doubt she'll tell you much at this point.	你应该问问那位女士的看法。之后，如果你有时间的话——虽然你怀疑她对此没什么能说的。
0x01000006000173AC	Dialogue Text	COAST / SMALL BUOY	You	"Damn, I felt *really* strange just now."	“该死，我刚才*真的*有种奇怪的感觉。”
0x01000006000173B2	Dialogue Text	COAST / SMALL BUOY	Kim Kitsuragi	"Mhm." No further response. All his concentration is on the contraption.	“嗯。”没有更多的回应。他的全部精力都集中在那个奇妙的装置上。
0x010000060001D714	Dialogue Text	COAST / SMALL BUOY	Perception (Smell)	The water this side of the peninsula is cleaner, actually. Smells a little salty.	其实，半岛这一侧的水要清澈很多。闻起来有点咸味。
0x01000071000056FA	Dialogue Text	COAST / SMALL BUOY	Small Buoy	A metal-and-plastic contraption bobs up and down amidst the trembling reeds. At first it just looks like trash, but if you look closer...	一个金属塑料制成的奇妙装置在摇摆的芦苇丛中若隐若现。一开始看起来像是垃圾，但是当你靠近一看……
0x0100007100005764	Alternate1	COAST / SMALL BUOY	You	Let the empty buoy be. [Leave.]	不管空浮标了。[离开。]
0x0100007100005764	Dialogue Text	COAST / SMALL BUOY	You	Let the buoy be. [Leave.]	别管这个浮标了。[离开。]
0x01000071000058A5	Dialogue Text	COAST / SMALL BUOY	Kim Kitsuragi	"That over there," he points to the strange-looking object, "must be the buoy Klaasje told us about -- the one she hid her passport in. We should take a look."	“看那边，”他指着一个奇怪的东西，“肯定是卡拉洁告诉我们的浮标——就是她藏护照的地方。我们应该去看看。”
0x01000071000058AB	Dialogue Text	COAST / SMALL BUOY	Drama	Oooh, hidden things -- secrets, lies!	噢噢噢噢，藏起来的东西——秘密，谎言！
0x01000071000058BA	Dialogue Text	COAST / SMALL BUOY	Shivers	Cold. Air. Tendons. Snapped the cords keeping the buoy in place. A little longer and it would be floating somewhere out in the open sea...	寒冷。空气。肌腱。割裂了绑住浮标的绳索。如果再长一点，它就会飘到远海的某个地方去了……
0x01000071000058C0	Dialogue Text	COAST / SMALL BUOY	Shivers	Yes, spindly extremities have been here, snapped the cords keeping the buoy in place. A little longer -- and it will be floating somewhere out in the open sea...	是的，纤弱的四肢曾经来过这里，割裂了绑住浮标的绳索。如果再长一点——它就会飘到远海上的某个地方去了……
0x01000071000058D0	Dialogue Text	COAST / SMALL BUOY	You	Pick up the buoy.	捡起浮标。
0x01000071000058D6	Dialogue Text	COAST / SMALL BUOY	You	Open the buoy. (Move on.)	打开浮标。（继续。）
0x01000071000058E9	Dialogue Text	COAST / SMALL BUOY	Logic	This must be the buoy Klaasje mentioned.	这一定就是卡拉洁提到的浮标。
0x0100007100005903	Dialogue Text	COAST / SMALL BUOY	You	"We're lucky it's still here. A little longer and it would have floated away..."	“它还在这里，算我们走运。要是再久一点，说不定就飘走了……”
0x010000710000590D	Alternate1	COAST / SMALL BUOY	You	"No documents. Who do you think took them?"	“没有文件。你觉得是谁拿走的？”
0x010000710000590D	Dialogue Text	COAST / SMALL BUOY	You	Stare into the empty buoy.	盯着空浮标。
0x0100007100005919	Dialogue Text	COAST / SMALL BUOY	Small Buoy	The buoy continues to be mostly empty.	浮标里还是空空如也。
0x010000710000591F	Dialogue Text	COAST / SMALL BUOY	Kim Kitsuragi	"I have no idea." The lieutenant taps his foot, frowning.	“我不知道。”警督皱着眉头，跺了跺脚。
0x010000710000594C	Dialogue Text	COAST / SMALL BUOY	You	"Maybe Klaasje took them herself..."	“也许是卡拉洁自己拿走的……”
0x0100007100005952	Dialogue Text	COAST / SMALL BUOY	You	"I think there's a cosmic conspiracy -- identities being lost and stolen left and right..."	“我觉得里面有个大阴谋——身份证明丢失，到处偷来摸去……”
0x0100007100005958	Dialogue Text	COAST / SMALL BUOY	You	"Could this be related to the cryptozoologists and their little expedition?"	“这会不会跟神秘动物学家和他们的小探险有关？”
0x010000710000595E	Dialogue Text	COAST / SMALL BUOY	You	"This is a minor quirk. We know what was in the buoy anyway."	“这只是个很不上道的怪癖。反正我们知道浮标里藏了什么。”
0x0100007100005964	Dialogue Text	COAST / SMALL BUOY	Kim Kitsuragi	He purses his lips. "Or *think* we do... This is a small loose end, either way. Not important I hope."	他咬紧双唇。“或者*以为*我们如此……不管怎么说，这里留了个小悬念。希望不会太关键。”
