ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000570001D98A	Dialogue Text	BACKYARD / KIM APT DOOR barks	Kim Kitsuragi	"There must be another way into the building."	“肯定有别的办法能进到里面去。”
0x0100002B00023893	Dialogue Text	BACKYARD / KIM barks	Kim Kitsuragi	"Look, a smoker on the balcony."	“看，有个人在阳台上抽烟。”
0x0100002B00023898	Dialogue Text	BACKYARD / KIM barks	Kim Kitsuragi	"This could be our witness."	“说不定是我们的目击证人。”
0x01000004000151E6	Dialogue Text	BACKYARD / KIM BREAKING AND ENTERING barks	Kim Kitsuragi	"Make this quick, detective."	“动作快一点，警探。”
0x010000060001DB09	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	You already have the heavy fuel oil to use as paint -- it's red! -- and Cindy the SKULL has a paintbrush. This is on.	你已经得到了用作颜料的重燃油——红色的！——而且骷髅头辛迪有一只漆刷。可以开工了。
0x0100000B0000295A	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Empathy	He sounds tired of it all.	听起来他已经厌倦了这一切。
0x0100000B000029E2	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Your loss. Farewell, rain-washed wall at the end of the world.	你的损失。再见，世界尽头这堵被雨水冲刷的墙。
0x010000160000321E	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Rhetoric	Blank, conveying nothing.	空的，没有传达任何信息。
0x010000160000322A	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	Why am I looking at this wall?	我为什么要看着这堵墙？
0x010000160000322A	tooltip1	BACKYARD / MOTHER OF ALL WALLS	You	In the dimming light, some things become clearer.	在昏暗的灯光下，有些东西越来越清晰。
0x010000160000322A	tooltip2	BACKYARD / MOTHER OF ALL WALLS	You	Dodge ball, really? You don't even have a ball for that.	躲避球游戏，真的吗？你连球都没有。
0x010000160000322A	tooltip3	BACKYARD / MOTHER OF ALL WALLS	You	You have a keen aesthetic sensibility.	你的美学感受性相当敏锐。
0x010000160000322A	tooltip4	BACKYARD / MOTHER OF ALL WALLS	You	Cindy's artistic impulses are infectious.	辛迪的艺术冲动很有感染力。
0x010000160000322A	tooltip5	BACKYARD / MOTHER OF ALL WALLS	You	Dresscode: Pseudo-SKULL.	着装要求：伪骷髅头。
0x0100001600003230	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	[Leave.]	[离开。]
0x010000160000326A	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	You have no clue. It's just a wall.	你没有任何线索。它只是一堵墙。
0x0100001600003270	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Yeah, why? It's a wall, an ordinary wall.	是吗，为什么？它是一堵墙，普通的墙。
0x010000160000327C	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Because -- you see it, finally -- this wall is *sublime*! LOOK AT IT! The shadows, the colours...	因为——你总算是看见了——这堵墙代表着*顶点*！看看它！那些阴影，那些色彩…
0x0100001600003282	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Hand/Eye Coordination	Maybe this would be a good wall for dodge ball?	也许这面墙很适合玩躲避球游戏？
0x0100001600003288	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Shivers	So many walls all over Martinaise -- weatherworn, cracked, their paint peeling...	马丁内斯有那么多面墙——被风雨侵蚀的，残破不堪的，油漆脱落的…
0x0100001600003294	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Kim Kitsuragi	The lieutenant sighs. "Why must we stop to look at this wall every time we pass by? We have business to attend to."	警督叹了口气。“为什么每次路过这堵墙都要停下来看？我们还有别的事要做。”
0x010000160000329D	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	(Let the conceptual joy flow into your pupils and blossom into thoughts in your brain.)	（让概念上的欢乐流入你的瞳孔，在你的大脑里开花结果。）
0x01000016000032CD	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	More!	还不够！
0x01000016000032D6	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	O WALLFATHER!	哦，墙壁之父！
0x01000016000032E2	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	"Kim! I *must* paint this wall, add even MORE beauty to it."	“金！我*必须*粉刷这面墙，为它增添更多美丽。”
0x01000016000032E8	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	Yes, I must paint this wall, ADD to it! (Get task.)	是的，我必须粉刷这面墙，再加点东西！（接受任务。）
0x01000016000032EE	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	No. There is nothing to add to perfection. (Back off.)	不。这么完美的东西已经没什么好加的了。（离开。）
0x0100001600003331	Alternate1	BACKYARD / MOTHER OF ALL WALLS	You	"I changed my mind. I *will* paint this wall." 	“我改变主意了。我*会*粉刷这面墙的。”
0x0100001600003331	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	Look the wall over again, carefully. Think about what you could paint there...	看着这面墙，再仔细一点。想想你能在上面画什么…
0x0100001600003343	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	[Leave.]	[离开。]
0x010000160000335D	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Backyard Wall	This is a wall on the side of an apartment building.	这是公寓大楼侧面的一堵墙。
0x0100001600003364	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Backyard Wall	Just an ordinary wall. Nothing to see here.	只是一堵普通的墙。没什么好看的。
0x010000160000336B	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Backyard Wall	The wall waits mutely.	墙静静地等待着。
0x0100001600003382	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	[Leave.]	[离开。]
0x010000160000338C	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Absolutely. Now you just need the materials.	当然了。现在你只要找到材料就行。
0x0100001600003393	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Kim Kitsuragi	"Huh?"	“嗯？”
0x0100001600003399	Alternate1	BACKYARD / MOTHER OF ALL WALLS	You	I already have heavy fuel oil, and Cindy the SKULL has a paintbrush...	我已经有重燃油了，而且骷髅头辛迪那里有一只漆刷…
0x0100001600003399	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	Cindy the SKULL has what I need.	骷髅头辛迪有我需要的东西。
0x010000160000339F	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	I'm sure I'll find them. And then I'll return to this wall.	我肯定能找到的。然后再回到墙这里来。
0x01000016000033C8	Alternate1	BACKYARD / MOTHER OF ALL WALLS	You	"I already have the paint. Just need to get a paintbrush from Cindy the SKULL."	“颜料已经准备好了。只需要从骷髅头辛迪那里拿到漆刷就好。”
0x01000016000033C8	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	"I must talk to Cindy. Get the necessary *materials* from her."	“我得跟辛迪聊聊。从她那里拿到必要的*材料*。”
0x01000016000033CE	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	"I'm sure I'll find the materials. Then we can come back to this magnificent wall."	“我肯定能找到材料的。到时候我们再回到这堵壮丽的墙边。”
0x01000016000033D4	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Kim Kitsuragi	He sighs, then adds in a resigned tone: "If you must."	他叹了口气，然后用一种听天由命的口吻补充了一句，“如果你非要这么做的话。”
0x01000016000033DA	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Kim Kitsuragi	"I suppose we'll have to pass by it again at some point anyway," he says in a tone of resignation.	“反正我们之后可能还会路过这个地方，”他的口吻有一种听天由命的味道。
0x01000016000033E0	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Yes, great thinking, go talk to her. The wall will be waiting.	是的，这想法不错，去跟她聊聊。这堵墙会一直等着的。
0x01000016000033E6	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Yes, do that. The wall will be waiting.	是的，就这么做。这堵墙会一直等着的。
0x01000016000033F0	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	[Leave.]	[离开。]
0x01000016000033FD	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	You	"First, I know you're tired, Kim, but take another look at this wall. Draw *nourishment* from its beauty."	“首先，我知道你累了，金，但是再看一眼这堵墙。从它的美丽中汲取*营养*。”
0x0100001600003403	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Kim Kitsuragi	"Mhm, sure." The lieutenant looks up at the wall reluctantly, then back at you.	“嗯，当然了。”警督不情愿地抬头看了一眼墙，然后又看向你。
0x010000160000340A	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Electrochemistry	Your hands shake as they reach for the wall...	你的手颤抖地碰触着墙面…
0x010000160000341B	Alternate1	BACKYARD / MOTHER OF ALL WALLS	Backyard Wall	The pastels of the wall seem still more luminous in the falling snow.	飘落的雪花中，这面墙的色彩似乎更加明亮了。
0x010000160000341B	Alternate2	BACKYARD / MOTHER OF ALL WALLS	Backyard Wall	Rain darkens the surface of the most beautiful of all walls, but does not in any way diminish its beauty.	雨滴让这幅最美丽的墙面变得昏暗起来，然而它的美丽却没有减弱分毫。
0x010000160000341B	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Backyard Wall	There it is -- the most beautiful of walls. Stop and admire it for a moment.	这就是——最美丽的墙。在这里驻足片刻，欣赏它的美丽。
0x0100001600003436	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Because this is no ordinary wall. It is *sublime*! LOOK AT IT! The shadows, the colours...	因为这不是一堵普通的墙。它代表着*顶点*！看看它！那些阴影，那些色彩…
0x010000160000346B	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Logic	Cindy the SKULL has a paintbrush and paint. Talk to her.	骷髅头辛迪手上有漆刷和颜料。去跟她聊聊吧。
0x0100001600003471	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Logic	You already have the heavy fuel oil to use as paint, and Cindy the SKULL has a paintbrush. This is completely doable.	你手上的重燃油可以作为颜料，骷髅头辛迪手上有漆刷。这样完全是可行的。
0x0100001600003499	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	All the other walls on all the other houses must make a pilgrimage in adoration of this, the uncontested pinnacle of wall-craft. Colour peeled from the very face of god.	其他房子上的墙一定会专门来这里朝圣，朝拜这个造墙工艺里毫无争议的顶点。只是神明脸上的色彩有些脱落。
0x010000580000B4D9	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Your loss. Farewell, light-drenched wall at the end of the world.	你的损失。再见，世界尽头这堵沐浴在光芒之下的墙。
0x010000580000B4E0	Dialogue Text	BACKYARD / MOTHER OF ALL WALLS	Conceptualization	Your loss. Farewell, snow-flecked wall at the end of the world.	你的损失。再见，世界尽头这堵雪花斑驳的墙。
