ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100001600003116	Dialogue Text	SEAFORT / BOAT	Esprit de Corps	Lieutenant Kitsuragi lies in the hospital, recovering. Barely. Are you really done here, he would ask you? Are you done with the investigation?	曷城警督躺在医院里，正在恢复。很是勉强。他会问你，你真的做完所有工作了吗？调查完成了吗？
0x010000160000311C	Dialogue Text	SEAFORT / BOAT	You	Yeah... I'm not. [Leave.]	是啊……还没有。[离开。]
0x0100001D000002B5	Dialogue Text	SEAFORT / BOAT	ROO A72 Motor Skiff	You reach the jetty and climb out of the skiff.	你抵达码头，爬出小艇。
0x0100002F0000F69D	Dialogue Text	SEAFORT / BOAT	ROO A72 Motor Skiff	The skiff is swaying on the waves by the dock.	码头旁的小艇在波浪中摇摆。
0x01000041000001FE	Dialogue Text	SEAFORT / BOAT	ROO A72 Motor Skiff	The skiff rocks gently under your weight as you get in. The ride back is uneventful and quiet.	你踏上小艇，它在你的重量下轻柔地摇晃。回去的路上风平浪静。
0x0100004100000240	Dialogue Text	SEAFORT / BOAT	Perception (Hearing)	But for the sound of conversation on the water. There is someone inland, waiting for you.	只是水面上传来了对话声。有人在内陆，在等你。
0x0100004100000256	Dialogue Text	SEAFORT / BOAT	Esprit de Corps	Two men and a woman stand on the concrete square of a nameless village, looking at a small yellow boat as it draws closer. The sea is calm.	两个男人和一个女人站在无名村庄的混凝土广场，看着一艘黄色小船越靠越近。大海十分平静。
0x010000450001E190	Alternate1	SEAFORT / BOAT	You	"Let's return to the mainland."	“我们返回内陆吧。”
0x010000450001E190	Dialogue Text	SEAFORT / BOAT	You	Return to the mainland.	返回内陆。
0x010000450001E196	Dialogue Text	SEAFORT / BOAT	You	[Leave.]	[离开。]
0x010000450001E19D	Dialogue Text	SEAFORT / BOAT	ROO A72 Motor Skiff	You climb into the boat and start the engine.	你爬上船，启动引擎。
0x010000450001E1AA	Dialogue Text	SEAFORT / BOAT	Kim Kitsuragi	"Are you sure? There are things we still need to do here..." He looks at the ruined flak tower on the cliffside.	“你确定吗？我们在这里还有事没做完……”他看着悬崖边废弃的高射炮塔。
0x010000450001E1BD	Dialogue Text	SEAFORT / BOAT	Cuno	"Are you sure? There's shit we need to do, sheriff..." He looks at the ruined flak tower on the cliffside.	“你确定吗？我们还有些破事要处理呢，警长……”他看着悬崖边废弃的高射炮塔。
0x010000450001E1DA	Dialogue Text	SEAFORT / BOAT	You	"You're right. Let's get to it." [Leave.]	“你说得对。我们开始吧。”[离开。]
0x010000450001E1F9	Dialogue Text	SEAFORT / BOAT	Kim Kitsuragi	"Let's. We're done here," he says, adjusting his glasses as he looks out over the water.	“走吧。这里的事已经做完了，”他说着，调整了一下眼镜，望向水面。
0x010000450001E1FF	Dialogue Text	SEAFORT / BOAT	Cuno	"Oh yeah." He crosses his arms and nods to you with a self-satisfied smirk. "We did good shit here, detective."	“哦耶。”他交叉双臂，朝你点点头，露出一个自鸣得意的傻笑。“我们在这里干得不错，警探。”
0x0100007E00001A76	Dialogue Text	SEAFORT / BOAT	You	"You're right. Let's get to it." [Leave.]	“你说得对。我们开始吧。”[离开。]
0x0100000400014B66	Dialogue Text	SEAFORT / CUNO FUEL barks	Cuno	"Fuckin'... May bells everywhere."	“妈的……到处都是铃兰。”
0x0100000400014B6C	Dialogue Text	SEAFORT / CUNO FUEL barks	Cuno	"Empty... Gotta look elsewhere, piggo."	“空的……去其他地方看看吧，猪头。”
0x010000060000E98B	Dialogue Text	SEAFORT / CUNO FUEL barks	Cuno	"Got the fucking fuel, yeah."	“他妈的，是有燃料，哦耶。”
0x0100000400014848	Dialogue Text	SEAFORT / DESERTER ARREST	You	"Iosef Lilianovich Dros, you are under arrest for the murder of the mercenary leader, Kortenaer. You will be taken to the nearest precinct holding area for preliminary investigation."	“伊索夫·利连诺维奇·德罗斯，你因为谋杀雇佣兵首领科顿艾尔而被逮捕了。你将会被送往最近的分局等候区，接受初步调查。”
0x0100000400014850	Dialogue Text	SEAFORT / DESERTER ARREST	You	"You will be provided legal counsel within one week, and must face court in 44 days."	“我们将会在一周内为你指派法律顾问，而且必须在44天内出庭。”
0x0100000400014856	Dialogue Text	SEAFORT / DESERTER ARREST	You	"Your Wayfarer rights have been suspended. Information provided to the officer on the scene will be used against you by the prosecution."	“你的旅人权被暂停了。现场警员提供的信息将会成为控方的呈堂证供。”
0x0100000400014872	Dialogue Text	SEAFORT / DESERTER ARREST	You	"Does the boat have room for three?"	“船的空间够塞下三个人的吗？”
0x010000040001487E	Dialogue Text	SEAFORT / DESERTER ARREST	You	"*You* could come back for me. Once you've taken him to the Precinct."	“*你*可以回来接我。等你把他带回分局之后。”
0x010000040001488A	Alternate1	SEAFORT / DESERTER ARREST	You	"Maybe I can just ask that Net Picker woman to watch him?"	“也许我可以让拾网人帮忙看着他？”
0x010000040001488A	Dialogue Text	SEAFORT / DESERTER ARREST	You	"Maybe I can just ask Lilienne to watch him?"	“也许我可以让莉莉恩帮忙看着他？”
0x0100000400014892	Dialogue Text	SEAFORT / DESERTER ARREST	You	"Maybe you're right..."	“也许你是对的……”
0x010000040001489C	Dialogue Text	SEAFORT / DESERTER ARREST	You	"We could all fit in the little boat?"	“我们都能塞进那条小船？”
0x01000004000148A4	Dialogue Text	SEAFORT / DESERTER ARREST	You	"*But* what? There's something I'm not getting, right?"	“*但是*什么？有些事情我没弄明白，对吗？”
0x01000004000148B7	Dialogue Text	SEAFORT / DESERTER ARREST	You	"I can't let a kid go and take a murder suspect to the station."	“我不能让一个小孩带着杀人嫌疑犯去警局吧。”
0x01000004000148BD	Dialogue Text	SEAFORT / DESERTER ARREST	You	"Maybe you're right..."	“也许你是对的……”
0x01000004000148C3	Dialogue Text	SEAFORT / DESERTER ARREST	You	"Yeah, actually, that will look bad."	“是啊，其实，那样看起来应该挺糟糕的。”
0x01000004000148D4	Dialogue Text	SEAFORT / DESERTER ARREST	Cuno	"Yeah -- no." He shakes his head. "Only two are gonna fit in that fucker. I guess *you* could take him back, but..." He squints, realizing something.	“哦耶——不行。”他摇摇头。“那破玩意里只能塞下两个人。我猜*你*可以把他带回去，不过……”他眯起眼睛，突然意识到了什么。
0x01000004000148DA	Dialogue Text	SEAFORT / DESERTER ARREST	Cuno	The kid looks at you blankly. Then at the old man. "You fuckin' with me? Coz I can. I *can* take him."	男孩茫然地看着你。然后是那个老人。“你他妈看不起我啊？我当然可以啊。我*可以*带他走。”
