ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100005A0001371B	Dialogue Text	BACKYARD ORB / more bullet thoughts	Pain Threshold	The spread pattern of these bullet holes makes your chest ache. Your breath grows heavier.	四周密布的弹孔让你的胸口感到一阵疼痛。你的呼吸变得沉重起来。
0x0100005A00013721	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"Kim, look... more bullet holes. Someone has been shot here."	“金，看…还有好多弹孔。有人在这里中枪了。”
0x0100005A00013738	Dialogue Text	BACKYARD ORB / more bullet thoughts	Visual Calculus	Another set of awfully old bullet holes.	又是一连串可怕的陈旧弹孔。
0x0100005A0001373E	Dialogue Text	BACKYARD ORB / more bullet thoughts	Visual Calculus	More old bullet holes, at least half a century. A different era altogether.	更多的弹孔，至少已经存在了半个世纪。那是一个完全不同的时代。
0x0100005A00013744	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	[Discard thought.]	[放弃思维。]
0x0100005A00013752	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	The lieutenant inspects the wall, then nods. "Another set of old bullet holes from the Revolution."	警督查看了墙壁，然后点点头。“又是大革命时期留下的旧弹孔。”
0x0100005A00013758	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"Man, how many people got shot during that Revolution?"	“我的天，到底有多少人在大革命的时候被杀了？”
0x0100005A0001375E	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"Figured as much." [Discard thought.]	“我也这么觉得。”[放弃思维。]
0x0100005A00013772	Dialogue Text	BACKYARD ORB / more bullet thoughts	Visual Calculus	More old bullet holes, half a century at least, from the Revolution.	更多的弹孔，至少已经存在了半个世纪，应该是大革命时期留下的。
0x0100005A0001379F	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	"A history of violence streaking all across Revachol."	“瑞瓦肖本身就是一部暴力史。”
0x0100005A000137A6	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	"Plenty."	“很多。”
0x0100005A000137AD	Dialogue Text	BACKYARD ORB / more bullet thoughts	Shivers	The streets ran red with blood. Dust swirled above the ruins. The pressure change from artillery fire ripped people apart in the top floors of the building above you...	街道被鲜血染红。尘土在废墟上方盘绕。炮火引起气压变化，将上方建筑顶层的人们撕成了碎片…
0x0100005A000137B5	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	Examine closer.	仔细靠近查看。
0x0100005A000137BD	Dialogue Text	BACKYARD ORB / more bullet thoughts	Pain Threshold	You peer into the faded marks in the stone... they peer back like an endless row of tiny black holes. Sweat starts trickling down your brow.	你凝视着石头上褪色的痕迹…它们就像一排无穷无尽的小黑洞回望着你。汗水渐渐从你的额角滑落。
0x0100005A000137C4	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"These bullet holes look like the bullet holes we saw before."	“这些弹孔跟我们之前看到的弹孔很像。”
0x0100005A000137CA	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	"Bullet holes generally look the same, so... probably." He leans in to inspect the wall. "But you are right, more old bullet holes from the Revolution."	“一般来说，弹孔都长得很像，所以…也许是吧。”他倾身向前，查看着墙壁。“不过你是对的，确实是大革命时期留下的旧弹孔。”
0x0100005A000137D3	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"What's with all these bullet holes? I've seen a lot of them around."	“这些弹孔到底是怎么回事？我在附近看到不少。”
0x0100005A000137DA	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	The lieutenant looks at the wall. "Remnants from the Revolution. These are over half a century old."	警督看着墙。“大革命的残留品，应该有大半个世纪了。”
0x0100005A000137E1	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"Okay. But what can you tell me about the Revolution?"	“好吧。那你能跟我说说这个大革命吗？”
0x0100005A000137EC	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	"Not much. I don't have a *fresh perspective* on it. Should we go?"	“没什么可说的。毕竟我不能提供什么*新鲜的视角*。可以走了吗？”
0x0100005A000137F3	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	"No, we're not constructors and renovators. And these bullet holes do not warrant an investigation."	“不，我们不是建筑工人，也不是翻修工人。再说这些弹孔跟调查也没什么关系。”
0x0100005A000137F9	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"So, no crime has happened here?"	“所以说，这里没有发生罪案了？”
0x0100005A00013800	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	"Perhaps *a* crime of a sort, ages ago... but no, these do not warrant an investigation."	“也许很久以前，有过*某种*罪案…不过没有，这跟调查没什么关系。”
0x0100005A00013806	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"Is there something we should do about these?"	“我们应该做点什么吗？”
0x0100005A00013810	Dialogue Text	BACKYARD ORB / more bullet thoughts	You	"Never mind, then. Let's go." [Discard thought.]	“那没事了。我们走吧。”[放弃思维。]
0x0100005A0001381A	Dialogue Text	BACKYARD ORB / more bullet thoughts	Kim Kitsuragi	The lieutenant nods.	警督点点头。
