ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000400014AFA	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Volition	Harry... I know there's not much to say -- but if nothing else, just remember that you've made it this far. And it's just a bit farther now. Let's finish this.	哈里……我知道你有很多话想说——但是有一点，只要记得你已经走了这么远。而且现在只要再往前一点就好。让我们结束这一切吧。
0x0100000400014B00	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Half Light	Get the fuck out of here. Fuck this place, fuck this world, fuck this life, fuck this body -- just fucking go.	赶快离开这个鬼地方。这操蛋的世界，操蛋的生活，操蛋的身体——赶紧他妈的走就对了。
0x0100000400014B06	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Savoir Faire	The sheets are stained red. Your blood's been running again. Keep it together. Just get out of here and finish this fucking thing.	床单被染成了红色。你又开始流血了。振作起来。只要离开这里，然后完成这件破事。
0x010000060000EB14	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Inland Empire	Your surroundings are undisturbed. While you slept, you were alone. Now that you're awake -- you're still alone.	你的周围一片安静。当你睡着的时候，你只有一个人。现在你醒了过来——还是一个人。
0x010000060000EB1D	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	"So I talked in my sleep?"	“这么说我睡着了？”
0x010000060000EB24	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Cuno	"Yeah. No biggie, don't shit yourself. All the worst dreams are about bitches -- you wouldn't *believe* the shit Cuno sees about C..."	“是啊，没什么大不了的，别他妈太在意。最恶劣的梦都是跟婊子有关的——你绝对不会*相信*坤诺看见的那个C……”
0x010000060000EB2B	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Empathy	It's not good, this C in his dreams.	好像不太妙，他梦里的那个C。
0x0100002F00012B97	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	(Swallow the blood and conclude.) "Let's investigate that gigantic insect. That's the next step in the *task chain*."	（咽下血，然后总结道。）“我们调查一个那个大混蛋，继续*任务链*的下一环节。”
0x0100002F00012B9C	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	(Swallow the blood and conclude.) "Let's talk to our perp again. That's the next step in the *task chain*."	（咽下血，然后总结道。）“我们再去跟那个罪犯聊一次，继续*任务链*的下一环节。”
0x0100002F00012BB3	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	(Swallow the blood and conclude.) "Let's get our perp to confess to the murder. That's the next step in the *task chain*."	（咽下血，然后总结道。）“我们要让那个罪犯认罪，继续*任务链*的下一环节。”
0x0100002F00012BB8	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	(Swallow the blood and conclude.) "Let's get that motive out of our perp. That's the next step in the *task chain*."	（咽下血，然后总结道。）“我们要弄清罪犯的动机，继续*任务链*的下一环节。”
0x0100002F00012BBD	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	(Swallow the blood and conclude.) "Let's arrest the perp. That's the next step in the *task chain*."	（咽下血，然后总结道。）“让我们逮捕那个罪犯，继续*任务链*的下一环节。”
0x0100004000003225	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	Just spit out the blood and get back to work. You're bad ass like that.	把血吐出来，继续回去工作。你就是那种狠角色。
0x010000450001E032	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Kim Kitsuragi	"You're up quick... How was your sleep?"	“这么快就起来了……睡得怎么样？”
0x010000450001E03A	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	"Actually -- it was total annihilation, Kim."	“其实——这完全就是毁灭性的灾难，金。”
0x010000720000789B	Alternate1	SEAFORT INT / AFTERDOLORES TALK	You	"My sleep was deep and invigorating." (Desperately try to cover up all the blood seeping out with your hands.) 	“我睡得很沉，现在感觉精力充沛。”（拼命想掩饰手上渗出的血液。）
0x010000720000789B	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	"My sleep was deep and invigorating." (Try to cover up the blood seeping out with your hands.)	“我睡得很沉，现在感觉精力充沛。”（试着掩饰手上渗出的血液。）
0x01000072000078B0	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	"Let's solve the fucking case."	“让我们解决这个该死的案子吧。”
0x01000072000078BD	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Kim Kitsuragi	"We already solved the case, remember? You were sleeping."	“我们已经解决这个案子了，还记得吗？你刚才在睡觉。”
0x01000072000078C4	Alternate1	SEAFORT INT / AFTERDOLORES TALK	Kim Kitsuragi	"Are you sure you're okay? You thrashed around, then you bolted up, halfway covered in blood from your wounds."	“你确定没问题吗？你一直翻来覆去，然后蜷缩起来，半边身体沾满了伤口流出来的血。”
0x01000072000078C4	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Kim Kitsuragi	"Are you sure you're okay? You thrashed around, then you bolted up, half-covered in blood from your wound."	“你确定没问题吗？你一直翻来覆去，然后蜷缩起来，半身沾满了伤口流出来的血。”
0x01000072000078CB	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	"Oh..."	“哦……”
0x01000072000078D9	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	Kim Kitsuragi	He frowns. "I did not want to wake you -- perhaps I should have? Was it a job dream?"	他皱皱眉。“我不想吵醒你——也许我应该这么做？是关于工作的梦吗？”
0x01000072000078E0	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	"No, an ex-wife dream."	“不，是关于前妻的。”
0x01000072000078E6	Dialogue Text	SEAFORT INT / AFTERDOLORES TALK	You	"Yeah. About the job."	“是啊。关于工作的。”
