ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001D952	Dialogue Text	BOARDWALK ORB / smell of death	You	Hold on, that *is* awful. (Cover your nose.)	等一下，这*的确*很可怕。（捂住你的鼻子。）
0x010000060001D959	Dialogue Text	BOARDWALK ORB / smell of death	Perception (Smell)	It doesn't help. You can still smell it.	没什么帮助。你还能闻得到。
0x010000060001D960	Dialogue Text	BOARDWALK ORB / smell of death	Endurance	Keep it in now. Don't overreact. Breathe.	现在控制住。不要反应过度。正常呼吸。
0x0100002100000BFB	Dialogue Text	BOARDWALK ORB / smell of death	Half Light	Something cold wakes in the pit of your stomach: fear.	某种冰冷的东西从你的胃部深处苏醒：恐惧。
0x0100004000002CDB	Dialogue Text	BOARDWALK ORB / smell of death	Perception (Smell)	The smell... It's awful and familiar.	这种味道…可怕又熟悉。
0x0100004000002CE3	Dialogue Text	BOARDWALK ORB / smell of death	Perception (Smell)	What is that awful smell?	这种可怕的味道是什么？
0x0100004000002CFB	Dialogue Text	BOARDWALK ORB / smell of death	Perception (Smell)	Don't be naive.	别这么天真了。
0x0100004000002D0A	Dialogue Text	BOARDWALK ORB / smell of death	You	What is it then?	那是什么？
0x0100004000002D26	Dialogue Text	BOARDWALK ORB / smell of death	You	"Heads up, lieutenant. Something's not right here."	“小心，警督。这里有些不太对劲。”
0x0100004000002D2D	Dialogue Text	BOARDWALK ORB / smell of death	Kim Kitsuragi	The lieutenant has already brought a handkerchief to his nose.	警督已经掏出一块手帕捂住了口鼻。
0x0100004000002D35	Dialogue Text	BOARDWALK ORB / smell of death	You	Goddamnit...	该死…
0x0100004000002D3C	Dialogue Text	BOARDWALK ORB / smell of death	Perception (Smell)	A sense of dread washes over you as you look ahead.	你看向前方，一种恐惧感朝你席卷而来。
0x0100004000002D44	Dialogue Text	BOARDWALK ORB / smell of death	You	I don't want to be here.	我不想待在这里。
0x0100007B00002033	Dialogue Text	BOARDWALK ORB / smell of death	You	What is it?	这是什么？
0x0100007B0000203A	Alternate1	BOARDWALK ORB / smell of death	Perception (Smell)	Don't you recognize it? That hideous pungency, that faintly cloying sweetness? Only death smells like that.	你认出来了吗？那种可怕的辛辣味，那种微弱又倒胃口的甜香？只有死亡才会散发出这种味道。
