ArticyId	TermType	ConvTitle	Actor	En	Zh
0x01000082000086F5	Alternate1	SHACK ORB / elchem with kim	Electrochemistry	Amphetamine, sweet amphetamine! You feel like you should find the source... and maybe get more?	啊，安非他命，甜美的安非他命！你觉得自己应该找出货源……也许还能再多弄点？
0x01000082000086F5	Alternate2	SHACK ORB / elchem with kim	Electrochemistry	Amphetamine, sweet amphetamine! Maybe this Cuno kid knows where to find more?	啊，安非他命，甜美的安非他命！也许那个叫坤诺的小孩知道能在哪儿找到更多？
0x01000082000086F5	Dialogue Text	SHACK ORB / elchem with kim	Electrochemistry	Be still, my beating heart... it's amphetamine, sweet amphetamine!	我的心脏狂跳不止！快冷静下来……这是安非他命啊，安非他命！
0x0100008200008718	Dialogue Text	SHACK ORB / elchem with kim	You	Lick it. Big-style.	舔一口。大口一点。
0x010000820000871E	Dialogue Text	SHACK ORB / elchem with kim	You	Don't lick it.	不要舔。
0x010000820000872D	Dialogue Text	SHACK ORB / elchem with kim	Kim Kitsuragi	"But that there was an interesting find -- an alternative path into the harbour that the kid uses. Well done."	“不过确实有个有趣的发现——小孩前往港口的备用通道。做得好。”
0x0100008200008735	Dialogue Text	SHACK ORB / elchem with kim	Rhetoric	There's a good vague way to ask where he stands on drug use. Professionally, I mean.	这种方法能够从侧面试探出他对使用毒品的态度。我是说，可以利用职业便利。
0x010000820000873D	Dialogue Text	SHACK ORB / elchem with kim	Electrochemistry	Yeah, swift, lightning justice! Faster... Harder... Justicer!	是啊，迅速，如闪电般的正义！更快……更强……更公正！
0x0100008200008755	Dialogue Text	SHACK ORB / elchem with kim	Kim Kitsuragi	"See that *ladder* there? It's probably another way into the industrial harbour, no? A secret path the local kids use."	“看到那边的*梯子*了吗？也许是通往工业港口的其他通道，不是吗？可能是本地小孩子的秘密通道。”
0x0100008200008763	Dialogue Text	SHACK ORB / elchem with kim	You	Lick it, but only a little. An itty-bitty little lick.	舔一小口。非常非常小，特别特别小的那种。
0x010000820000876A	Dialogue Text	SHACK ORB / elchem with kim	Electrochemistry	Responsible drug use. Just a faint bitter taste on the tip of your tongue. There wasn't enough to get a grown man anywhere.	尽责的毒品使用。你的舌尖品尝到一股淡淡的苦味。这点量不够让一个成年男子怎么样。
