ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100002F0000D55D	Dialogue Text	BOOKSTORE / BACK DOOR	You	"Oh god..." (Try to breathe normally.) "This really wasn't the best idea, was it..."	“天啦…”（试着正常呼吸。）“这真心不是最好的主意，对吧…”
0x0100002F0000D562	Dialogue Text	BOOKSTORE / BACK DOOR	You	"I deserve this. My body deserves to suffer for being this *weak* and *disappointing*."	“我自找的。我的身体就应该遭受这种*虚弱*和*失望*。”
0x0100002F0000D5EC	Dialogue Text	BOOKSTORE / BACK DOOR	You	"Is that... Is that *blood* I'm seeing?" (Rub your forehead.)	“那是…我看见的是*血*吗？”（摸摸自己的前额。）
0x0100002F0000D702	Dialogue Text	BOOKSTORE / BACK DOOR	Physical Instrument	What if... you just break it down?	如果…你把它砸碎呢？
0x0100002F0000D710	Dialogue Text	BOOKSTORE / BACK DOOR	Physical Instrument	Walk it off, son! Stop wriggling like a maggot, it's nothing to worry about.	走开，小子！别像只蛆虫一样扭扭捏捏了，根本没什么好担心的。
0x0100002F0000D76D	Dialogue Text	BOOKSTORE / BACK DOOR	You	Maybe I *should* break it down? But not before I strategize...	也许我*应该*把它砸开？但是我得先制定战略…
0x0100002F0000D77B	Dialogue Text	BOOKSTORE / BACK DOOR	Physical Instrument	That's right, take in your surroundings. You need to have a solid ground and a proper posture if you want to succeed.	没错，好好考虑你周围的环境。如果想要成功，你需要一个坚实的地面，还有一个合适的支点。
0x0100002F0000D7F7	Dialogue Text	BOOKSTORE / BACK DOOR	You	Smash into the door and shout: "Freeze, dirtbags!"	用力撞门，然后大声吼叫：“不许动，你们这些坏人！”
0x0100002F0000D7FD	Dialogue Text	BOOKSTORE / BACK DOOR	You	Smash into the door and shout: "Hands up, now!"	用力撞门，然后大声吼叫：“举起手来，现在！”
0x0100002F0000D811	Dialogue Text	BOOKSTORE / BACK DOOR	You	Smash into the door and shout: "Fuck, it hurts!"	用力撞门，然后大声吼叫：“操，疼死了！”
0x0100002F0000DC2F	Dialogue Text	BOOKSTORE / BACK DOOR	Perception (Hearing)	A hollowed out, dark echo...	一个空洞、黑暗的回音…
0x0100002F0001168A	Dialogue Text	BOOKSTORE / BACK DOOR	You	Touch the back of your neck: What is this feeling?	摸摸自己的后颈：这是什么感觉？
0x0100002F00011690	Dialogue Text	BOOKSTORE / BACK DOOR	Shivers	Outside, the wind howls in from across the bay. The building at Rue de Saint-Ghislaine stands like a matchbox on its side, with men inside like little wooden sticks ready to catch fire.	外面，风从海岸边呼啸而过。一栋火柴盒般的建筑矗立在圣吉莱纳路的旁边，里面的男人仿佛一根随时准备点燃自己的小火柴。
0x0100002F000116BC	Dialogue Text	BOOKSTORE / BACK DOOR	Pain Threshold	You smash into the wood and see a small crack appear on the door frame. It's going to take one more try to break through to the other side, but you've done it...	你撞向木门，看见门框上出现了一个小小的裂缝。再试一次应该就能突破到另一边，但是你已经做到了…
0x0100002F000116C1	Dialogue Text	BOOKSTORE / BACK DOOR	Pain Threshold	Ow, shoot! Whose moronic idea was it to just *run through the door*? Don't you know that things like that *hurt*?!	哎哟，该死！这是哪个白痴提的主意，说要*破门而入*？难道你不知道这样会*很疼*吗？！
0x0100002F000116E6	Dialogue Text	BOOKSTORE / BACK DOOR	You	Smash into the door again -- wordless.	再撞一次门——什么话也不说。
0x0100002F000116F8	Dialogue Text	BOOKSTORE / BACK DOOR	You	Smash into the door and shout: "Welcome to Revachol!"	用力撞门，然后大喊：“欢迎来到瑞瓦肖！”
0x0100002F000116FE	Dialogue Text	BOOKSTORE / BACK DOOR	Kim Kitsuragi	"You're not thinking of trying again, are you?" The lieutenant stares at you as you stand there, silent and brooding.	警督盯着站在那里的你，一言不发地沉思着。“你不会想再试一次吧？”
0x0100002F00011704	Dialogue Text	BOOKSTORE / BACK DOOR	Plaisance	"What are you doing, officer?!" A voice rings from the other room. It sounds almost worried -- worried about your health.	一个声音从另一个房间里传了出来：“你在做什么，警官？！”听起来好像很担心——担心你的健康。
0x0100002F00011718	Dialogue Text	BOOKSTORE / BACK DOOR	You	"Please don't cry, please don't cry..." (Slap your face.) "I don't want anyone to see me cry!"	“不要哭，千万别哭…”（扇自己的脸。）“我不想被人看到我掉眼泪！”
0x01000048000000D0	Dialogue Text	BOOKSTORE / BACK DOOR	You	Break down the door.	把门撞开。
0x01000048000000D0	tooltip1	BOOKSTORE / BACK DOOR	You	Preparation Phase Complete.	准备阶段完毕。
