ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100006B00009025	Dialogue Text	CANAL ORB / faln at night	Inland Empire	The Headless FALN Rider -- he could appear at any minute!	无头FALN骑士——他随时可能出现！
0x0100006B0000902C	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"Please tell me we're not here to look for a headless man in a tracksuit riding a horse... because there's no such thing."	“麻烦你告诉我，我们来这儿不是为了找一个穿着运动服的无头骑士……因为根本就没有这种东西存在。”
0x0100006B00009033	Dialogue Text	CANAL ORB / faln at night	Inland Empire	Don't listen to the lieutenant! He doesn't know *anything*.	别听警督的！他*什么*都不知道。
0x0100006B00009046	Dialogue Text	CANAL ORB / faln at night	You	"We'll just wait and see."	“我们等着瞧吧。”
0x0100006B0000904B	Dialogue Text	CANAL ORB / faln at night	You	"No, we're just passing through."	“不是，我们只是路过。”
0x0100006B00009050	Dialogue Text	CANAL ORB / faln at night	You	"Absolutely not. That's not why we're here. Why would you even think that?"	“当然不是，我们可不是为这个来的。你为什么会这么想？”
0x0100006B00009056	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"No one's actually *seen* the Headless FALN Rider because he doesn't exist. He's an urban legend. A *legend*, meaning a story that's not real."	“没人真正*见过*无头FALN骑士，因为他根本*不存在*。他只是个都市传说。而*传说*，就意味着*一个虚构的故事。*”
0x0100006B00009063	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"We've been running around together doing *odd things* for days. I've seen how your mind operates... this is just the sort of thing it would latch on to."	“这几天我们一直在做一些*稀奇古怪*的事。我已经见识过你的脑子是怎么运转的了……它就是对这种东西特别感兴趣。”
0x0100006B0000906A	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"Good. It's late, we should get some rest."	“很好。现在很晚了，我们该休息了。”
0x0100006B0000906F	Dialogue Text	CANAL ORB / faln at night	You	"How would you know?"	“你怎么知道的？”
0x0100006B0000907B	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"There's nothing to wait for. We should get some rest, it's been a long day."	“没什么好等的。我们应该回去休息，今天已经够漫长的了。”
0x0100006B00009087	Dialogue Text	CANAL ORB / faln at night	You	"I'm just going to wait a few more minutes, just in case."	“我再等个几分钟，以防万一。”
0x0100006B0000908D	Dialogue Text	CANAL ORB / faln at night	You	"You're right, what was I thinking? Let's go." [Leave.]	“你说的对，看我……都在想什么呢？我们走吧。”[离开。]
0x0100006B00009095	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	The lieutenant nods.	警督点了点头。
0x0100006B0000909E	Dialogue Text	CANAL ORB / faln at night	Inland Empire	Yes, stay! What's a few more minutes going to hurt?	没错，留下！再等几分钟又不会怎么样？
0x0100006B000090A5	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	The lieutenant has his arms crossed, fingers tapping against his bicep. "There, we waited. Nothing happened. Happy now?"	警督双手交叉抱在胸前，手指轻轻敲打着自己的二头肌。“好了，我们等了。什么也没发生。现在高兴了？”
0x0100006B000090AC	Dialogue Text	CANAL ORB / faln at night	You	"This has made me unspeakably unhappy."	“让我无法形容的……不高兴。”
0x0100006B000090B1	Dialogue Text	CANAL ORB / faln at night	You	"You were right, Kim. What was I thinking? Let's go." [Leave.]	“你说的没错，金。我到底在想什么呢？我们走吧。”[离开。]
0x0100006B000090BB	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"I know myths and legends are enticing, but in the end they're just stories for children... to teach them lessons, or to frighten them." He gestures toward the waves.	“我知道神话和传说很有诱惑力，但最后那些都是讲给小孩听的故事……为了给他们上一课，或者是吓唬他们。”他向着海浪比划着。
0x0100006B000090C2	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"Let's go. It's very late -- we should be resting already. Tomorrow will be another tough day."	“我们走吧。现在已经很晚了——我们早就应该回去休息的。明天又会是难熬的一天。”
0x0100006B000090D1	Dialogue Text	CANAL ORB / faln at night	You	"Yeah, you're right. Would've been cool, though, don't you think?"	“是啊，你说的没错。不过，难道你不觉得这样很酷吗？”
0x0100006B000090D8	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"Yes, it would have been *very* cool." The lieutenant nods. "Now let's get some rest."	“是啊，会*特别*酷。”警督点点头。“现在我们走吧，回去休息。”
0x0100006B000090E4	Dialogue Text	CANAL ORB / faln at night	You	"I admit... it is a thing I would *usually* do. But not this time."	“我承认……我*经常*会做这种事情。但这次不一样。”
0x0100006B000090E9	Dialogue Text	CANAL ORB / faln at night	You	"Okay, you got me. I had a hope..."	“好吧，你说服我了。我有个心愿……”
0x0100006B000090F2	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"...a foolish hope. But it's okay. I get it. It would have been *cool*." The lieutenant nods. "Now let's get some rest."	“……一个愚蠢的心愿。但是没关系。我明白的。其实它感觉真的挺*酷*的。”警督点点头。“现在我们走吧，回去休息。”
0x0100006B000090F8	Dialogue Text	CANAL ORB / faln at night	Kim Kitsuragi	"Good. It's already late, we need to get some rest. Tomorrow will be another tough day."	“很好。现在已经很晚了——我们早就应该回去休息的。明天又会是难熬的一天。”
0x0100006B00009100	Dialogue Text	CANAL ORB / faln at night	You	There's nothing here -- You lied to me!	这里什么也没有——你骗我！
0x0100006B00009107	Dialogue Text	CANAL ORB / faln at night	Inland Empire	Your ears hum from the silence inside your mind...	脑子里那片静寂在你的耳边嗡嗡作响……
