ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000040000DBD5	Dialogue Text	PLAZA ORB / bulletholes esprit	Esprit de Corps	The sight of bullet holes stirs something in you, making you forget the lieutenant's surname.	看着弹孔似乎激起了你内心深处的某种东西，让你忘记了警督的姓氏。
0x010000040000DBDB	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"Kim, look, bullet holes!"	“金，看，弹孔！”
0x010000040000DBE3	Dialogue Text	PLAZA ORB / bulletholes esprit	You	[Discard thought.]	[放弃思维。]
0x010000040000DBEA	Dialogue Text	PLAZA ORB / bulletholes esprit	You	Look closer first.	先靠近点看。
0x010000040000DBF1	Dialogue Text	PLAZA ORB / bulletholes esprit	Esprit de Corps	The fading marks are too degraded to draw any forensic conclusions. Just chips in the sandstone.	痕迹已经深深褪去，从法医学角度来讲，很难得出任何结论。不过是砂岩上的一些缺口罢了。
0x010000040000DC01	Dialogue Text	PLAZA ORB / bulletholes esprit	Esprit de Corps	If only Kim were here right now! You could ask him if he sees a case here. The sight of those bullet holes stirs something in you.	如果现在金在这里就好了！你可以问问他有没有在这里嗅到罪案的味道。这些弹孔激起了你内心深处的某种东西。
0x010000040000DC8F	Dialogue Text	PLAZA ORB / bulletholes esprit	Kim Kitsuragi	"Where?" He looks around.	“哪里？”他看了看四周。”
0x010000040000DC96	Dialogue Text	PLAZA ORB / bulletholes esprit	You	(Point to the chips in the wall.) "Someone has been shot! We're cops, we should solve it."	（指着墙壁上的缺口。）“有人中枪了！我们是警察，必须解决这个案件。”
0x010000040000DC9D	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"Nothing, forget about it." [Finish thought.]	“没什么，忘了吧。”[完成思维。]
0x010000040000DCAC	Dialogue Text	PLAZA ORB / bulletholes esprit	Kim Kitsuragi	"There?" He looks to the wall. "Those are *old*."	“那里的吗？”他看着墙壁。“那些*很旧*了。”
0x010000040000DCB3	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"What do you mean old?"	“你说旧是什么意思？”
0x010000040000DCB9	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"Oh, okay then." [Finish thought.]	“哦，那好吧。”[完成思维。]
0x010000040000DCC1	Dialogue Text	PLAZA ORB / bulletholes esprit	Kim Kitsuragi	He nods. "We should focus on present crimes -- from the present century."	他点点头。“我们应该专注于眼前的案子——本世纪的案子。”
0x010000040000DCC9	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"Oh, you mean like from the Revolution?"	“哦，你是说大革命时期的吗？”
0x010000040000DCD2	Dialogue Text	PLAZA ORB / bulletholes esprit	Kim Kitsuragi	"Yes, the one that happened half a century ago." He blinks. "Those bullets were fired during the Revolution and do not warrant an investigation by officers of civil law."	“是的，半个世纪之前发生的事。”他眨眨眼。“那些子弹是大革命时期射出的，所以并没有民法警官调查的必要。”
0x010000040000DCD9	Dialogue Text	PLAZA ORB / bulletholes esprit	Kim Kitsuragi	"These bullets were fired during the Revolution, over half a century ago. They do not warrant investigation."	“那些子弹是大革命时期射出的，已经过去半个多世纪了。所以没有调查的必要。”
0x010000040000DCEE	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"Okay. What can you tell me about this Revolution?"	“好吧。那跟我说说这个大革命的事吧？”
0x010000040000DCF4	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"Alright then." [Finish thought.]	“那好吧。”[完成思维。]
0x010000040000DD05	Dialogue Text	PLAZA ORB / bulletholes esprit	You	"Okay. What can you tell me about the Revolution?"	“好吧。那跟我说说这个大革命的事吧？”
