ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000500000232	Dialogue Text	CHURCH / MAINFRAME	Mainframe	A machine stands in the corner, watched over by the figures on the stained glass window. It's turned on and quivering with soft electricity.	一台机器立在角落，被彩色玻璃窗上的人物注视着。它是开着的，带着轻柔的电流颤抖着。
0x0100000500000238	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	"A radiocomputer," says the lieutenant, stepping closer. "And it's turned on." He seems cautious around the machine.	“一台无线电脑，”警督靠近了一些，说到。“而且打开了。”他好像对机器有些好奇。
0x010000050000023E	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	"Another radiocomputer," says the lieutenant, stepping closer. "And this time it's already turned on." He seems cautious around the machine.	“又是一台无线电脑，”警督靠近了一些，说到。“不过这次已经打开了。”他好像对机器有些好奇。
0x0100000500000254	Dialogue Text	CHURCH / MAINFRAME	Esprit de Corps	These machines sometimes harbour traps, he thinks -- alarm systems and the like. Let's be careful.	有时候，这些机器装了陷阱，他想到——警报系统之类的。我们要小心一些。
0x010000050000025C	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	"We should probably let it be. It's becoming clear that there's no trace of the suspect anywhere inside the church."	“也许我们还是别管它的好。显然教堂里任何地方都没有嫌疑人的痕迹。”
0x010000050000026F	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	"We should leave; I doubt this place bears any connection to the case."	“我们应该走了；我怀疑这个地方跟案子没什么关系。”
0x0100000500000276	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	"We should probably let it be. This little 'foray' bears little connection to the case, no?"	“也许我们还是别管它的好。这次的小‘突袭’基本上跟案子没多大关系，不是吗？”
0x0100000500000286	Dialogue Text	CHURCH / MAINFRAME	You	"Wait, let me just investigate it..." (Step behind the computer.)	“等等，让我调查一下……”（站到电脑背后。）
0x010000050000028C	Dialogue Text	CHURCH / MAINFRAME	You	"You're right, let's get out of here." [Leave.]	“你说得对，我们离开这里吧。”[离开。]
0x0100000500000294	Dialogue Text	CHURCH / MAINFRAME	You	"Yes, but what is this strange thing?" (Point at the machine.)	“是的，不过这个奇怪的东西是什么？”（指向机器。）
0x010000050000029A	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	"A radiocomputer," the lieutenant repeats a little impatiently, "we have one down at the station."	“一台无线电脑，”警督有点不耐烦地重复到，“我们警局就有一台。”
0x01000005000002A1	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	And before you have time to ask: "No, I don't know how to operate it or what it's used for. Let's go."	没给你时间问，他接着说到：“不，我不知道怎么操作，也不知道它有什么用。我们走吧。”
0x01000005000002A8	Dialogue Text	CHURCH / MAINFRAME	Interfacing	This is the Rehm Prefect radiocomputer, a model number RC7024, equipped with a Feld mainframe and a Rehm-compatible Interim printer.	这是一台雷姆行政官无线电脑，型号是RC7024，配有菲尔德主机和一台雷姆兼容的临时打印机。
0x01000005000002B4	Dialogue Text	CHURCH / MAINFRAME	Encyclopedia	The Rehm Prefect is the governmental version of the commonly used Rehm Civic model. Although mostly based on the same technology, the Rehm Prefect is equipped with better noise attenuation circuits.	雷姆行政官是常用型号雷姆思域的政府版。虽然大部分都是基于相同的技术，但是雷姆行政官配备了更好的噪声衰减电路。
0x01000005000002BC	Dialogue Text	CHURCH / MAINFRAME	Conceptualization	A quaint little box of radio waves.	一个装着无线电波的古怪小盒子。
0x01000005000002C8	Dialogue Text	CHURCH / MAINFRAME	Mainframe	You see virescent PLAY and PRINT buttons on the keyboard. A hatch connected to the central compartment is wide open.	你看见键盘上淡绿色的播放和打印按钮。连接中央隔间的舱门正大大地敞开着。
0x01000005000002D3	Dialogue Text	CHURCH / MAINFRAME	Kim Kitsuragi	The lieutenant says nothing. You see the machine's glowing frame reflected back from his diamond-shaped glasses. You're free to proceed.	警督什么也没说，你看见机器发光的框架反射在他菱形的眼镜。你可以继续了。
0x01000005000002DC	Dialogue Text	CHURCH / MAINFRAME	Interfacing	This is the Rehm Prefect, radiocomputer model number RC7024, equipped with a Feld mainframe and a Rehm-compatible Interim printer.	这是一台雷姆行政官无线电脑，型号是RC7024，配有菲尔德主机和一台雷姆兼容的临时打印机。
0x01000005000002E7	Dialogue Text	CHURCH / MAINFRAME	Encyclopedia	The Rehm Prefect is the governmental version of the commonly used Rehm Civic. Although mostly based on the same technology, the Rehm Prefect is equipped with better noise attenuation circuits.	雷姆行政官是常用型号雷姆思域的政府版。虽然大部分都是基于相同的技术，但是雷姆行政官配备了更好的噪声衰减电路。
0x01000005000002ED	Dialogue Text	CHURCH / MAINFRAME	Conceptualization	A quaint little box of radio waves.	一个装着无线电波的古怪小盒子。
0x01000005000002FD	Dialogue Text	CHURCH / MAINFRAME	Reaction Speed	Another radiocomputer! Could it bear connection to the one in the Doomed Commercial Area?	又是一台无线电脑！能到跟诅咒商业区的那台有所联系？
0x0100000500000304	Dialogue Text	CHURCH / MAINFRAME	Inland Empire	Better not touch it. Who knows what evils it may hide.	最好别碰。谁知道里面隐藏着怎样的邪恶。
0x0100000500000312	Dialogue Text	CHURCH / MAINFRAME	You	Step behind the machine.	站到机器背后。
0x0100000500000318	Dialogue Text	CHURCH / MAINFRAME	You	Back off. [Leave.]	退后。[离开。]
0x0100000500000326	Dialogue Text	CHURCH / MAINFRAME	Mainframe	As you step closer, you notice virescent PLAY and PRINT buttons on the keyboard. A hatch connected to the central compartment is wide open.	当你靠近时，你注意到键盘上淡绿色的播放和打印按钮。连接中央隔间的舱门正大大地敞开着。
0x0100000500000336	Dialogue Text	CHURCH / MAINFRAME	Mainframe	A bar of fabric right above the keyboard starts producing a soft hum. The sound of static seeps through the machine's planar magnetic driver.	键盘正上方的一块组件开始发出轻柔的哼唱。电流的声音渗入机器的平面磁性驱动。
0x0100000500000343	Dialogue Text	CHURCH / MAINFRAME	You	"What are you, a *machine*? Or are you *alive*?"	“你是什么，一台*机器*吗？或者，你其实是*活的*？”
0x010000050000034A	Dialogue Text	CHURCH / MAINFRAME	You	"What's 'the personal log'?"	“‘个人日志’是什么？”
0x010000050000035E	Dialogue Text	CHURCH / MAINFRAME	East-Insulindian Repeater Station	"Yes, I am alive. I am 74 years old and my name is Yvonne. Now please repeat, is this the personal log?"	“是的，我是活人。今年74岁，我的名字叫伊温妮。现在请重复，这里是个人日志吗？”
0x010000050000036A	Dialogue Text	CHURCH / MAINFRAME	East-Insulindian Repeater Station	"The filament you have inserted into the core."	“就是你插入核心的纤维内存。”
