ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100005700021FD4	Dialogue Text	DOOMED F2 ORB / conceptstream	Conceptualization	Looks like someone tried to *reconceptualize* their business here.	看来有人想在这里*重新构思*他们的商业计划。
0x0100005700021FDD	Dialogue Text	DOOMED F2 ORB / conceptstream	You	I don't get it.	我不明白。
0x0100005700021FE3	Dialogue Text	DOOMED F2 ORB / conceptstream	You	[Discard the thought.]	[放弃思维。]
0x0100005700021FEC	Dialogue Text	DOOMED F2 ORB / conceptstream	Conceptualization	Look: The skis and rotor blades both bear the same "Slipstream" logo. It seems likely that they started out making one, failed to turn a profit, and then pivoted to producing the other.	看：滑雪板和冰刀鞋上都印着相同的“气流”商标。感觉好像他们一开始做了一种产品，结果没盈利，然后又转回去生产另外一种。
0x0100005700021FF3	Dialogue Text	DOOMED F2 ORB / conceptstream	You	What a strange leap of imagination... And yet they still failed. How sad. [Finish thought.]	这个想法真是有够跳跃的…不过他们还是失败了。真可悲。[完成思维。]
0x0100005700021FFF	Dialogue Text	DOOMED F2 ORB / conceptstream	You	That's just speculation. We don't know anything for sure. [Finish thought.]	这不过是推测而已。现在什么都还不能确定。[完成思维。]
0x0100005700022006	Dialogue Text	DOOMED F2 ORB / conceptstream	Conceptualization	Not quite. You *do* know that there's something unusual about this company's business model...	那也未必。你*的确*明白了一点——这家公司的商业模式有点不太寻常…
0x010000570002200F	Dialogue Text	DOOMED F2 ORB / conceptstream	Conceptualization	Reality is ruthless.	现实是残酷的。
0x0100007000005CAE	Dialogue Text	DOOMED F2 ORB / conceptstream	You	But the question is -- which did they start with, and which did they pivot to?	但问题是——最初生产的到底是哪个产品，哪个又是后来的呢？
0x0100007000005CB4	Dialogue Text	DOOMED F2 ORB / conceptstream	Conceptualization	That's a good question.	这是个好问题。
