ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000300000201	Dialogue Text	INITIATION / ALCOHOL HABIT	Electrochemistry	A golden sun melts down your throat, its rays filling your nostrils with sunshine. Your stomach melts from it -- into a happy gooey mess! So does your mind, all the bad things are melting. You're you again. A *real* cop. A real detective. *Incredibly* well done.	你的喉咙中融化了一轮金色的太阳，甜美的阳光充溢着你的鼻腔。太阳的温融化了你的肠胃——把那里变成了一团快活的黏浆！你的意识也随之融化，一切不悦都在酒中消融。你再度找回了自我。成为了*真正的*警察。名副其实的警探。这口酒真是*绝了*。
0x010000060000FC8E	Dialogue Text	INITIATION / ALCOHOL HABIT	You	Look at the bottle.	观察瓶子。
0x010000060000FC94	Dialogue Text	INITIATION / ALCOHOL HABIT	You	[Discard thought.]	[放弃思维。]
0x010000060000FC9C	Dialogue Text	INITIATION / ALCOHOL HABIT	Electrochemistry	Oh, no, you don't -- not this one. That's not *you*. You...	哦，别这样，你不能——不能再这么拒绝下去了。这一点也*不像你*。你……
0x010000060000FCAB	Dialogue Text	INITIATION / ALCOHOL HABIT	Interfacing	Wow, the gods of mass production have made this alcohol container *laughably* easy to open. A child could have done it.	嚯，司掌大规模生产的诸神令这种酒瓶的开启方式简单得*可笑*。就连小孩都能做到。
0x010000060000FCBD	Dialogue Text	INITIATION / ALCOHOL HABIT	Volition	I don't know about this...	我不太确定……
0x010000060000FCCE	Dialogue Text	INITIATION / ALCOHOL HABIT	Electrochemistry	Fine. We're not worried... you'll crawl back to this bottle soon enough. We'll give you another chance. Booze *always* gives you *another* chance.	随便。我们并不担心……你很快就会爬回这个酒瓶边上的。到时候我们会再给你一次机会。酒*总是*会给你*另一次*机会。
0x010000060000FCD6	Dialogue Text	INITIATION / ALCOHOL HABIT	Suggestion	Yes, it's *merciful* that way. It's your friend. Come back to it, we're all rooting for you to.	很好，这样就够*仁慈*了。它是你的朋友。回到它身边吧，我们都支持你。
0x010000060000FCDF	Dialogue Text	INITIATION / ALCOHOL HABIT	Volition	Not *all* of us...	不是*所有人*都意见一致……
0x010000060000FCE7	Dialogue Text	INITIATION / ALCOHOL HABIT	You	What will be the repercussions if I take that sip?	如果我抿一小口，会造成怎样的不良影响？
0x010000060000FCF9	Dialogue Text	INITIATION / ALCOHOL HABIT	You	Take a sip.	抿一小口。
0x010000060000FD06	Dialogue Text	INITIATION / ALCOHOL HABIT	Inland Empire	You see a flash of teeth -- a young woman smiling at you, near some railway overpass in your ruined past. She is gorgeous. And she is *yours*.	有人在对你露齿而笑——那是一位笑容满面的年轻女性，站在某座铁路立交桥附近，背景是你沉沦的过去。她是如此的美丽动人。而且她还是*你的人*。
0x010000060000FD11	Dialogue Text	INITIATION / ALCOHOL HABIT	Electrochemistry	Nothing. Some *mental* stuff. Nothing to be worried about. Physically you'll be strong as an ox!	无所谓。不过是*精神上*的琐事罢了。完全不值得担心。你的肉体会变得强壮如牛！
0x010000060000FD1A	Dialogue Text	INITIATION / ALCOHOL HABIT	Tutorial Agent	In the bottom right corner of the screen there's an ALCOHOL button! ALCOHOL gives +1 to PHYSIQUE skills: Physical Instrument, Half Light, Electrochemistry, Endurance, Pain Threshold, and Shivers. This is good before rolling a White Check -- but damages your Morale. And remember...	在屏幕右下角，你可以看到有一个喝酒的按钮！喝酒可以给予你所有体格技能+1加成，包括：强身健体、疑神疑鬼、钢筋铁骨、食髓知味、坚忍不拔以及强身健体。在进行白色检定前吸烟会很好用。不过，喝酒是有伤士气的。
0x010000060000FD2A	Dialogue Text	INITIATION / ALCOHOL HABIT	Electrochemistry	From the void we came. And to the void we must return!	虚无乃吾等之源头。亦为吾等之归宿！
0x0100002100003370	Dialogue Text	INITIATION / ALCOHOL HABIT	Tutorial Agent	You've passed up your chance to start drinking ALCOHOL for now, but don't worry! The option to start drinking becomes available again in 2 hours.	你刚刚错过了开始喝酒的机会。不过别担心，开始喝酒的选项会在2小时候再次开启。
0x0100002100003388	Dialogue Text	INITIATION / ALCOHOL HABIT	You	No. No. I'm not doing it. [Ignore thought.]	不，不行，我不能这么做。[忽略思维。]
0x0100005A00013BAF	Dialogue Text	INITIATION / ALCOHOL HABIT	You	Open the bottle.	把瓶子打开。
0x0100005A00013BB4	Dialogue Text	INITIATION / ALCOHOL HABIT	You	No. No. I'm not doing it. [Ignore thought.]	不，不行，我不能这么做。[忽略思维。]
0x0100005A00013BB9	Dialogue Text	INITIATION / ALCOHOL HABIT	Electrochemistry	There's a satisfying pop as the cap comes off, and the hair on your back rises like an army at attention. You've been here before. Welcome back, detective. You're home now...	打开的瓶盖发出了令人心满意足的砰声，背上的寒毛如同士兵立正一般竖起。你体验过这样的感觉。欢迎回来，警探。你到家了……
0x0100005A00013BDE	Dialogue Text	INITIATION / ALCOHOL HABIT	You	Should I though? I may have a teeny-weeny heart attack problem.	我真应该这样做吗？说不定我有点轻微的心脏病呢。
0x0100005A00013BE5	Dialogue Text	INITIATION / ALCOHOL HABIT	Electrochemistry	Oh, yes. The chest pain and the dizziness. You've *suffered* long enough -- now it's time to drink, to live.	哦，当然啦。胸痛外加晕眩。你已经*饱受折磨*太久——现在该好好喝上一杯，享受生活了。
0x0100007D00000019	Dialogue Text	INITIATION / ALCOHOL HABIT	Horrific Necktie	Why is it always about *you*? *Your* heart problem? *Your* coronary artery? Think about *us*. We're in this together. You and your wacky tie of substance abuse! Do it for *us*! Pop it open.	为什么总是*你*怎么样？*你的*心脏问题？*你的*冠状动脉？想想*我们*吧。我们是一根绳上的蚂蚱。你和你那滥用药物的古怪领带！为*我们*而干杯吧！开瓶大吉。
