ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000600006DC7	Dialogue Text	JOYCE / REALITY TIMES	You	"They're *good* apes, actually."	“实际上，他们是*好*猩猩。”
0x0100000600006DCE	Alternate1	JOYCE / REALITY TIMES	Joyce Messier	"I don't know about that..." She turns east, to the bombed out buildings lining the waterfront, then shivers slightly.	“这我就不知道了……”她转向东边，面向海滨炸毁的建筑，稍稍打了个寒颤。
0x0100000600006DCE	Dialogue Text	JOYCE / REALITY TIMES	Joyce Messier	"I don't know about that..." She turns north, to the bombed out buildings lining the waterfront, then shivers slightly.	“这我就不知道了……”她转向北边，面向海滨炸毁的建筑，稍稍打了个寒颤。
0x0100000600006EAF	Dialogue Text	JOYCE / REALITY TIMES	You	"Did the communists and the anarchists shoot back?"	“康米主义者和无政府主义者反击了吗？”
0x0100000600006EB5	Dialogue Text	JOYCE / REALITY TIMES	You	"You could say they got *totally* shot in the head."	“你可以说他们的脑袋*全都*挨了枪子。”
0x0100000600006EBB	Dialogue Text	JOYCE / REALITY TIMES	Joyce Messier	"Indeed. They piled them in mass graves in Ozonne and, well -- that's the last anyone heard of those people."	“确实。他们把尸体堆在欧佐纳尔的大坟场，在那之后——就再也没有人听到他们的消息。”
0x0100000600006EC1	Dialogue Text	JOYCE / REALITY TIMES	Conceptualization	She likes the *totality* of it.	她喜欢这个*整体*。
0x0100000600006ECD	Dialogue Text	JOYCE / REALITY TIMES	Joyce Messier	"Did they ever. Before they got shot themselves, they shot two million people."	“他们怎么没有。在自己中枪之前，他们射杀了200万人。”
0x0100000600006EE1	Dialogue Text	JOYCE / REALITY TIMES	You	"Who got the mineral rights?"	“那矿产权落在谁手里了？”
0x0100000600006EE8	Alternate1	JOYCE / REALITY TIMES	Joyce Messier	"The liberals got the mineral rights." She looks up to the sky, then inland at the crumbling village. The wind blows. "And by mineral rights, I mean *everything*." \n	“自由派拿到了矿产权。”她抬头看向天空，然后望向摇摇欲坠的城市。风在呼啸。“说到矿产权，我的意思其实是指*一切*。”
