ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001854E	Dialogue Text	OFFICE / FILE CABINET	File Cabinet	There it still is -- inviting you to...	它还在那儿——邀请着你……
0x0100000600018557	Dialogue Text	OFFICE / FILE CABINET	You	Anything interesting? (Browse them.)	有什么有意思的吗？（浏览。）
0x0100000600018561	Dialogue Text	OFFICE / FILE CABINET	Inland Empire	Doesn't look too incriminating -- but still feels like a *find*.	好像没什么犯法的——不过感觉还是有*发现*的。
0x0100000600018569	Dialogue Text	OFFICE / FILE CABINET	Electrochemistry	What is so special about this *borscht*? Code for drugs? Booze? Blood?	这个*罗宋汤*有什么特别的？毒品的暗号？酒？血？
0x0100000600018571	Alternate1	OFFICE / FILE CABINET	You	Take another look at the note.	再看一眼便条。
0x0100000600018571	Dialogue Text	OFFICE / FILE CABINET	You	Read the note.	阅读便条。
0x0100000600018578	Dialogue Text	OFFICE / FILE CABINET	File Cabinet	All items on the list have been crossed out and the note itself is crumpled.	清单上所有项目都被划掉了，便条本身也皱皱巴巴的。
0x010000060001857E	Dialogue Text	OFFICE / FILE CABINET	File Cabinet	REMEMBER, LEO!\n\n* EVRART'S SHOES\n* SPECIAL WHIRLING BORSCHT\n* WATER EVRART'S PLANTS\n* SWEEP OFFICE FLOOR\n* MORE BANNERS	一定要记住，利奥！\n\n*艾弗拉特的鞋子\n*飞旋餐厅特制罗宋汤\n*给艾弗拉特的植物浇水\n*打扫办公室的地板\n*再多一点横幅
0x0100000800001170	Dialogue Text	OFFICE / FILE CABINET	You	"Never mind the note." (Close the drawer.)	“不管便条。”（关上抽屉。）
0x0100000800001177	Dialogue Text	OFFICE / FILE CABINET	File Cabinet	It appears to be a to-do list written in large, uneven capital letters:	看起来像是一张任务清单，上面都是歪歪斜斜的大写字母：
0x010000080000117D	Dialogue Text	OFFICE / FILE CABINET	File Cabinet	The drawer slides shut smoothly.	抽屉缓缓关上了。
0x0100000800001187	Dialogue Text	OFFICE / FILE CABINET	File Cabinet	REMEMBER, LEO!\n\n* EVRART'S SHOES\n* SPECIAL WHIRLING BORSCHT\n* WATER EVRART'S PLANTS\n* SWEEP OFFICE FLOOR\n* MORE BANNERS	一定要记住，利奥！\n\n*艾弗拉特的鞋子\n*飞旋餐厅特制罗宋汤\n*给艾弗拉特的植物浇水\n*打扫办公室的地板\n*再多一点横幅
0x01000008000011DF	Alternate1	OFFICE / FILE CABINET	Kim Kitsuragi	He inspects the note. "One of his aides must have left it. Nothing incriminating here."\n	他看了看便条。“肯定是他的助手留下的。这里没什么犯法的。”
0x01000008000011DF	Alternate2	OFFICE / FILE CABINET	Kim Kitsuragi	"Evrart Claire, probably -- the head of the Débardeurs' Union." He inspects the note. "Leo must have left it. Nothing incriminating here."\n	“可能是艾弗拉特・克莱尔--装卸工会的会长。”他看了看便条。“应该是利奥留在这里的。这里没什么犯法的。”
0x01000008000011DF	Alternate3	OFFICE / FILE CABINET	Kim Kitsuragi	He inspects the note. "Leo must have left it. Nothing incriminating here."\n	他看了看便条。“肯定是利奥留下的。这里没什么犯法的。”
0x01000008000011DF	Dialogue Text	OFFICE / FILE CABINET	Kim Kitsuragi	"Evrart Claire, probably -- the head of the Débardeurs' Union." He inspects the note. "One of his aides must have left it. Nothing incriminating here."	“可能是艾弗拉特·克莱尔--装卸工会的会长。”他看了看便条。“应该是他的助手留在这里的。没什么犯法的。”
0x01000008000011EB	Dialogue Text	OFFICE / FILE CABINET	File Cabinet	All items on the list have been crossed out and the note itself is crumpled.	清单上所有项目都被划掉了，便条本身也皱皱巴巴的。
0x01000008000011FE	Alternate1	OFFICE / FILE CABINET	Kim Kitsuragi	"Evrart has someone running errands for him." He points to the list. "Nothing incriminating here, though."\n	“艾弗拉特找人帮他跑腿。”他指了指清单。“不过，这里没什么犯法的。”
0x01000008000011FE	Alternate2	OFFICE / FILE CABINET	Kim Kitsuragi	"The Débardeurs' Union leader, Evrart Claire, has Leo running errands for him." He points to the list. "Nothing incriminating here, though."\n	“装卸工会的会长，艾弗拉特・克莱尔，让利奥帮他跑腿。”他指了指清单。“不过，这里没什么犯法的。”
0x01000008000011FE	Alternate3	OFFICE / FILE CABINET	Kim Kitsuragi	"Evrart has Leo running errands for him." He points to the list. "Nothing incriminating here, though."\n	“艾弗拉特让利奥帮他跑腿。”他指了指清单。“不过，这里没什么犯法的。”
