ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001779D	Dialogue Text	COAST ORB / abandoned summer house	Inland Empire	Rust peels off the bent iron posts of the swing. The wind whistles through the skeleton of the small house behind you. There's desolation... everywhere.	锈迹从秋千弯曲的铁杆上剥落。风从你身后小屋的骨架间呼啸而过。一种悲哀的情绪……蔓延各处。
0x01000006000177AA	Dialogue Text	COAST ORB / abandoned summer house	You	"What happened here?"	“这里发生了什么事？”
0x01000006000177B0	Dialogue Text	COAST ORB / abandoned summer house	You	What happened here?	这里发生了什么事？
0x01000006000177B7	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"In this yard?" The lieutenant looks at the small building. A flock of grey swallows takes off in the distance.	“这个院子吗？”警督看着那栋小建筑。一群灰雁从远处振翅高飞。
0x01000006000177BE	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"Someone thought they could have a summer house in a *bloc obscur*. For cheap. It didn't work out. They abandoned it about a decade ago."	“有人觉得他们可以在*黑暗驻地*拥有一栋度假小屋。很便宜的那种。不过没有成功。大概10年前吧，他们就抛弃这里了。”
0x01000006000177C4	Dialogue Text	COAST ORB / abandoned summer house	Visual Calculus	He's assessing the situation. How long ago was it abandoned.	他在评估眼下的状况，它废弃的时间到底有多久。
0x01000006000177D2	Dialogue Text	COAST ORB / abandoned summer house	You	"Wait, what's a *bloc obscur?*"	“等等，*黑暗驻地*是什么？”
0x01000006000177D8	Dialogue Text	COAST ORB / abandoned summer house	You	"So this part of the coast is a *bloc obscur*?"	“所以说这片海岸是*黑暗驻地*？”
0x01000006000177DF	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"A black bloc, a part of the city left unrenovated after the war. Or one that has fallen to gang violence. Or has become inhospitable in some other way."	“黑暗驻地，是城市在战后没能得到修缮的部分，陷入帮派暴力的地区，或者是因为其他一些原因变得不适宜居住的地方。”
0x01000006000177E6	Dialogue Text	COAST ORB / abandoned summer house	Encyclopedia	On aerial photos, bloc obscures look like dark squares. Hence their name.	从航拍照片上看，黑暗驻地看起来就像是黑色的方块，所以因此得名。
0x01000006000177EE	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"Practically. It's not an official term in any way, but..." he spreads his arms, "look around -- no sewage, broken power lines, crime, drunks... Life is tough in the blocs. It's no place to build a summer house."	“基本上是。虽然它并不是一个官方术语，不过……”他伸直胳膊，“看看周围——没有下水道，破损的电力线，犯罪，醉汉……在这些地区生活可不容易。这可不是造度假小屋的好地方。”
0x0100000600017803	Dialogue Text	COAST ORB / abandoned summer house	You	"At least they left some old music behind." (Tap on the tape you picked up)	“至少他们留下了一些古老的音乐。”（拍拍你捡到的磁带。）
0x0100000600017809	Dialogue Text	COAST ORB / abandoned summer house	You	"Maybe they left something useful behind?"	“也许他们留下了一些有用的东西？”
0x0100000600017811	Dialogue Text	COAST ORB / abandoned summer house	Inland Empire	In this yard? Someone thought they could have a summer house on the beach. For cheap. It didn't work out. Looks like they abandoned it.	这个院子吗？有人觉得他们可以海滩边拥有一栋度假小屋。很便宜的那种。不过没有成功。看来他们已经抛弃这里了。
0x0100000600017818	Dialogue Text	COAST ORB / abandoned summer house	You	[Discard thought.]	[放弃思维]
0x0100000600017822	Dialogue Text	COAST ORB / abandoned summer house	Empathy	Yet someone used to live here. Laugh here. Thought it was a good idea to build a *swing* even...	但是还有人曾经住在这里，在这里欢笑。我甚至觉得在这里造个*秋千*是个不错的主意……
0x010000060001782A	Alternate1	COAST ORB / abandoned summer house	Kim Kitsuragi	"Yes -- and you picked it up, because you're a post-apocalyptic scavenger who collects trash and magnesium blisters." He gives you a weary smile.	“是的——而且你把它捡了起来，因为你是个后启示录时代的拾荒者，专门收集垃圾和镁疱。”他露出一个疲倦的笑容。
0x010000060001782A	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"Yes -- and you picked it up as part of the Jamrock shuffle." He gives you a weary smile.	“是的——而且你把当做加姆洛克开箱步的一部分捡起来了。”他朝你露出一个疲倦的笑容。
0x0100000600017832	Dialogue Text	COAST ORB / abandoned summer house	Esprit de Corps	It's not meant as nagging, just an observation.	这不是想唠叨什么，只是观察。
0x0100000600017838	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"We should move. I don't think we will solve the murder with forays into the urban hinterland. At least in this phase of the investigation."	“我们该走了。深入城市腹地应该不能帮我们解决这起凶杀案。至少在调查的这个阶段不行。”
0x0100000600017846	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"We should move. I don't think our suspect is in this particular yard. No place to hide, and besides, it's too close to Martinaise."	“我们该走了。我不觉得我们的嫌疑人就藏在这个院子里。不仅没地方藏身，而且离马丁内斯太近了。”
0x010000060001784F	Alternate1	COAST ORB / abandoned summer house	Kim Kitsuragi	"Yes -- for you to scavenge, like a post-apocalyptic scavenger who collects trash and errant magnesium blisters." He gives you a weary smile.	“是的——专门留给你的，就像一个后启示录时代的拾荒者，专门收集垃圾和镁疱。”他露出一个疲倦的笑容。
0x010000060001784F	Dialogue Text	COAST ORB / abandoned summer house	Kim Kitsuragi	"Yes -- for you to pick up as part of the Jamrock shuffle." He gives you a weary smile.	“是的——而且你把当做加姆洛克开箱步的一部分捡起来了。”他朝你露出一个疲倦的笑容。
0x0100000600017859	Dialogue Text	COAST ORB / abandoned summer house	You	"You're right -- it's no place. Let's go." [Finish]	“你说的对——不是这个地方。我们走吧。”[结束]
0x0100000600017869	Dialogue Text	COAST ORB / abandoned summer house	Empathy	A long time ago, someone used to live here. Laugh here. Thought it was a good idea to build a *swing* even... an intense loneliness comes over you.	很久以前，有人曾经住在这里，在这里欢笑。我甚至觉得在这里搭一座*秋千*是个不错的主意……一种强烈的孤独感涌上你的心头。
0x0100000600017874	Dialogue Text	COAST ORB / abandoned summer house	Electrochemistry	This is a good place for a nice *sad* drink. Uncork a velvety bottle of red wine and think about life for a moment. Really *philosophise*.	这里是喝*闷酒*的好地方。撬开一瓶美味的红酒，想一想自己的生活。真的很*哲学*。
0x0100006B00005928	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	One of the flyers has gotten stuck to the branches of a small brush. The sound of it flapping in the wind is an echo of Van Eyck.	一张海报卡在小灌木丛的枝丫之间。它在风中翻飞的声音就是凡·艾克的回响。
0x0100006B0000592F	Dialogue Text	COAST ORB / arno van eyck after	You	Did that really happen just now?	刚才真的发生了吗？
0x0100006B00005935	Dialogue Text	COAST ORB / arno van eyck after	You	[Ignore thought.]	[忽略思维。]
0x0100006B0000593D	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	In the back of your head, you feel the rapid beat of anodic music... then it fades away.	在你脑后，你感觉到阳极音乐的快速节拍……然后逐渐消散。
0x0100006B00005945	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	Your outstretched hand basks in the warm spring sun.	你伸出双手去感受春日暖阳的温度。
0x0100006B0000594B	Dialogue Text	COAST ORB / arno van eyck after	You	Grab it quickly.	快点抓住它。
0x0100006B00005952	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	As your hand reaches for the small rectangle of glossy paper, it snaps free from the branch...	当你的手碰到那张长方形的光面纸时，它从枝丫中偷偷溜走了……
0x0100006B0000595A	Dialogue Text	COAST ORB / arno van eyck after	You	What the shit?	什么鬼？
0x0100006B00005961	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	Cold drops of rain fall onto your outstretched hand. A slight tremble passes through it...	金色的雨滴坠落在你伸出的手上。一阵轻微的颤动穿梭而过……
0x0100006B0000596D	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	Flakes of snow fall onto your outstretched hand. A slight tremble passes through it...	片片雪花飘落在你伸出的手上。一阵轻微的颤动穿梭而过……
0x0100006B00005981	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	Your outstretched hand casts a deep shadow on the ground...	你伸出的双手在地面上投下一道深深的阴影……
0x0100006B00005986	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	Cold drops of rain fall onto your outstretched hand. A slight tremble passes through it...	金色的雨滴坠落在你伸出的手上。一阵轻微的颤动穿梭而过……
0x0100006B0000598B	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	Large flakes of snow fall onto your outstretched hand. A slight tremble passes through it...	大片大片的雪花飘落在你伸出的手上。一阵轻微的颤动穿梭而过……
0x0100006B0000599A	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	...and is swept away, out of existence.	……然后被一扫而光，不复存在。
0x0100006B000059A3	Dialogue Text	COAST ORB / arno van eyck after	You	Am I hallucinating?	我产生幻觉了吗？
0x0100006B000059A9	Dialogue Text	COAST ORB / arno van eyck after	You	Okay, I'm done with this. [Finish thought.]	好吧，这个到此为止了。[完成思维。]
0x0100006B000059AF	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	No.	不。
0x0100006B000059B4	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	At the back of your head you feel the rapid beat of anodic music... then it fades away.	在你脑后，你感觉到阳极音乐的快速节拍……然后逐渐消散。
0x0100006B000059BB	Dialogue Text	COAST ORB / arno van eyck after	Endurance	Yes. It's likely triggered by a focal epileptic seizure in your temporal lobe.	没错。可能是你颞叶的局灶性癫痫发作引起的。
0x0100006B000059CB	Dialogue Text	COAST ORB / arno van eyck after	You	Is it dangerous?	很危险吗？
0x0100006B000059D2	Dialogue Text	COAST ORB / arno van eyck after	You	Oh my god, I'm going to die!	我的天啦，我要死了！
0x0100006B000059D9	Dialogue Text	COAST ORB / arno van eyck after	Endurance	I don't know... probably. I'm not a doctor.	我不知道……也许吧。我不是医生。
0x0100006B000059DF	Dialogue Text	COAST ORB / arno van eyck after	Endurance	Yeah, probably, one day. But not this very minute.	是啊，也许，有一天。但是这一分钟不会。
0x0100006B000059F9	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	And so all our lives become but a faded memory, an ephemeral vision of a Van Eyck concert flyer... blink or you'll miss it.	你所有的生活都变成了褪色的记忆，如凡·艾克音乐会的传单一般短命……眨眼之间，就会消失不见。
0x0100006B00005A01	Dialogue Text	COAST ORB / arno van eyck after	Kim Kitsuragi	The lieutenant is looking at the spot you were reaching for. "Did you notice something important?"	警督看向你伸手的方向。“你是注意到什么重要的东西了？”
0x0100006B00005A08	Dialogue Text	COAST ORB / arno van eyck after	You	"Kim, I think I'm seeing Van Eyck posters everywhere now."	“金，我想我现在到处都能看到凡·艾克的海报。”
0x0100006B00005A0D	Dialogue Text	COAST ORB / arno van eyck after	You	"No... I don't think so. It was just a reflection or something. Never mind."	“不……我不这么觉得。这是个倒影或者什么的。没关系的。”
0x0100006B00005A23	Dialogue Text	COAST ORB / arno van eyck after	Shivers	A GLIMPSE INTO THE PAST	回顾过去
0x0100006B00005A2B	Dialogue Text	COAST ORB / arno van eyck after	Shivers	IT HAPPENED ONCE; LONG AGO	它曾经发生过一次；很久以前
0x0100006B00005A37	Dialogue Text	COAST ORB / arno van eyck after	Kim Kitsuragi	"Okay. Well. I'm not going to ask who Van Eyck is. I'm just going to assume it's your business and move on, okay?" He raises his collar.	“好吧。我不会去问这个凡·艾克是谁。我会假定这是你的事，然后我们继续前进，好吗？”他竖起了衣领。
0x0100006B00005A3E	Dialogue Text	COAST ORB / arno van eyck after	Kim Kitsuragi	He nods. "Let's get going. We have a case to solve."	他点点头。“我们走吧，还有案子要破呢。”
0x0100006B00005A54	Dialogue Text	COAST ORB / arno van eyck after	You	"Never mind. Let's get going." [Finish thought.]	“没事了。我们走吧。”[完成思维。]
0x0100006B00005AB6	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	The shadows play tricks on your mind...	阴影在玩弄你的大脑……
0x0100006B00005ABE	Dialogue Text	COAST ORB / arno van eyck after	Inland Empire	Things in the night are not what they seem to be...	夜晚的东西感觉都变得不像它们自己了……
0x01000004000164C1	Dialogue Text	COAST ORB / bluedoororb	You	Can *I* try to get in though?	不过*我*能试着闯进去吗？
0x01000004000164C8	Dialogue Text	COAST ORB / bluedoororb	Physical Instrument	Not this time. The opposition is insurmountable. But I like the spirit -- have some *points*! It's lonely and cold without points.	这次不行。对方很难对付。不过我喜欢这种精神——应该得点*分数*。若是没有的话，那就太孤独、太清冷了。
0x0100000600014A10	Dialogue Text	COAST ORB / bluedoororb	You	"Kim, you think she's in there?" (Point at the boarded up building.)	“金，你觉得她在里面吗？”（指着被封锁的建筑。）
0x0100000600014A17	Dialogue Text	COAST ORB / bluedoororb	Kim Kitsuragi	"The suspect? God, I hope not -- I can't see a way in..." He inspects the bars. "Though many have tried."	“嫌疑人吗？老天，我希望没有——我没看见什么能进去的地方……”他检查了一下木板。“不过倒是有很多人试过。”
0x0100000600014A30	Dialogue Text	COAST ORB / bluedoororb	Inland Empire	And dangerous. Dangerous too.	而且很危险，非常危险。
0x0100008900001A43	Dialogue Text	COAST ORB / bluedoororb	Physical Instrument	There's no way the perp is in here, officer. Look how scarred the boards are -- all attempts to pry them off have failed.	那个罪犯不可能躲在这里，警官。看看这些伤痕累累的木板——所有想把它们撬开的企图都失败了。
0x0100008F00002529	Dialogue Text	COAST ORB / bluedoororb	You	Nothing more to do here then. [Finish thought.]	这里没什么可以做的了。[完成思维。]
0x0100000400015147	Dialogue Text	COAST ORB / bunkerthought	Visual Calculus	The light vanishes inside the concrete slit. The structure goes deep under the earth.	光线消失在混凝土的裂隙中。这个结构是深入地底深处的。
0x010000040001514E	Dialogue Text	COAST ORB / bunkerthought	You	[Finish thought.]	[完成思维。]
0x0100000400015154	Dialogue Text	COAST ORB / bunkerthought	You	What's in there?	里面是什么？
0x010000040001515D	Dialogue Text	COAST ORB / bunkerthought	Visual Calculus	Maybe it's just a storm drain for the sewer?	也许只是下水道的雨水沟？
0x0100000400015168	Dialogue Text	COAST ORB / bunkerthought	You	"Kim, any idea what's down there?"	“金，知道下面是什么吗？”
0x0100000400015179	Dialogue Text	COAST ORB / bunkerthought	Kim Kitsuragi	"No idea." He takes his glasses off to polish. "Could be connected to one of the buildings around here..."	“不知道。”他取下眼镜擦拭着。“也许跟这附近的某栋建筑是相连的吧……”
0x0100000400015180	Dialogue Text	COAST ORB / bunkerthought	You	"Think we might find Ruby down there?"	“你觉得我们能不能在下面找到露比？”
0x010000040001518F	Dialogue Text	COAST ORB / bunkerthought	Kim Kitsuragi	"We might find her down *somewhere* -- there's an old storm drain system beneath Martinaise that's mostly collapsed. Revachol's sewage system has been built and rebuilt four or five times now."	“我们也许是能在下面的*某个地方*找到她——马丁内斯下面有一个老旧的暴雨排水系统，不过基本上已经塌陷了。瑞瓦肖的下水道系统到现在已经来来回回翻修4、5次了。”
0x0100001600009AAB	Dialogue Text	COAST ORB / bunkerthought	You	Yell "Ho!" into the slit.	往裂缝地喊一声：“哟吼！”
0x0100001600009AB3	Dialogue Text	COAST ORB / bunkerthought	Visual Calculus	There's no echo -- and no answer.	没有回音——也无人应答。
0x0100001600009ABA	Dialogue Text	COAST ORB / bunkerthought	Conceptualization	The silence of god? Sorry...	神的沉默？抱歉……
0x0100001600009AC5	Dialogue Text	COAST ORB / bunkerthought	Kim Kitsuragi	He puts his glasses back on. "In conclusion -- she could be under any building."	他重新戴上眼镜。“总而言之——她可能藏在任意一栋建筑下面。”
0x0100001600009ACE	Dialogue Text	COAST ORB / bunkerthought	You	"But not in there?"	“但是这里没有吗？”
0x0100001600009AD8	Dialogue Text	COAST ORB / bunkerthought	Kim Kitsuragi	He looks into the slit and sighs. "I hope not."	他看了一眼裂缝，叹了口气。“我希望没有。”
0x0100000400015089	Dialogue Text	COAST ORB / feldwindows	You	[Finish thought.]	[完成思维。]
0x010000060001D60B	Dialogue Text	COAST ORB / feldwindows	Kim Kitsuragi	"I had a partner once. They called him Eyes, because he had to show me things. It's that bad."	“我以前有个搭档。大家叫他眼睛，因为他必须指东西给我看。就有那么糟糕。”
0x010000060001D612	Dialogue Text	COAST ORB / feldwindows	Visual Calculus	There's rust and corrosion on the bars, they're foaming with it. And a small layer of white salt from the sea.	铁条上有锈迹和腐蚀的痕迹，起泡。上面还有一层薄薄的白色海盐。
0x010000060001D61B	Dialogue Text	COAST ORB / feldwindows	You	"Can you still shoot, though?"	“即便这样，你还能开枪？”
0x010000060001D622	Dialogue Text	COAST ORB / feldwindows	You	Just nod. [Finish thought.]	只是点点头。[完成思维。]
0x010000060001D629	Dialogue Text	COAST ORB / feldwindows	Empathy	This partner of his, Eyes -- things didn't end well. It saddens him to say his name. Don't even ask. He wouldn't answer. Maybe some other small talk?	他的搭档，眼睛——结局并不是很好。说出他的名字都会让他感到伤心。别问了。他不会回答的。也许可以聊点别的？
0x010000060001D633	Dialogue Text	COAST ORB / feldwindows	Kim Kitsuragi	"Well enough, actually. It's odd how that works. I'm no sharpshooter, but I pass my shooting courses 7 out of 10."	“其实吧，还可以。那样居然能行，挺奇怪的。我不是神枪手，不过10分的射击课程，我7分通过了。”
