ArticyId	TermType	ConvTitle	Actor	En	Zh
0x01000007000199A5	Dialogue Text	CANAL / BARRY barks	Barry the Butcher	"This is outrageous."	“真是太离谱了。”
0x0100004D00003B8A	Dialogue Text	CANAL / BARRY barks	Barry the Butcher	"If I ever get my hands on the idiot who broke that sign..."	“要是被我抓到那个弄坏广告牌的白痴……”
0x0100004D00003B96	Dialogue Text	CANAL / BARRY barks	Barry the Butcher	“How am I supposed to get across now?"	“现在我该怎么过去啊？”
0x0100005400000332	Dialogue Text	CANAL / BARRY barks	Barry the Butcher	"Can't wait till Wednesday, I got meat to sell."	“等不到周三了，我还要卖肉呢。”
0x010000060001F718	Alternate1	CANAL / HAWTHORN	Hawthorn Tree	The tree looks by in silence. No doubt plotting its next move against humanity. 	山楂树默默地看着。毫无疑问，它正在策划下一步反人类行动。
0x010000060001F718	Dialogue Text	CANAL / HAWTHORN	Hawthorn Tree	The tree looks by, in silence. No doubt plotting its next move against humanity. The bronze-coloured tape twists around its branches.	树一言不发地看着。毫无疑问，它正在策划反人类的下一步行动。青铜色的磁带还缠绕在它的枝丫上。
0x010000060001F732	Dialogue Text	CANAL / HAWTHORN	Kim Kitsuragi	He looks at his wristwatch a little impatiently. "You know, since tape-spinning isn't really our day job. Solving murder investigations is."	他有些不耐烦地看着自己的腕表。“你知道的，卷磁带真的不是我们的日常工作。破获凶杀案才是。”
0x010000060001F739	Dialogue Text	CANAL / HAWTHORN	Interfacing	Good idea. He might have the tools -- the tape projector in the pawn shop uses similar tape...	好主意。他可能有工具——-当铺里的磁带放映机用的好像是相同的磁带……
0x010000060001F770	Dialogue Text	CANAL / HAWTHORN	You	"I'm too embarrassed to say."	“我不好意思说。”
0x010000060001F777	Dialogue Text	CANAL / HAWTHORN	Kim Kitsuragi	"This is part of your church-thing, isn't it? Of course it is. It's too broken to play, you understand, right? It's not like Egg Head and his friends know how to fix it."	“这是你教堂计划的一部分，对吗？当然是了。它损坏的太严重，没办法播放，你应该明白的，对吧？又不是说爱凡客和他的朋友懂得怎么修理。”
0x0100002100000036	Dialogue Text	CANAL / HAWTHORN	Logic	Maybe Roy from the pawnshop can help you with this?	也许当铺的罗伊能帮到你？
0x0100002100000057	Dialogue Text	CANAL / HAWTHORN	Kim Kitsuragi	The lieutenant looks at the mess in your hands. Only after you've successfully cleaned up the branches does the curiosity get him: "What's the tape for?" he asks.	警督看着你手上那团乱七八糟的东西。等你成功清理完树枝之后，他的好奇心才起来了：“这磁带是做什么的？”他问到。
0x010000210000005E	Dialogue Text	CANAL / HAWTHORN	You	"It's for Egg Head. I promised to make his van Eyck's jam hit a bit harder. Maybe this tape can help."	“这是给爱凡客的。我答应过他，让他最喜欢的凡·艾克的音乐变得更硬核一些。也许这盘磁带能帮上忙。”
0x010000210000006D	Dialogue Text	CANAL / HAWTHORN	Kim Kitsuragi	"How? It's broken and unspooled. Do you think your new buddy knows how to fix it?"	“怎么帮？它已经坏了，还乱作一团。你觉得你那位新哥们知道怎么修吗？”
0x0100002100000077	Dialogue Text	CANAL / HAWTHORN	You	"He has to -- he's the Master of Ceremonies after all."	“他必须会——毕竟他可是司仪。”
0x0100002100000086	Dialogue Text	CANAL / HAWTHORN	You	"I'd think at least one of the ravers would know how to fix a broken tape if they want to set up a nightclub."	“我觉得至少有一个人懂得怎么修理破磁带，如果他们想开家夜总会的话。”
0x010000210000008D	Dialogue Text	CANAL / HAWTHORN	You	"I'm not sure, but I'll find out. Maybe Egg Head can point me in the right direction."	“我不确定，但是我会搞清楚的。也许爱凡客能帮我指个正确的方向。”
0x0100002100000094	Dialogue Text	CANAL / HAWTHORN	Kim Kitsuragi	"You could also get it fixed at the pawnshop across the street -- we shouldn't waste our time." He looks at his wristwatch a little impatiently.	“也可以拿到街上的那家当铺去修——我们还是别浪费时间了。”他看着手表，稍微有些不耐烦。
0x01000021000000A0	Dialogue Text	CANAL / HAWTHORN	Kim Kitsuragi	"Alright." Looks like the lieutenant doesn't really know what that means. "You could also get it fixed at the pawnshop across the street -- we shouldn't waste our time."	“好吧。”看来警督真不知道是什么意思。“你也可以拿到街上的那家当铺去修——我们还是别浪费时间了。”
0x0100005A0000B09C	Dialogue Text	CANAL / HAWTHORN	Hawthorn Tree	The hawthorn tree on Rue de Saint-Ghislaine. Bronze-coloured ribbons of magnetic tape are caught in its branches, fluttering in the breeze.	圣吉莱纳路上有一颗山楂树。青铜色的磁带缠绕在它的树枝上，在微风中飘舞着。
0x0100005A0000B3F7	Dialogue Text	CANAL / HAWTHORN	You	Disentangle the tape.	解开磁带。
0x0100005A0000B3F7	tooltip1	CANAL / HAWTHORN	You	Tape Release Calculations.	磁带解救行动计算。
0x0100005A0000B3F7	tooltip2	CANAL / HAWTHORN	You	The multitool is truly multi.	多用工具还真是挺多用处的。
0x0100005A0000B3F7	tooltip3	CANAL / HAWTHORN	You	Cast the Magnetic Dice Set.	铸造磁性骰子套组。
0x0100005A0000B3F7	tooltip4	CANAL / HAWTHORN	You	Karaoke superstar.	卡拉OK巨星。
0x0100005A0000B406	Dialogue Text	CANAL / HAWTHORN	Interfacing	With slow and deliberate motions, pulling, bending and unravelling -- you manage to extricate the magnetic tape from the branches.	你的动作缓慢而慎重，轻拉，缠绕，舒展——你成功从树枝上解救了磁带。
