ArticyId	TermType	ConvTitle	Actor	En	Zh
_1mhhwg41z_4onp3	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"It's okay, Kim. Here, you take this one. *I'm* the Pissf****t now."	
_70c1wb1zyqg_m25	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Rhetoric	There's another way we can go with this: *Frame-control*. Flip the situation on its head. Make them play by *your rules*.	
_j5r4j92_7uncu9g	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Half Light	Now he is become the *Pissf****t*. There's no stopping you now.	
_v2h8db1x7j3xjy8	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"Damnit, detective. Give me the piss-jacket."	
0_ra43otq_w8pwq_	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	I feel silly. People are looking. I'm gonna take it off. (Discard thought.)	
0do45t41a0ej2_o0	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"No-no, Kim. We *just* committed to the bit. We gotta stick with it for a while."	
0r36jgcg2plkbp5u	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Rhetoric	'What was that, that's not how woooooords are used, say it again', giggles-giggles. Classic shit-test. That was your chance to just *own* it.	
1_aw2dtcu3m4p07k	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Suggestion	If you can't even wear it outside for everyone to see then yes, time to abandon rock and roll.	
14i4ca4gyoq9cu2k	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Rhetoric	Fine, go with whatever you want. You have multiple solid options.	
1gxz3bzo90nq18e2	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"Weird, it looked *so* much cooler in my head."	
1mhdecnl63xltyr9	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"Forget it, this was a stupid idea." (Abandon the effort.)	
1mszucv5wvonjpda	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"Mhm. This is one of those times where you're just going to keep talking no matter what I say, isn't it?"	
1oouicpxsbuf3h1u	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	It was a rough morning, let's not revisit it.	
2r5orlkkc0oe0fym	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"Oh, *I* see... Look, I can wear the 'Pissfa***t' jacket if that's the problem."	
57l8_15vqduhawam	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	Yawn and stretch like a leather-clad panther.	
5gqc_if6kklz853b	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"The 'cool-factor' might hit me later." The lieutenant fingers the brown studded lapels. "Right now it feels like a joke gone too far."	
6_densvq7j62u4bx	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"It's..." the lieutenant slowly shakes his head, "not a good look. Doesn't exactly signal shit-together-ness."	
6i27kgnj6n2qsotm	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"..."	
6nh2lc3rrx760lc4	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"Never has anyone asked me to place more trust in them than you're asking of me, right now. If you saw this branch out from under me while I've got 'Pissf****t' written on my back..."	
7tpo0leow4pd4sy3	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	Do a little twirl.	
83vawnk56rowwvdu	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"It's not a problem. Here, *I'll* put on the Pissf****t jacket right now..."	
8ng8b6zorpwr5j0w	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	He sighs. "I'm afraid the RCM is going to have our asses for this."	
978znoiexix7gysm	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Suggestion	You've got to work your way into this thing. The subtle way. Wind him up a little, don't immediately go for the kill.	
9drm9q539wtgw1zy	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"Let's be clear about one thing. The first chance I get, this thing's coming off. And that will be it -- no take-backs, no 'follow-up conversations', that's it. Do you understand?"	
ac2jsi89tv7_6dm9	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Reaction Speed	Officer in the bag! Officer in the bag!	
as6cb_2fb9__t4js	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"Tell me, Kim: What are the odds that after *all that* they fail to solve the case while wearing these two jackets?"	
avpyp_0mav4v7qkm	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"You mean any more than I already am?" He looks around. "We better solve this case *fast* officer. I'm not 100% comfortable with this."	
bda_rgp9f81v1llb	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"Alright, that was fun. But not really," he adds, slipping back into his familiar bomber. "Enough time wasted. Let's get back to work."	
bexg7cnl4d001fw9	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	With a look of utter disbelief the lieutenant slips into the jacket...	
cxllvkwy0ryzexnv	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Rhetoric	It was sub-par delivery, not a lack of technique that failed you there. You could've still saved it, had you not failed her shit-test.	
d58udvbfo2t46p0d	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"The odds are *quite* high," the lieutenant replies, rubbing his forehead. "It doesn't care if we're in leather jackets that say 'Fuck the World' and 'Pissf****t' on their backs..."	
dnu13ay8m7eqqo9h	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Drama	This is not how one gives speeches, milord -- why antagonise the lieutenant? Try again.	
eblef399ceiah_hp	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"That's not what I was saying, detective."	
ghtgy06vvn12nq7t	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	You	"Look at us, Kim! This is how we were meant to be."	
i2_z1whnnogs1r5_	Dialogue Text	Flow – PLAZA / SUGGESTION JACKET EPIC / Flow – EPIC SUGGESTION	Kim Kitsuragi	"Alright, Fuck," the lieutenant turns to you. "Time to solve a murder, as counter-intuitive as it might seem in these jackets. Let's go."	
