ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001DAC2	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Logic	They're too poor to have a phone line.	他们穷的连电话线都买不起。
0x010000060001DAD4	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Perception (Hearing)	"Maurice, what?!" a woman yells. Then: "Yes-yes, okay, if it was the police..." She starts explaining something.	“莫里斯，什么？！”一个女人在大喊。然后：*是的是的，好吧，如果是警察……*她开始解释着什么。
0x010000060001DAE6	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Logic	Good. You have a name now.	很好。现在你找到一个名字了。
0x010000060001DAEE	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Empathy	And then goes for a little drink later, on the lookout...	然后可以去小喝一杯，在瞭望台……
0x010000060001DAF6	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"Marie..." A moment passes.	“玛丽……”过了一会儿。
0x010000060001DAFF	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Shivers	On Meroe drive in Central Jamrock -- in a darkened hall lit by orange desk lamps -- far away from the noise outside -- a middle-aged man taps commands into an old radiocomputer. A printout falls on the desk. Behind him, a lonely reader scours some dusty bookshelves, looking for a paperback...	加姆洛克中心区的麦罗埃街——在一个被橙色灯光照亮的黑色大厅——远离外面的杂音——某个中年男子在正对着一台老旧的无线电脑输入指令。桌子上放着一份打印资料。在他身后，一个孤独的读者正在擦拭满是灰尘的书架，寻找一本平装书……
0x0100002100002224	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Reaction Speed	That's where the smoker on the balcony lives, isn't it?	那就是阳台上的吸烟者住的地方，不是吗？
0x010000210000222B	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Reaction Speed	By the pier, north of here. Those big apartment buildings there.	就在码头附近，这里的北面。那些大公寓楼。
0x0100007500001103	Dialogue Text	KINEEMA / CALLING THE LIBRARY	You	"I'm looking for any information that you can provide on Billie Méjean, a reader."	“关于你们的一个读者，比莉·梅让，我需要你们能够提供的所有信息。”
0x0100007500001109	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"Billie, Billie *Méjean*, you said? Give me a moment, I'll have to check our database." He puts down the receiver.	“比莉，你说，比莉·*梅让*？给我几分钟，我检查一下资料库。”他放下听筒。
0x0100007500001110	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"Yes, hello, are you still there?" You can hear him fiddle with the printout. "I found Billie Méjean's home address, is that alright? No phone number unfortunately."	“有了，喂喂，请问还在吗？”你听见他翻动资料的声音。“我找到了比莉·梅让的家庭住址，可以吗？可惜没有电话号码。”
0x0100007500001287	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"..."	“……”
0x010000750000128F	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"..."	“……”
0x0100007500001296	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"..."	“……”
0x010000750000129E	Dialogue Text	KINEEMA / CALLING THE LIBRARY	You	"Yes, home address is fine."	“可以，家庭住址就行。”
0x01000075000012A5	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"Here we go, sir: Rue de Saint-Ghislaine 33B, apartment no 20. It's in Martinaise, I believe... Capeside Apartments, it says. That's all."	“那我就说了，先生：圣·吉斯莱恩路33B，20号公寓。我相信它就在马丁内斯……上面写着岬岸公寓。就这些。”
0x01000075000012AD	Dialogue Text	KINEEMA / CALLING THE LIBRARY	You	"I'm not really that good with addresses."	“我真的不太擅长记地址。”
0x01000075000012B4	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"Maybe you can write it down? It's Rue de Saint-Ghislaine 33B, apartment no 20. It's in Martinaise, I believe... Capeside Apartments, it says. That's all."	“也许你可以写下来？圣·吉斯莱恩路33B，20号公寓。我相信它就在马丁内斯……上面写着岬岸公寓。就这些。”
0x01000075000012C2	Dialogue Text	KINEEMA / CALLING THE LIBRARY	You	"Do you have any other information on Billie Méjean?"	“还有比莉·梅让的其他信息吗？”
0x01000075000012C8	Dialogue Text	KINEEMA / CALLING THE LIBRARY	You	"Thank you. That's all from me, I have no other questions." (End call with the library.)	“谢谢。我可以了，没有其他问题。”（结束跟图书馆的通话。）
0x01000075000012CF	Dialogue Text	KINEEMA / CALLING THE LIBRARY	Jamrock Public Library	"It says here that they returned their last book just a few days ago, but I wasn't at work that day."	“这上面写着他们几天前刚还了最后一本书，但是那天我没上班。”
