ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000400015747	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Hand/Eye Coordination	...the wind brushes them off the roof. They're gone.	……风把花儿从屋顶上掀起。它们飘走了。
0x010000040001574D	Dialogue Text	WHIRLING ROOF ORB / handeye catch	You	Move your hand, fast!	快动手，快点！
0x010000040001574D	tooltip1	WHIRLING ROOF ORB / handeye catch	You	Dresscode: Man of charms.	着装要求：万人迷。
0x010000450000EC06	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Hand/Eye Coordination	Just as you look at the flowers, a gust of wind raises them from the roof, picking them up in the air...	你看着那些花儿，一阵风将它们从屋顶掀起，抬升到半空中……
0x010000450000EC13	Dialogue Text	WHIRLING ROOF ORB / handeye catch	You	[Discard chance.]	[放弃机会。]
0x010000450000EC1B	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Hand/Eye Coordination	You catch a single white flower between your fingers. The rest fly off into the wind. It's a may bell!	你用指尖捻起一朵白花，其余的都随风飘散。是铃兰！
0x010000450000EC41	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Klaasje (Miss Oranje Disco Dancer)	The young woman looks at the may bell in your hand -- just a glance -- then takes a drag of her cigarette.	年轻女子看着你手里的铃兰——只是略微一瞥——然后吸了一口手中的烟。
0x010000450000EC50	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Kim Kitsuragi	The lieutenant gives you an acknowledging little nod.	警督微微点了点头表示认可。
0x010000450000ECC0	Dialogue Text	WHIRLING ROOF ORB / handeye catch	You	Snap your finger pistols at him.	用手指朝他比划出手枪的样子。
0x010000450000ECC6	Dialogue Text	WHIRLING ROOF ORB / handeye catch	You	Snap your finger pistols at the young woman.	用手指朝年轻女子比划出手枪的样子。
0x010000450000ECCE	Dialogue Text	WHIRLING ROOF ORB / handeye catch	You	Don't snap finger pistols at all.	不要用手指比划出手枪的样子。
0x010000450000ECD5	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Hand/Eye Coordination	Probably for the best -- your 9mm semiautomatic finger pistols are not a toy to be waved around.	也许这样最好——你的9毫米半自动“手”枪可不是随意拿出来到处乱晃的玩具。
0x010000450000ECDC	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Hand/Eye Coordination	Your 9mm semiautomatic finger pistols make two satisfying snaps. (Strange for such a small calibre of finger pistol to sound so chunky.) The flower in your hand is impressed. So is she.	你的9毫米半自动“手”枪叩出两下令人满意的声响。（很奇怪，这么小口径的手枪居然能发出如此浑厚的声音。）连你另一只手里的花都被惊艳了。她也一样。
0x010000450000ECE2	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Hand/Eye Coordination	Your 9mm semiautomatic finger pistols produce a satisfying snap. (Strange for such a low calibre finger-gun to sound so chunky.) The flower in your hand is impressed. So is Kim.	你的9毫米半自动“手”枪叩出一下令人满意的声响。（很奇怪，这么小口径的手枪居然能发出如此浑厚的声音。）连你另一只手里的花都被惊艳了。金也一样。
0x010000450000ECED	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Klaasje (Miss Oranje Disco Dancer)	That's not actually true -- she's looking toward the yard and doesn't notice them. Which is probably for the best, because didn't someone mention she's a rape victim?	其实没这么回事--她看向院子，根本没有注意到。也许这样最好，因为不是有人提到过……她被强暴了？
0x010000450000ECF3	Dialogue Text	WHIRLING ROOF ORB / handeye catch	Kim Kitsuragi	That's not entirely true, the lieutenant is looking at the door to the east and mostly misses them.	也不完全是这样，警督正看着东边的那扇门，基本没有注意到。
