ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001702D	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"Yes miss, but..." The lieutenant disagrees. "For him that number is *56*."	“是的，小姐，但是……”警督不太赞同。“对于他来说，这个数字是56。”
0x0100003700000318	Dialogue Text	WHIRLING F3 ORB / age afterthought	Reaction Speed	You could ask either one of them.	你随便问谁都可以。
0x010000420000011B	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	I got this, I got this... My age -- I think I'm...	我可以的，我可以的……我的年纪——我觉得我……
0x0100004200000122	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	Yes?	什么？
0x0100004200000129	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	I'm old. A wizened sage who has seen it all across *three hundred years*.	我老了。我是一个干瘪的圣人，见证了*三百年来*的一切。
0x010000420000012F	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	I'm in my early thirties. A rough thirty. I *lived it up*.	我30岁出头。大概30几。我*逍遥度日*。
0x0100004200000134	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	Oh my god. I have no idea. Probably middle aged, but... but...	天啦。我不知道。可能到了中年，但是……不过……
0x010000420000013D	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	You're a rough rider, but not in your early thirties. Do you want to know *the truth*?	你是一个狂放的骑手，但并不是30出头。你想知道*真相*吗？
0x0100004200000143	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	Bring it on. I am not afraid of the truth.	来吧。我不害怕真相。
0x0100004200000149	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	I don't want to think about this anymore.	我不想再考虑这个问题了。
0x010000420000014F	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	To the Laboratorium!	去实验室！
0x0100004200000155	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	Okay. Seek not the truth. Cower in barbarism, you 58-year-old man-child.	好吧。不追求真相。蜷缩在原始状态，你这个58岁的老小孩。
0x0100004200000166	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	Yeah, but probably not though. Do you want to know *the truth*?	是啊，不过可能不是。你想知道*真相*吗？
0x010000420000016E	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	Do you want to know the truth?	你想知道真相吗？
0x0100004500013872	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	Wait, stop -- that man, bloated beyond all recognition, was 42?	等等，先停下来——那个男人，肿胀到难以辨认的男人，是42岁吗？
0x0100004500013878	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	It's what she said, yes.	她是这么说的，没错。
0x010000450001387E	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	[Discard thought.]	[放弃思维。]
0x0100004500013887	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	Below the damage, the weeks of decomposition, all the swollen indignity of mortality -- he was 42 years old?	那具伤痕累累，已经腐烂数周，死后还被百般羞辱的肿胀躯体——只有42岁？
0x010000450001388F	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	Where is this going?	这是想干什么？
0x0100004500013896	Dialogue Text	WHIRLING F3 ORB / age afterthought	Visual Calculus	How old are *you*? That's where this is going. Forty-five thousand litres of raw alcohol has left its disfigurements. What lies beneath, you wonder.	*你*几岁？这就是我要说的。45,000公升的酒精在你脸上刻下了痕迹。你觉得在那疤痕之下会有什么呢。
0x01000045000138A9	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"Kim, how old do you think I am?"	“金，你觉得我多大？”
0x01000045000138AF	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	(Turn around.) "Miss, how old do you think I am?"	（转回头。）“小姐，你觉得我多大？”
0x01000045000138E2	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"Huh?" The lieutenant isn't quite sure he heard you.	“啊？”警督不太确定自己听到了什么。
0x0100004500015656	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"How old do I look?"	“我看起来多大？”
0x010000450001565C	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"Nothing." [Finish thought.]	“没什么。”[完成思维。]
0x0100004500015670	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"How old? Fifty-eight."	“多大？58。”
0x0100004500015677	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"Maybe you're wrong. You were wrong about the deceased too, he was *way* younger."	“也许你错了。这个死者你也搞错了，他看起来要年轻*很多*。”
0x010000450001567D	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"What if you're wrong? We were both wrong about the deceased -- he turned out to be 40!"	“要是你搞错了呢？我们可能都认错这个死者了——他原来是40岁！”
0x0100004500015683	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"You're probably right. That's about what I look."	“也许你是对的。这就是我的样子。”
0x010000450001568B	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"Oh my god, that's really old -- really?"	“我的天，真的好老——你认真的吗？”
0x0100004500015692	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"You asked." He shrugs.	“是你问我的。”他耸耸肩。
0x010000450001569C	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"He was *deceased*. He had been decomposing for a week."	“他已经*死了*。而且还腐烂了一星期。”
0x01000045000156A3	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"I feel like I've been decomposing for longer than that."	“我觉得自己腐烂的时间比他更长。”
0x01000045000156AA	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"Forty-two. And he was *deceased*. He had been decomposing for a week."	“42岁，而且他已经*死了*，还腐烂了一星期。”
0x01000045000156B1	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"Actually, make that 54." He squints. "Alcoholism has severely impacted your appearance."	“也是，那就54吧。”他斜了你一眼。“酗酒严重影响了你的外貌。”
0x01000045000156B8	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"And I *was* wrong about the age of the deceased. "	“而且我还搞错了死者的年纪。”
0x01000045000156C6	Alternate1	WHIRLING F3 ORB / age afterthought	You	"The ravages of Al Gul are nearly as extreme as that of death itself, Lieutenant Kitsuragi."	“阿尔古造成的极端破坏近乎跟死亡本身一样，曷城警督。”
0x01000045000156C6	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"Alcoholism has a similar effect on living tissue, I hear."	“我听说，酗酒对活体组织有类似的影响。”
0x01000045000156D0	Dialogue Text	WHIRLING F3 ORB / age afterthought	You	"You're right. I'm probably 62. Let's leave it at that."	“你说得对。也许我62岁了。这个话题就到此为止吧。”
0x01000045000156D7	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"I didn't say 62, I said 58." He squints, looking at you for a second.	“我没说62，我说58。”他斜了你一眼，看了几秒。
0x01000045000156DE	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	There's silence.	一片沉默。
0x01000045000156E5	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	Then a little more.	还是沉默。
0x01000045000156EB	Dialogue Text	WHIRLING F3 ORB / age afterthought	Empathy	Here it comes -- mercy.	又要来了——怜悯。
0x01000045000156F2	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"Sure -- you're 42." He squints. "Let's go?"	“当然——你42岁。”他斜了你一眼。“我们走吧？”
0x01000045000156FA	Dialogue Text	WHIRLING F3 ORB / age afterthought	Kim Kitsuragi	"On the bright side, you've been getting *a lot* of exercise lately."	“往好的方面想，你最近得到了*不少*锻炼。”
0x0100004500015708	Dialogue Text	WHIRLING F3 ORB / age afterthought	Klaasje (Miss Oranje Disco Dancer)	"Huh?" She leans in closer. "How old do I think you are?"	“啊？”她俯身靠近。“我觉得你多大？”
0x010000450001570F	Dialogue Text	WHIRLING F3 ORB / age afterthought	Rhetoric	She's buying time to formulate the best answer.	她在为起草最佳答案争取时间。
0x010000450001571C	Dialogue Text	WHIRLING F3 ORB / age afterthought	Volition	Look who's finally awake!	看看，谁总算是清醒了！
0x010000450001572B	Dialogue Text	WHIRLING F3 ORB / age afterthought	Klaasje (Miss Oranje Disco Dancer)	"I don't know... Twenty-one? Seventeen? Sixteen? When does the male libido peak?"	“我不知道……21岁？17？16？男人的性欲巅峰是多少岁？”
0x0100004500015731	Dialogue Text	WHIRLING F3 ORB / age afterthought	Klaasje (Miss Oranje Disco Dancer)	"I don't know... one million years old? Twenty-one? Seventeen? How old are superstar police officers usually?"	“我不知道……100万岁？21？17？一般明星警探都多大？”
