ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000600017C37	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Rhetoric	And so *fun*.	而且还很*有趣*。
0x010000060001B5DF	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Inland Empire	Perhaps you should break into apartments more often?	也许以后你应该经常闯进别人的公寓？
0x0100000700000A51	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Logic	You could ask Evrart who this person is? Once you're done here...	你可以找艾弗拉特问问这个人是谁？等处理完这边的事之后……
0x010000290000022B	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Logic	An interesting little clue. Let's see where this goes. Clues have a way of magically connecting to other clues -- down the road.	一条有趣的小线索。看看会把我们引向何方。线索总是以一种神奇的方式与其他线索相连——未来出现的线索。
0x0100005800005A29	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Colonial Mug Collection	A row of mugs sits on the shelf. Each one depicts a human figure: a dark-skinned woman grinning amidst mysterious symbols, a broad-shouldered man shovelling potatoes, and others.	一排马克杯安静地坐在架子上。每只上面都描画了一幅人像：一个黑皮肤的女人微笑着，周围环绕着神秘的符号；一个宽肩的男人在铲土豆，如此之类的。
0x0100005800005A3F	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	Tap on the mugs.	轻轻敲打马克杯。
0x0100005800005A45	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	Whip out your Yellow Man mug and compare.	掏出你手中的黄种人马克杯对比一下。
0x0100005800005A51	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	Recall the Yellow Man mug you found in the Whirling trash container.	想起你在飞旋旅社的垃圾箱里找到的黄种人马克杯。
0x0100005800005A5F	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	Move on from the mugs. [Leave.]	不管马克杯了。[离开。]
0x0100005800005A6C	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Colonial Mug Collection	A little ring. Though cheerful, the images on the ceramic make you vaguely uncomfortable.	一阵清脆的声音。虽然满面笑容，但是陶瓷上的图像让你隐约感觉不太舒服。
0x0100005800005A73	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Conceptualization	There's something disdainful in the way the curves and lines of the bodies were drawn.	在描绘身体轮廓和线条的时候，充满了一股轻蔑的味道。
0x0100005800005A7A	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Empathy	The images betray a lack of interest in human beings. They are merely unflattering caricatures.	上面的图案暴露出作者缺乏对人类的兴趣。不过是些不好看的滑稽漫画而已。
0x0100005800005A8C	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Colonial Mug Collection	Yes, your broken mug friend would feel very much at home here. The same humour, the same mocking lines...	是的，你那位破马克杯朋友在这里找到了家的感觉。相同的幽默感，相同的嘲弄线条……
0x0100005800005A94	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Colonial Mug Collection	Yes, your broken mug friend would have felt very much at home here.	是的，你那位破马克杯朋友在这里找到了家的感觉。
0x0100005800005AD4	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	What do I mean *uncomfortable*?	我觉得*不舒服*是什么意思？
0x0100005800005AE1	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Empathy	The owner of these mugs doesn't like people of other ethnicities very much.	这些马克杯的所有者不是很喜欢其他种族的人。
0x0100005800005AEE	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	Conceptualization	It looks like the artist is celebrating diversity, but underneath he's just making fun of these people.	这位艺术家好像是在庆祝多元化，但他心底只是在嘲弄这些人。
0x0100005800005AF6	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	Typical asshole.	标准的混蛋。
0x0100005800005AFC	Alternate1	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	C'mon, it's just a bit of *fun* -- with a pinch of truth. People have the right to make fun of each other in a *free world*.	拜托，只是*开个玩笑*而已——说点无伤大雅的实话。在这个*自由的世界*，人们有权取笑其他人。
0x0100005800005AFC	Dialogue Text	GARYS APARTMENT / COLONIAL MUG COLLECTION	You	So what? They can think what they want. This is a free world.	那又怎样？他们爱怎么想就怎么想。这是个自由的世界。
