ArticyId	TermType	ConvTitle	Actor	En	Zh
0x01000007000199C4	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	"Don't 'ya dare to call' er..."	“你敢打给她……”
0x01000007000199CA	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	*whimpers*	*呜咽*
0x01000007000199D0	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	"Abby? Don't call Abigail!"	“艾比？不要打给阿比盖尔！”
0x01000007000199D7	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	"Just please don't call 'er."	“请不要打给她。”
0x01000007000199DD	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	"Abigail!"	“阿比盖尔！”
0x01000007000199E7	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	"Don't call Abigail."	“不要打给阿比盖尔。”
0x0100000700019A5E	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	"Shit, Abigail... please don't call 'er."	“该死，阿比盖尔……请不要打给她。”
0x0100000700019A65	Dialogue Text	VILLAGE / ABBY barks	Don't Call Abigail	"Ar'ya... callin' Abigail?"	“啊……打给阿比盖尔？”
0x010000060001D5B2	Dialogue Text	VILLAGE / ABIGAIL	Rhetoric	You're not going to get anything from this guy. He's too drunk.	你从这家伙口里问不出什么的。他醉得太厉害。
0x010000060001D5B9	Dialogue Text	VILLAGE / ABIGAIL	Electrochemistry	Never thought you'd see such a thing in your life, but this guy's a little *too* drunk.	从没想过你这辈子还会见到这种事情，但是这家伙醉得有些*太*厉害。
0x010000060001D5C9	Dialogue Text	VILLAGE / ABIGAIL	Suggestion	Abigail is his wife or girlfriend. Chances are, she's gone. Calling her wouldn't make it any better or worse.	阿比盖尔是他的妻子，或者是女朋友。有可能她离开了。打给她也是于事无补。
0x0100002F0000FC1D	Dialogue Text	VILLAGE / ABIGAIL	Don't Call Abigail	He draws out a disgusting snort, then mumbles, waving a finger in your general direction: "Ugh... Abigail... don't ya... fuckin'... call Abigail."	他发出一阵令人厌恶的哼声，然后举起一只手指朝你的方向挥了挥，嘟囔到：“呃……阿比盖尔……不要……他妈的……打给阿比盖尔。”
0x0100002F0000FC23	Dialogue Text	VILLAGE / ABIGAIL	Don't Call Abigail	The dozing man mumbles something inaudible.	假寐的男人无声地嘟囔着什么。
0x0100002F0000FC28	Dialogue Text	VILLAGE / ABIGAIL	Don't Call Abigail	"Don't call Abigail," grumbles an unshaven man with a ruddy nose. He narrows his eyes at you as if in recognition, then turns his head away.	“别打给阿比盖尔，”一个胡子凌乱的红鼻子男人嘟囔着。他眯起眼睛看着你，似乎在辨认你是谁，然后又把头转到了一边。
0x0100005A0000D7C9	Dialogue Text	VILLAGE / ABIGAIL	You	"Tell me about your friends." (Point to the others.)	“跟我说说你的朋友吧。”（指向其他人。）
0x0100005A0000D7DA	Dialogue Text	VILLAGE / ABIGAIL	You	"Who are you? What's your name?"	“你是谁？你叫什么名字？”
0x0100005A0000D7DF	Dialogue Text	VILLAGE / ABIGAIL	You	"Why shouldn't I call Abigail?"	“为什么我不能打给阿比盖尔？”
0x0100005A0000D7E4	Dialogue Text	VILLAGE / ABIGAIL	You	"Where am I? What is this place?"	“我在哪？这是什么地方？”
0x0100005A0000D7EA	Dialogue Text	VILLAGE / ABIGAIL	Perception (Smell)	The noxious odour emanating from the drunken man is strong and familiar.	从醉汉身上传出的有毒气味强烈又熟悉。
0x0100005A0000D7F1	Dialogue Text	VILLAGE / ABIGAIL	You	Walk away. [Leave.]	走开。[离开。]
0x0100005A0000D7F8	Dialogue Text	VILLAGE / ABIGAIL	Don't Call Abigail	"Don't... call Abigail..." he whimpers softly, his voice trailing off into nothingness.	“别……打开阿比盖尔……”他轻声抱怨着，声音逐渐消失在一片虚无之中。
0x0100005A0000D809	Dialogue Text	VILLAGE / ABIGAIL	You	"I'll call whoever I want, don't tell me what to do."	“我想打给谁就打给谁，不用你告诉我怎么做。”
0x0100005A0000D810	Alternate1	VILLAGE / ABIGAIL	You	"I am the law."	“我就是法律。”
0x0100005A0000D810	Dialogue Text	VILLAGE / ABIGAIL	You	"I am the law."	“我就是法律。”
0x0100005A0000D815	Dialogue Text	VILLAGE / ABIGAIL	You	"Who is Abigail?"	“阿比盖尔是谁？”
0x0100005A0000D81E	Dialogue Text	VILLAGE / ABIGAIL	You	"This is making me uncomfortable." [Leave.]	“我感觉有点不太舒服。”[离开。]
0x0100005A0000D83C	Dialogue Text	VILLAGE / ABIGAIL	Kim Kitsuragi	"Right, you might have found the one person who doesn't know you are the law, given how drunk he is."	“没错，你可能找到了不知道你是执法人员的人，考虑到他有多醉的话。”
0x0100005A0000D856	Dialogue Text	VILLAGE / ABIGAIL	Don't Call Abigail	"Abigail... oh, Abigail..." He mutters while trying to brush something off his extremely dirty trousers. His movements are slow and awkward.	“阿比盖尔……哦，阿比盖尔……”他一边嘟囔，一边试图把什么东西从那条脏的要命的裤子上拍掉。他的动作缓慢而笨拙。
0x0100005A0000D85C	Dialogue Text	VILLAGE / ABIGAIL	Kim Kitsuragi	The lieutenant sighs. "You really don't have to... Besides, he will understand you anyway."	警督叹了口气。“你真不用……再说了，他会理解你的。”
0x0100005A0000D889	Dialogue Text	VILLAGE / ABIGAIL	You	"Have you seen any women around here lately?"	“你最近有没有在附近见过一个女人？”
0x0100005A0000D88F	Dialogue Text	VILLAGE / ABIGAIL	Don't Call Abigail	"Abigail!" He grunts. "Don't... don't call her." He waves a finger in your general direction.	“阿比盖尔！”他咕哝到。“不要……打给她。”他伸出一只手指，朝你的方向挥舞着。
0x0100005A0000D898	Dialogue Text	VILLAGE / ABIGAIL	You	"Hey, I'm on an important official investigation, I demand you answer my questions."	“喂，我正在进行一项重要的官方调查，我要求你回答我的问题。”
0x0100005A0000D8A4	Dialogue Text	VILLAGE / ABIGAIL	Kim Kitsuragi	"There's no use in yelling at drunks," the lieutenant interjects. "He's barely holding it together."	“朝醉鬼大声嚷嚷是没用的，”警督插了一嘴。“他勉强才能撑下来的。”
0x0100005A0000D8A9	Dialogue Text	VILLAGE / ABIGAIL	Don't Call Abigail	The drunk man starts coughing, a really disgusting hacking cough.	醉汉开始咳嗽，非常恶心的干咳。
