ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000400015B29	Dialogue Text	APT / CLEANING LADY	You	"What can you tell me about Cindy?"	“关于辛迪，你有什么能告诉我的吗？”
0x0100000400015B30	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"The *artist*?" She scoffs. "Nothing I can do about her, I'm afraid. She ruins the walls faster than I can clean them. Still..." She leans on her broom.	“那个*艺术家*？”她奚落道。“恐怕我对她是无能为力了。她破坏墙壁的速度比我清洁的还要快。不过……”她靠在自己的扫帚上。
0x0100000400015B3B	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"She leaves an old lady to her business. More than I can say for others..."	“她不怎么打扰我做事。其他人我就不好说了……”
0x0100000500003A0A	Dialogue Text	APT / CLEANING LADY	Kim Kitsuragi	"Thank you." He turns to you. "We should go check out his apartment on the balcony, see if he's home."	“谢谢。”他转向你。“我们应该去阳台上找找他的房间，看他在不在家。”
0x010000060001B976	Dialogue Text	APT / CLEANING LADY	Endurance	This woman's health is failing her. There's not much to do, not in this damp.	女人的健康每况愈下。没什么可以做的，至少在这个潮湿的地方不行。
0x010000060001B980	Dialogue Text	APT / CLEANING LADY	Logic	She's the cleaning lady. She knows the floor plan and the residents.	她是清洁女工。她知道这里的平面图，也知道这里的住客。
0x010000060001B989	Dialogue Text	APT / CLEANING LADY	Shivers	And all she gets, too. The coastal wind beats down hard on the coal room door, outside. Splashes of waves make the balcony slippery...	而且，她得到的也只有这些。海岸吹来的风在外面用力拍打着煤房的大门。飞溅的浪花让阳台变得湿滑……
0x010000060001B991	Dialogue Text	APT / CLEANING LADY	Rhetoric	She hasn't spoken to anyone for a while. Even her sentences feel rusty.	她有一阵没跟人说过话了，就连她的词句都感觉有些生锈。
0x010000060001B99C	Dialogue Text	APT / CLEANING LADY	Rhetoric	Oops... you really didn't get the joke there.	哎呀……看来你真的没听懂那个笑话。
0x010000060001B9A9	Dialogue Text	APT / CLEANING LADY	Kim Kitsuragi	"I thought it was obvious..." He stops before he offends you. "Anyway, officer. We *don't* have the witness' name."	“我觉得已经很明显了……”在冒犯到你之前，他停了下来。“总之，警官。我们还*不知道*目击证人的姓名。”
0x010000060001B9C1	Dialogue Text	APT / CLEANING LADY	Rhetoric	What was so funny about that?	这有什么好笑的？
0x010000060001B9CF	Dialogue Text	APT / CLEANING LADY	Logic	They probably just moved -- or died, hopefully somewhere else.	他们可能只是搬走了——或者死了，希望是在别处。
0x010000060001B9D6	Dialogue Text	APT / CLEANING LADY	Empathy	With how small these rooms are -- wouldn't you want to break the wall down?	这些房间这么小——难道你不想把墙拆掉吗？
0x010000060001B9DE	Dialogue Text	APT / CLEANING LADY	Half Light	She really doesn't like those *nut jobs*. Bad blood there.	她真的不喜欢那些*不正常的家伙*。感觉有些嫌隙。
0x010000060001B9E6	Dialogue Text	APT / CLEANING LADY	Esprit de Corps	C'mon people, try to keep up *any* standards here. It's not about stars, it's... forget it.	拜托，试着保持这里的*任何*标准好吗。并不是关于那些星星的，而是……还是忘了吧。
0x010000060001BA9B	Dialogue Text	APT / CLEANING LADY	You	"Yes. Radiocomputer wizards are coming. They're gonna save the place -- and the economy."	“是的。无线电脑巫师要来了。他们会拯救这个地方——还有经济。”
0x010000060001BAA1	Dialogue Text	APT / CLEANING LADY	You	"No one is coming. There will be nothing but squalor unless we start killing real estate agents."	“没人会来。除非我们杀害那些房地产中介，不然除了道德败坏之外什么也没有。”
0x010000060001BAA7	Dialogue Text	APT / CLEANING LADY	You	"Lax women and sexual deviants. That's who'll come." (Spit.)	“不道德的女人，还有性变态。只有他们会搬进来。”（吐口水。）
0x010000060001BAAD	Dialogue Text	APT / CLEANING LADY	You	"I'm sure everything will be fine. This apartment building needs *slow* change. Imperceptibly slow."	“我确定一切都会变好的。这间公寓需要*慢慢*改变。慢的察觉不到。”
0x010000060001BAB3	Dialogue Text	APT / CLEANING LADY	You	"Yes. Some highly technological wizards are going to save this place. It'll be an visionary innovation utopia."	“是的。有些高级技术巫师会拯救这个地方。这里会变成一个梦想中的创新理想国。”
0x010000060001BAC3	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Oh, I do like wizards," she agrees wholeheartedly. "And people like that in general. They have a lot to tell us about our fates..."	“哦，我挺喜欢巫师的，”她全心全意地表示赞同。“一般人都挺喜欢的。他们有很多关于命运的话题要讲给我们听……”
0x010000060001BAD0	Dialogue Text	APT / CLEANING LADY	Rhetoric	She means clairvoyants.	她的意思是有预知能力的人。
0x010000060001BAD9	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"*We* won't be killing anyone. And *you* shouldn't say things like that. You're a police officer... there's been enough killing. I've *seen* it..." She coughs.	“*我们*不会杀害任何人的。而且*你*也不应该说这种话。你是一名警官……杀戮已经够多的了。我亲眼*见过*……”她咳嗽起来。
0x010000060001BAE0	Dialogue Text	APT / CLEANING LADY	Empathy	She's seen it -- and known those who have been killed.	她见过——也知道那些被杀的人。
0x010000060001BAE8	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"I know those types, yes. There have been some here, but they never make their rent. So they have to move out. I know their type..." She coughs.	“我知道那类人。这里曾经也有过一些，但是他们从来不付租金。所以又要搬出去。我知道这类人……”她咳嗽起来。
0x010000060001BAEF	Dialogue Text	APT / CLEANING LADY	Authority	She appreciates your effort to curb the deviantry and laxness.	她欣赏你为控制变态和不道德而做出的努力。
0x010000060001BAF7	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Yes, well..." She doesn't know what to say so she just coughs and repeats: "I hope they're good people."	“是的，不过……”她不知道该说些什么，只是咳嗽着重复到：“我希望他们是好人。”
0x010000060001BAFE	Dialogue Text	APT / CLEANING LADY	Rhetoric	Your statements are too vague to comment on.	你的言辞太含糊，没办法评论。
0x0100001100001875	Dialogue Text	APT / CLEANING LADY	You	"It's for loons who have no idea how economy works."	“这是为那些不明白经济运作规律的笨蛋准备的。”
0x010000110000187C	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Economy? Why should anyone care about economy?!" She shrugs and returns to sweeping.	“经济？为什么每个人都在关心经济？！”她耸耸肩，又回到自己的清扫工作上。
0x0100001100001882	Dialogue Text	APT / CLEANING LADY	You	"It's a symbol for contributing to the demise of our noble state in the name of some made-up world of 'equality'."	“这是一种符号，它以某种捏造的‘平等’世界的名义，导致了我们荣耀国家的覆灭。”
0x0100001100001889	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"I don't believe in equality. Never seen it work." She shakes her head and returns to sweeping.	“我不相信平等。从来就没什么用。”她摇摇头，又回到自己的清扫工作上。
0x010000210000128D	Dialogue Text	APT / CLEANING LADY	You	"The police has better things to do." (Nope.)	“警察还有更重要的工作。”（拒绝。）
0x0100002100001293	Dialogue Text	APT / CLEANING LADY	You	"Sure, I'll go see what I can find." (Take it on.)	“当然了，我去看看到底是怎么回事。”（接受。）
0x0100002100001299	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Great. Young people, they're worse than rats, you know -- always littering the hallways with trinkets and empty beer cans..."	“很好。年轻人，他们比老鼠还要糟糕，你知道的——总是把一些小玩意随手丢在走廊里，还有空啤酒罐……”
0x01000021000012A2	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Suit yourself, Mr. Important. No one cares about this building any way..."	“那就请便吧，重要先生。反正也没人在乎这个地方……”
0x01000053000033C9	Dialogue Text	APT / CLEANING LADY	You	"Do you know anything about a *secret meeting* that's happening tonight?"	“今晚有场*秘密集会*，你有任何印象吗？”
0x01000053000033D0	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"What?" She frowns. "No. Nobody tells me anything."	“什么？”她皱眉。“不。没人告诉我任何事。”
0x01000053000033D7	Dialogue Text	APT / CLEANING LADY	You	"How about any unusual activity taking place after hours? Say after 22.00?"	“那你有没有注意到夜里有任何不同寻常的活动迹象？比如说晚上十点以后？”
0x01000053000033E4	Dialogue Text	APT / CLEANING LADY	Logic	Would she understand if they did?	就算有，她会注意到吗？
0x01000053000033EE	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"If it ain't my business I keep my nose out of it..." She shakes her head and mutters to herself.	“我从来不多管闲事……”她摇摇头，自言自语。
0x01000053000033F5	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Think we'd all be better off if people kept their noses to themselves."	“如果大家都各管各的，那可就好喽。”
0x0100005700016737	Alternate1	APT / CLEANING LADY	You	"How about a young male in his mid-twenties, dark hair, skinny build? A smoker on the balcony. Know where he lives?"	“我在寻找一位年轻男性，大概25岁左右，黑发，身材纤瘦？会在阳台上抽烟。你知道他住在哪吗？”
0x0100005700016737	Dialogue Text	APT / CLEANING LADY	You	"I'm looking for a young male in his mid-twenties, dark hair, skinny build. A smoker on the balcony."	“我在寻找一位年轻男性，大概25岁左右，黑发，身材纤瘦。会在阳台上抽烟。”
0x010000570001673D	Dialogue Text	APT / CLEANING LADY	You	"I have a few questions about those apartments..."	“关于这些公寓，我还有些问题……”
0x0100005700016749	Dialogue Text	APT / CLEANING LADY	You	"Thanks, I'm off." [Leave.]	“谢谢，我先走了。”[离开。]
0x010000570001DBE6	Dialogue Text	APT / CLEANING LADY	You	"Who are you?"	“你是谁？”
0x010000570001DBEC	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"I'm no one, just an old woman who cleans these hallways."	“我谁也不是，只是一个负责清扫走廊的老太婆。”
0x010000570001DBF9	Dialogue Text	APT / CLEANING LADY	You	"Do you live here?"	“你住在这里吗？”
0x010000570001DC00	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"If you can call it living..." She spits on the floor, before wiping it off with a broom. "I have a little room upstairs, right next to the coal room."	“如果你把这叫做住的话……”她朝地上吐了口唾沫，然后用扫帚擦拭干净。“我在楼上有个小房间，就在煤房旁边。”
0x010000570001DC07	Alternate1	APT / CLEANING LADY	You	"I'm looking for Billie Méjean. Do you know where she lives?"	“我在找比莉·梅让。你知道她住在哪里吗？”
0x010000570001DC07	Dialogue Text	APT / CLEANING LADY	You	"I'm looking for Billie Méjean's apartment. Could you direct me?"	“我在找比莉·梅让的公寓。你能帮我指一下吗？”
0x010000570001DC0D	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Yes-yes. I know who you mean. The scrawny boy who's always smoking like the devil, right?" She looks at the other end of the hallway.	“是是是。我明白你的意思。那个嗜烟如命、骨瘦如柴的男孩是吗？”她看向走廊的另一端。
0x010000570001DC14	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Ask away, policeman."	“随便问吧，警察。”
0x010000570001DC21	Dialogue Text	APT / CLEANING LADY	You	"Do you know who lived in the foreclosed apartment?"	“你知道那间被没收的公寓里住的是什么人吗？”
0x010000570001DC27	Dialogue Text	APT / CLEANING LADY	You	"Why is there a hole in the wall in the abandoned apartment?"	“为什么那间废弃公寓的墙壁上有一个洞？”
0x010000570001DC2D	Dialogue Text	APT / CLEANING LADY	You	"Is one of the residents on a vacation? Their mailbox is overflowing."	“是不是有住客出去度假了？他们的信箱都快漫出来了。”
0x010000570001DC33	Dialogue Text	APT / CLEANING LADY	You	"That's all, thanks."	“就这些，谢谢。”
0x010000570001DC40	Dialogue Text	APT / CLEANING LADY	You	"No trouble, I just want to talk to him. Do you know where he lives?"	“没什么，我只想跟他聊聊。你知道他住在哪里吗？”
0x010000570001DC69	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"It's about Victor, isn't it?" She narrows her pale grey eyes. "It's always about Victor with her... You'll find the Méjeans in apartment #20 upstairs. It's one of the doors on the balcony."	她眯起浅灰色的眼睛。“是关于维克托的，对吗？永远都是维克托和她的事……梅让就住在楼上20号公寓。大门在阳台上。”
0x010000570001DC70	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Talk!" The cleaning lady starts laughing, but it turns into a violent coughing spasm. She squeezes her broom, trying to catch her breath.	“聊聊！”清洁女工笑了起来，结果却变成了一阵剧烈的咳嗽。她用力握紧了扫帚，想要喘口气。
0x010000570001DC77	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"He lives upstairs in room #28. Go to the balcony. It's one of those doors there," she points east. "He's usually home in the evening."	“他住在楼上28号房间。去阳台上看看，房门就在那附近，”她指向东边。“他一般晚上在家。”
0x010000570001DC7F	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	She mumbles some kind of a response, then hacks something into her handkerchief.	清洁女工嘴里嘟囔着什么作为回应，然后往手帕里咳出了什么东西。
0x010000570001DC8B	Dialogue Text	APT / CLEANING LADY	You	"I am looking for the parents of a kid named Cuno."	“我正在找一个小孩的父母，他叫坤诺。”
0x010000570001DC91	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"De Ruyters are at the end of this hallway, right next to the communal bathroom."	“德鲁伊特住在这条走廊的尽头，就在公共浴室的旁边。”
0x010000570001DC9F	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"The hell am I supposed to know?" The cleaning lady shrugs, her mouth puckered like a dried fig. "Another nut job, I assume."	“见鬼了，我怎么知道？”清洁女工耸耸肩，嘴巴像无花果干一样皱巴巴的。“我猜，又是个不正常的家伙吧。”
0x010000570001DCA6	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"People come and go, I don't keep an eye on everyone."	“大家都进进出出的，我总不能盯着每一个人吧。”
0x010000570001DCAD	Dialogue Text	APT / CLEANING LADY	You	"Who lives in apartment #10?"	“10号公寓住的是什么人？”
0x010000570001DCB3	Alternate1	APT / CLEANING LADY	You	"Know anything about the young communist who lives behind the padlocked door?"	“你认识那个住在上锁房间里的康米主义青年吗？”
0x010000570001DCB3	Dialogue Text	APT / CLEANING LADY	You	"Who lives behind the padlocked door?"	“那扇有挂锁的门后住着什么人？”
0x010000570001DCB9	Dialogue Text	APT / CLEANING LADY	You	"Tell me about the man who lives at the end of the hallway -- Uuno de Ruyter."	“跟我说说住在走廊尽头的那人——乌诺·德鲁伊特。”
0x010000570001DCBF	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"I don't want to talk about de Ruyters," the cleaning lady mutters. She starts digging for something in her pockets.	清洁女工开始在口袋里翻找着什么。“我不想提德鲁伊特，”她嘟囔着。
0x010000570001DD06	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Oh, that one is a scientist, a future scholar!" Suddenly the old lady's face is beaming.	“哦，那是个科学家，一个未来的大学者！”老妇人的脸突然亮了起来。
0x010000570001DD0D	Dialogue Text	APT / CLEANING LADY	You	"Astrology?"	“占星术？”
0x010000570001DD14	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Something to do with all those stars around his door. He asked me to leave his drawings up on the wall."	“跟他家大门周围那些星星有关。他让我不要擦掉墙上那些画。”
0x010000570001DD1B	Dialogue Text	APT / CLEANING LADY	You	"You mean the star-and-antlers? I think that's the symbol of communism."	“你是说星星和鹿角吗？我觉得那个是康米主义的符号。”
0x010000570001DD27	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Some lunatic lost his mind... All kinds of morons pass through these halls."	“有些疯子脑子不好使了……各种各样的傻瓜都会经过这些走廊。”
0x010000570001DD2F	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"Addicts, all of them... And sometimes I hear them screaming." She winces.	“有瘾的人，全都是……有时候我还会听见他们尖叫。”她有些畏缩。
0x010000570001DD38	Dialogue Text	APT / CLEANING LADY	You	"Why not?"	“为什么不呢？”
0x010000570001DD63	Dialogue Text	APT / CLEANING LADY	Cleaning Lady	"The symbol of what now?"	“你说是什么符号？”
0x010000570001DD6A	Dialogue Text	APT / CLEANING LADY	You	"You know, the ones who support the working class against Capital."	“你知道的，就是那些支持工人阶级，对抗资本家的人。”
