ArticyId	TermType	ConvTitle	Actor	En	Zh
0x01000041000001D1	Dialogue Text	INVENTORY / BAD ROMANCE	Pain Threshold	Fuck it. Do it. It can't be worse than what you've already felt.	去他的吧。动手吧。总不可能比现在的感觉更糟糕了吧。
0x01000041000001D8	Dialogue Text	INVENTORY / BAD ROMANCE	You	Read ten more pages...	再多看十页。
0x01000041000001DE	Dialogue Text	INVENTORY / BAD ROMANCE	You	No. I won't subject myself to Graadian realism.	不。我不会向格拉德的现实主义屈服的。
0x01000041000001E5	Dialogue Text	INVENTORY / BAD ROMANCE	Sixteen Days of Coldest April	You've made the right life choices today, sir.	先生，今天你做出了正确的人生抉择。
0x01000041000001F2	Dialogue Text	INVENTORY / BAD ROMANCE	Sixteen Days of Coldest April	Their happiness is fleeting. A cruel jest. The absurdity of the state totally crushes them and they end up betraying each other. She becomes an official for "the regime" and he, a lens-grinder in Ferdydyrke. The end.	他们的幸福转瞬即逝。这是一个残酷的玩笑。国家的荒谬彻底击垮了他们，他们最终背叛了彼此。她变成一名“管理体制”的官员，而他成为了弗迪德莱客的一个镜片研磨工。剧终。
0x0100004100000301	Dialogue Text	INVENTORY / BAD ROMANCE	You	Feels heavy.	感觉很沉重。
0x0100004100000309	Dialogue Text	INVENTORY / BAD ROMANCE	You	What does she look like?	她看起来什么样？
0x0100004100000311	Dialogue Text	INVENTORY / BAD ROMANCE	Sixteen Days of Coldest April	It would physically hurt you to keep reading. Are you sure?	继续看下来的话，你的身体会受到伤害的。你确定吗？
0x0100004100000319	Dialogue Text	INVENTORY / BAD ROMANCE	Pain Threshold	Good stuff. You fucking *loved* this.	好东西。我他妈就*喜欢*这个。
0x010000530001807F	Dialogue Text	INVENTORY / BAD ROMANCE	Sixteen Days of Coldest April	As ethnic tensions run wild, a pair of young lovers meet each other on the street. Somehow, in the middle of all the chaos, they manage to lock arms and look into each other's eyes.	随着种族关系愈发紧张，一对年轻的恋人在街上相遇。不知何故，在一片混乱之中，他们紧挽手臂，看着彼此的眼睛。
0x0100005300018086	Dialogue Text	INVENTORY / BAD ROMANCE	You	That doesn't sound too bad...	听上去还可以……
0x010000530001808C	Dialogue Text	INVENTORY / BAD ROMANCE	You	What happens next?	接下来会怎么样？
0x0100006B00000ABB	Dialogue Text	INVENTORY / BAD ROMANCE	Shelf of Romance Stories	At the beginning of the book, ethnic unrest has taken Yugo-Graad by storm. Windows and mailboxes are smashed, motor carriages turned over and set on fire...	在书的开篇，一场民族骚乱席卷了南格拉德。窗户和邮箱被砸坏，汽車被掀翻点燃…
0x0100006B00000AC9	Dialogue Text	INVENTORY / BAD ROMANCE	Shelf of Romance Stories	Black smoke hangs above cobblestones speckled with droplets of reddish-grey blood. Militant guardsmen, decked in heavy armour, have been called in to control the riots...	黑烟笼罩在鹅卵石上——上面点缀着红灰色的血滴。好战的卫兵身披重甲，受命镇压暴动…
