ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100005A000100DD	Dialogue Text	NETHOUSE ORB / fireplace phasmid	Inland Empire	Is that the phasmid? It looks like the phasmid, leaning against the wall...	那是竹节虫吗？靠在墙边的那个，很像竹节虫……
0x0100005A000100E3	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	Try to sneak up to the phasmid.	尝试偷偷靠近竹节虫。
0x0100005A000100EF	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	Ignore the sighting. [Discard thought.]	忽略你看到的东西。[放弃思维。]
0x0100005A000100F7	Dialogue Text	NETHOUSE ORB / fireplace phasmid	Inland Empire	It's not the phasmid... It's not even organic -- it's a fire iron. How disappointing!	这不是竹节虫……甚至都不是有机物——只是一根火钩。真是太让人失望了！
0x010000810000013B	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	I can't believe it!	简直难以置信！
0x0100008100000141	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	Of course that wasn't the phasmid. It's way too big.	当然不是竹节虫了，它实在是大过头了。
0x0100008100000147	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	This is what I get for trying to be a scientist instead of a cop. I mean, I'm not even a *good* cop.	我打算不当警察，换个科学家试试，结果这就是我的下场。我的意思是，我甚至连个*好警察*都算不上。
0x010000810000014F	Dialogue Text	NETHOUSE ORB / fireplace phasmid	Inland Empire	Right?! You'll have better luck next time, though. The phasmid -- finding it is your destiny.	是吗？！不过下次你会更走运的。找到竹节虫——就是你的命运。
0x0100008100000155	Dialogue Text	NETHOUSE ORB / fireplace phasmid	Inland Empire	Don't be too hard on yourself. You couldn't have known that for sure. And, besides, finding this phasmid is your special destiny -- you can feel it!	别对自己太苛刻。你本来也没办法太确定的。再说了，找到竹节虫是你的特殊命运——你一定感觉到了吧！
0x010000810000015B	Dialogue Text	NETHOUSE ORB / fireplace phasmid	Inland Empire	You were just following your instincts, your destiny. You're meant to find the phasmid! Just maybe not here...	你只不过是听从了自己的直觉，还有你的命运。你一定会找到竹节虫的！只不过，可能不在这里罢了……
0x01000081000010D8	Dialogue Text	NETHOUSE ORB / fireplace phasmid	Reaction Speed	Wait, what if this is the fishing rod situation all over again?	等等，难道又要上演一遍之前的钓鱼竿戏码？
0x01000081000010E1	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	You're not going to be fooled again. You're going to stand here calmly and observe this non-phasmid until you see what it really is...	你不会再被愚弄一次。只要静静地站在这里，观察这个肯定*不是竹节虫*的东西，直到看清它的真面目……
0x01000081000010E8	Dialogue Text	NETHOUSE ORB / fireplace phasmid	Inland Empire	Fine. It's not a phasmid. It's not even organic. Just a fire iron resting by the fire place. But... where's your sense of wonder, man?	好吧。这不是竹节虫，甚至都不是有机物。不过是壁炉边放着的火钩而已。不过……你的惊奇感哪里去了，伙计？
0x01000081000010FC	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	Forget about the phasmid... err, fire iron. [Leave.]	忘了竹节虫吧……呃，火钩。[离开。]
0x0100008100001104	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	Leap toward the phasmid and clasp it in your hands!	跳向竹节虫，用手紧紧抓住它！
0x010000810000112D	Dialogue Text	NETHOUSE ORB / fireplace phasmid	You	Give the dream of discovering the Insulindian phasmid a rest... for now. [Leave.]	要不还是放下发现伊苏林迪竹节虫的梦想吧……不过是暂时的。[离开。]
