ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001A511	Dialogue Text	DOOMED / BARBELL	Endurance	A memory from another life -- when you were young and fit.	来自另一种生活的记忆——那时的你年轻有为，苗条健康。
0x0100002D00000695	Dialogue Text	DOOMED / BARBELL	Physical Instrument	A warm wave of accomplishment washes over your head, as you drop the barbell to the floor. For a moment it feels like you're strong enough to succeed at anything you ever set your mind to.	你把杠铃扔在地板上，一股温热的成就感从你的头顶倾泄而下。片刻之间，你感觉自己是那么的强大，只要下定决心，就一定能够成功。
0x0100004500005B50	Dialogue Text	DOOMED / BARBELL	You	"Look, Kim, it's a trap. There are no collars on the barbell."	“看，金，这是个陷阱。这个杠铃上没有夹圈！”
0x0100004500005B7A	Dialogue Text	DOOMED / BARBELL	Barbell	A barbell lies on the floor. The colour has worn off its weight plates.	地上躺着一只杠铃。夹圈的颜色已经脱落了。
0x0100004500005B86	Dialogue Text	DOOMED / BARBELL	Visual Calculus	There are no collars on the barbell. This is a safety hazard.	杠铃上没有夹圈。这是一个安全隐患。
0x0100004500005BCF	Dialogue Text	DOOMED / BARBELL	Physical Instrument	You manage to hoist it off the ground, but the barbell feels wobbly and dangerous, your hands slick with sweat. Turns out you're no beast, just an old man with bad form.	你设法把它从地上提了起来，但是杠铃感觉有些摇晃，很是危险，你的双手开始出汗打滑。结果你根本不是什么野兽，只是个体型糟糕的老男人。
0x0100004500005BD5	Dialogue Text	DOOMED / BARBELL	You	"What kind of a bastard would just remove the collars? It should be a felony."	“是哪个混账玩意把夹圈卸下来的？这绝对是重罪。”
0x0100004500005C0B	Dialogue Text	DOOMED / BARBELL	Physical Instrument	A warm wave of accomplishment washes over your head, as you drop the barbell to the floor. For a moment it feels like you're strong enough to succeed at anything you ever set your mind to.	你把杠铃扔在地板上，一股温热的成就感从你的头顶倾泄而下。片刻之间，你感觉自己是那么的强大，只要下定决心，就一定能够成功。
0x0100004500005C11	Dialogue Text	DOOMED / BARBELL	Physical Instrument	Conjuring up an inhuman amount of strength, you raise the barbell up in the air. Your biceps tremble, but you're a savage. This is a children's game!	你奇迹般地激发出超乎常人的力量，把杠铃举到了空中。你的肱二头肌在颤抖，不过你是一个野蛮人。这不过是小孩子的游戏！
0x0100004500005C68	Dialogue Text	DOOMED / BARBELL	You	[Leave.]	[离开。]
0x0100004500005C72	Dialogue Text	DOOMED / BARBELL	Inland Empire	Hey, but you're still in a ghost house... What if someone heard this? What if they know you're here?!	喂，你还在一栋鬼屋里……如果被什么人听见呢？如果他们不知道你在这里呢？！
0x0100004500005C92	Dialogue Text	DOOMED / BARBELL	Inland Empire	See, see! This place is cursed!	看见没，看见没！这个地方被诅咒了！
0x010000570000A934	Dialogue Text	DOOMED / BARBELL	Kim Kitsuragi	"It was never my favourite, either." The lieutenant is obviously handling you.	“这也从来都不是我的最爱。”警督显然是在应付你。
0x010000570000A93C	Dialogue Text	DOOMED / BARBELL	Kim Kitsuragi	"At the station gym, I mean. I prefer running. It clears your head..." The lieutenant steps away from the barbell, letting your recover in peace.	“我的意思是说，在警局的健身房。我更喜欢跑步，能让你清空大脑……”警督走到杠铃旁边，给你留了点安静恢复的空间。
0x0100005700021EC6	Dialogue Text	DOOMED / BARBELL	Kim Kitsuragi	"You're right, the weights may fall off. Better not touch it then."	“你说得对，杠铃片可能会掉下来。最好还是别碰了。”
0x0100005700021ECE	Dialogue Text	DOOMED / BARBELL	Physical Instrument	It's 60 kg. Your triceps hum at the sight of these weights. Show the world what kind of beast it's dealing with. Lift them.	这是60公斤重的杠铃。你的肱三头肌一看到这些重量就发出了不满的声音。让这个世界看看，它要对付的是哪种野兽。把杠铃举起来。
0x0100005700021EDE	Dialogue Text	DOOMED / BARBELL	You	Lift the barbell.	举起杠铃。
0x0100005700021EDE	tooltip1	DOOMED / BARBELL	You	Noticed collars.	注意到夹圈。
0x0100005700021EDE	tooltip2	DOOMED / BARBELL	You	Head hurts.	头很疼。
0x0100005700021EDE	tooltip3	DOOMED / BARBELL	You	High-performance weightlifting gloves.	高性能举重手套。
0x0100005700021EDE	tooltip4	DOOMED / BARBELL	You	Coached by Physical Instrument	受强身健体指导。
