ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000600018163	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Interfacing	That machine is a Kvalsund 10-20 HK.	那是一台库瓦桑德10-20HK起重机。
0x01000006000185B3	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Inland Empire	This is *your* cloak. You can feel it.	这是*你的*斗篷。你能感觉到。
0x01000006000185C4	Dialogue Text	CONTAINERYARD / CLOAK JUMP	You	"Lieutenant..." (Point to the cloak.) "I think that's mine."	“警督……”（指向斗篷。）“我觉得那是我的。”
0x01000006000185CB	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Kim Kitsuragi	"Yes. It does bear the RCM insignia. And we're the only detectives in Martinaise."	“是的。上面确实有RCM的标志。而且我们是马丁内斯唯一的警探。”
0x0100000600018A28	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Kim Kitsuragi	He turns back to the sad piece of fabric flapping in the wind.	他再次看向在风中飞舞的那件可怜的衣物。
0x0100000600018A2E	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Kim Kitsuragi	"Yes... we were in the middle of something -- your cloak..."	“是的……我们正忙着处理——你的斗篷呢……”
0x0100001D0000024D	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Kim Kitsuragi	Then he turns back to the sad piece of fabric flapping in the wind.	然后他又转回到风中翻飞的那块悲惨的布料。
0x0100002D0000039F	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Kim Kitsuragi	"But I digress. We were focusing on your *cloak* here." He looks at the sad piece of fabric flapping in the wind.	“但是我有点跑题了。我们要专注你的*斗篷*。”他看着在风中飞舞的那件可怜的衣物。
0x0100002D000003AC	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Kim Kitsuragi	"Well, it doesn't seem too dangerous -- two metres tops. Whenever you're ready to do it, I'll be right behind you."	“呃，看起来也不是太危险——最多两米。等你什么时候准备好了，我会在你身后。”
0x0100002D000003B6	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Horrific Necktie	The necktie lets go a little, its vicious grip easing around your neck. Colours return to the world around you.	领带稍微放开了一些，你脖子周围恶意的紧扼感放松了不少。你周围的世界又恢复了颜色。
0x0100002D000003C9	Dialogue Text	CONTAINERYARD / CLOAK JUMP	Kim Kitsuragi	"Good. We can always come back when you're feeling better. It's just a cloak after all." He looks around.	“很好。等你感觉好一点之后，我们随时可以回来。毕竟这只是一件斗篷。”他看了看周围。
