ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100006B00002173	Dialogue Text	EVRART / COFFEE TABLE	Coffee Table	A large table with two huge vacuum-insulated thermal coffee dispensers. Someone has forgotten a small plastic card next to the stacks of cups.	一张大桌子上放着两台巨大的真空隔热咖啡贩售机。有人把一张小塑料卡片落在了茶杯旁边。
0x0100006B00002179	Dialogue Text	EVRART / COFFEE TABLE	You	Pick up the card.	捡起卡片。
0x0100006B0000217E	Dialogue Text	EVRART / COFFEE TABLE	You	[Leave.]	[离开。]
0x0100006B000022E9	Dialogue Text	EVRART / COFFEE TABLE	Coffee Table	You snatch up the red plastic card. It features a black contour of a crane lifting a container. The name 'Etienne Hogarth' is written in the middle, below it in smaller text: 'Member of the board'. It comes with a magnetic strip -- meant to open electronic doors.	你一把抓起那张红色的塑料卡片。上面印着吊车抬起集装箱的黑色图案。中间写着“艾蒂安·贺加斯”，下面有一小行字：*董事会成员*。卡上还有一个磁条——应该是用来打开电子门的。
0x0100006B00005C90	Dialogue Text	EVRART / COFFEE TABLE	You	Look into one of the old coffee cups.	看向其中一只旧咖啡杯。
0x0100006B00005C95	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	Peer into a discarded coffee cup!	盯着一只废弃的咖啡杯！
0x0100006B00005CA1	Dialogue Text	EVRART / COFFEE TABLE	Coffee Table	You see nothing exceptional. It's a dirty cup, smudged brown, with old ground coffee stuck to the bottom... slowly getting mouldy.	你没发现什么异常。不过是一只布满棕色污渍的脏咖啡杯，杯底还粘着些陈年的咖啡渣……正在慢慢变霉。
0x0100006B00005CA8	Dialogue Text	EVRART / COFFEE TABLE	You	What am I supposed to see here?	我应该在这里看到些什么？
0x0100006B00005CAE	Dialogue Text	EVRART / COFFEE TABLE	You	Huh, okay. Thanks, this certainly wasn't a waste of time.	好吧，谢了。这确实不是浪费时间。
0x0100006B00005CB5	Dialogue Text	EVRART / COFFEE TABLE	Coffee Table	You throw the cup back into the trash bin.	你把杯子又扔回了垃圾箱。
0x0100006B00005CC2	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	Look closer!	再仔细看看！
0x0100006B00005CC9	Dialogue Text	EVRART / COFFEE TABLE	Coffee Table	If you squint your eyes enough the coffee grounds almost seem to make up two letters: F... and K.	如果眯着眼睛看的话，那些咖啡渣好像组成了两个字母：F……还有K。
0x0100006B00005CD0	Dialogue Text	EVRART / COFFEE TABLE	Logic	Yeah. Of course. It's certainly not just an example of *paréidolie*, noticing patterns in noise. Worth it.	没错，当然了。在聒噪的环境下注意到这个图案，肯定不只是*错觉*的案例。值了。
0x0100006B00005CD6	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	It's a clue!	这是一条线索！
0x0100006B00005CDE	Dialogue Text	EVRART / COFFEE TABLE	You	A clue of what?	什么线索？
0x0100006B00005CE5	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	A clue about the person behind all the murders.	所有凶杀案幕后黑手的线索！
0x0100006B00005CFA	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	It's meaningful, I *swear*! You just wait... I've got the case nearly busted wide open.	绝对是有什么特殊意义的，我敢*发誓*！你就等着吧……我很快就能破获这个案子。
0x0100006B00005D04	Dialogue Text	EVRART / COFFEE TABLE	You	Uh-huh, great. I somehow doubt old coffee is how the police solve investigations.	啊哈，太好了。我是有点怀疑，警察应该不是靠这些陈年咖啡渣破案的吧。
0x0100006B00005D0B	Dialogue Text	EVRART / COFFEE TABLE	You	It *is* a sign! Just like a remote viewer would operate. Signs hidden inside the mundane...	这*绝对*是某种象征！遥视者也会这样做的。隐藏在世俗之间的征兆……
0x0100006B00005D11	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	You got it, pal. I would *never* make such a thing up.	你说的没错，伙计。换做是我，*永远*也编不出这种东西。
0x0100006B00005D18	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	If you can't trust your own eyes, who can you trust...	如果连自己的眼睛都信不过，那还能相信什么……
0x0100006B00005D28	Dialogue Text	EVRART / COFFEE TABLE	Logic	You would be correct.	也许你是对的。
0x0100006B00005D3A	Dialogue Text	EVRART / COFFEE TABLE	Inland Empire	If you can't trust your own eyes, who can you trust? Certainly not Kim. He's so... suspicious.	如果连自己的眼睛都信不过，那还能相信谁？反正肯定不能相信金。他实在是……太可疑了。
