ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000600018CAF	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"One more thing before we do..." He glances at the booth again. "We don't have to talk to them immediately. We can walk right past them, continue with our business."	“还有一件事……”他又瞥了一眼包厢。“我们不用马上跟他们谈。可以先直接走过去，继续我们的工作。”
0x0100000600018CB8	Dialogue Text	KIM SWITCH / DAY TWO UNION	Authority	Good. A power move. *Purposefully* concentrate on something else first.	很好。这一步走得很漂亮。*有目的地*集中在其他事情上。
0x0100000600018CBE	Dialogue Text	KIM SWITCH / DAY TWO UNION	Logic	But... aren't you *curious* to know what they have to say about the murder?	但是……难道你不*好奇*他们会怎么说这次凶杀案吗？
0x0100000600018CC4	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"They're in no hurry to leave -- they think they own the place... Anyway, I leave that choice to you. Whatever you decide is fine by me."	“他们不会着急离开——他们觉得这里是他们的地盘……话说回来，选择权就交给你了。不管你做出什么决定，我都没意见。”
0x0100000600018CCB	Dialogue Text	KIM SWITCH / DAY TWO UNION	Reaction Speed	Yeah -- streetwise. Zoom right past, do it on your own terms.	是啊——这就是街头智慧。直接走过去，按你自己的方式去做。
0x0100000600019E79	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"And one more thing..." He pulls the black plastic over the dead man's face, then looks at you. "This was *very* good work, detective."	“还有一件事……”他拉开死者脸上的黑色塑料，然后看向你。“你做的*非常棒*，警探。”
0x0100000600019E84	Dialogue Text	KIM SWITCH / DAY TWO UNION	Interfacing	Oh well -- we'll get the armoured boots in another lifetime.	好吧——我们下辈子再弄双装甲靴穿吧。
0x0100000600019E90	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"I'm just glad he's gone. We have other matters to attend to."	“他走了我很高兴。我们还有其他的事要做。”
0x0100000600019EA1	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"Well, he's in processing now. We have other matters to attend to."	“呃，他已经交到分析部了。我们还有其他的事要做。”
0x0100000600019EA8	Dialogue Text	KIM SWITCH / DAY TWO UNION	Interfacing	Oh well -- we'll get the armoured boots in another lifetime.	好吧——我们下辈子再弄双装甲靴穿吧。
0x010000060001A391	Dialogue Text	KIM SWITCH / DAY TWO UNION	Composure	He won't even *acknowledge* the stolen boots you're wearing. For him, they don't exist. You'll have to bring it up yourself, later -- *if* you dare.	他甚至都不会*知道*你穿的是一双偷来的鞋子。对于他来说，它们根本不存在。之后你得自己提出来——*如果*你有这个胆量的话。
0x0100000700009857	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"Looks like we can get to work at once. The Union muscle turned up." He points to the mess hall doors. "They look rowdy. We should talk to them."	“看来我们马上就要开始工作了。工会的人来了。”他指着餐厅的门。“他们看起来很爱惹是生非。我们应该跟他们聊聊。”
0x0100004C0000BB10	Dialogue Text	KIM SWITCH / DAY TWO UNION	You	"Let's roll." [Leave.]	“我们走吧。”[离开。]
0x0100004C0000BB1D	Dialogue Text	KIM SWITCH / DAY TWO UNION	You	"What do you mean 'rowdy'?"	“你说*爱惹是生非*是什么意思？”
0x0100004C0000BB26	Dialogue Text	KIM SWITCH / DAY TWO UNION	You	"Why do we need to talk to them?"	“为什么要跟他们谈？”
0x0100004C0000BB6F	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"I mean ungovernable. Martinaise isn't exactly enthusiastic about the RCM being here. They prefer to be *policed* by the Union -- these men here..."	“我的意思是很难管制。马丁内斯对RCM可不是很热情。他们更喜欢被工会*管制*——就是这里那些人……”
0x0100004C0000BB8E	Dialogue Text	KIM SWITCH / DAY TWO UNION	You	"There are so many of them. Maybe we should call in reinforcements?"	“他们人好多。也许我们应该呼叫增援？”
0x0100004C0000BB95	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"That would just escalate tensions. No captain would sign off on it. Solving one murder isn't worth a conflict between the RCM and the Débardeurs' Union."	“那样只会让紧张局势加剧。没有警长愿意签字负责的。解决一起凶杀案而已，不值得引起RCM和装卸工会的冲突。”
0x0100004C0000BBA3	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"In fact, even the *death* of two detectives might not warrant an all-out war. So let's keep a cool head, okay?"	“事实上，甚至两个警探的*死*也许都不会引爆全面战争。所以一定要保持头脑冷静，好吗？”
0x0100004C0000BBB7	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"Looks like we can get to work at once. The Union muscle turned up." He points to the mess hall doors. "They look rowdy. We should talk to them."	“看来我们马上就要开始工作了。工会的人来了——”他指着餐厅的门。“他们看起来很爱惹是生非。我们应该跟他们聊聊。”
0x0100006B00003FCF	Dialogue Text	KIM SWITCH / DAY TWO UNION	You	"Good, thanks."	“好的，谢谢。”
0x0100006B00003FD9	Dialogue Text	KIM SWITCH / DAY TWO UNION	You	"I don't know if I was ready to let him go..."	“我不确定自己有没有准备好放他走……”
0x0100006B00003FDF	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"Well, he's in processing now. We have other matters to attend to."	“呃，现在已经有人在处理他的事了。我们还有其他的事要做。”
0x0100006B00003FE5	Dialogue Text	KIM SWITCH / DAY TWO UNION	Kim Kitsuragi	"I'm just glad he's gone. We have other matters to attend to."	“他走了我很高兴。我们还有其他的事要做。”
0x0100006B00003FEB	Dialogue Text	KIM SWITCH / DAY TWO UNION	Rhetoric	The lieutenant is downplaying his contribution -- he got up before sunrise to get this done. And now he's quite pleased with himself for taking care of the gruesome business so efficiently.	警督把自己的贡献轻描淡写地带过了——今天太阳还没出来之前，他就已经起来把这件事处理好了。现在他很高兴自己能这么有效率地处理掉这种令人厌恶的工作。
0x0100006B00003FF8	Dialogue Text	KIM SWITCH / DAY TWO UNION	Empathy	He kind of wishes you'd acknowledged his contribution, but you've missed your opportunity now.	他有点希望你能承认他的贡献，但是现在你已经失去这个机会了。
