ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100004D00002C63	Dialogue Text	PAWNSHOP / KIM FIRST VISIT barks	Kim Kitsuragi	"Hey, before we talk to the owner..."	“喂，在我们跟这里的主人谈话之前……”
0x0100004D00002D79	Dialogue Text	PAWNSHOP / KIM GLASS barks	Kim Kitsuragi	"Not top-of-the-line glass. Hope he never has to rely on it."	“不是高配玻璃。希望他永远不要依赖这玩意。”
0x0100000200000D2C	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Bird's Nest Roy	"Oh... I see. That's tough, man, I feel the same way sometimes. The Man from Hjelmdall is the hero of a series of popular books based on a fictional version of Katla."	“哦……我明白了。那挺难的，伙计，我有时候也会有这种感觉。*来自赫姆达尔的男人*是一系列畅销作品里的主人公，故事是以虚构版的卡特拉创作的。”
0x0100000200000D40	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	You	"You said everything's going to be over soon anyway, man. I just want to walk into the end times wearing this t-shirt."	“反正你说过，一切很快都会结束，伙计。我只想穿着这件T恤走向终结。”
0x0100000200000D46	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Bird's Nest Roy	"Interesting choice. But sure, why not -- take it. Welcome to Hjelmdall."	“有趣的选择。不过当然了，为什么不可以呢——拿着它吧。欢迎来到赫姆达尔。”
0x01000006000163E7	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	You	Oh yeah?	是吗？
0x01000006000163ED	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	You	Not now. [Leave.]	现在不行。[离开。]
0x01000006000163FC	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Rack of Second-Hand Uniforms	What a shirt. All other shirts pale in comparison to the muscular man with antlers and immense zweihänders.	真是件好T恤。跟那个戴着鹿角，手持巨大双手剑的肌肉男相比，其他T恤瞬间显得苍白无力了。
0x0100000600016420	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Drama	Lie, sire. For no reason.	这是谎言，大人。没有任何理由。
0x0100000600016429	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Encyclopedia	It's for the best, because Hjelmdall is *not* a real place. And thus he could not have gone there.	这样最好，因为赫姆达尔根本就*不是*一个真实的地方。因此他也不可能去过。
0x0100000600018B27	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Rhetoric	Wow, what?	哇哦，什么？
0x0100000600018B48	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Inland Empire	Very, *very* unique energies indeed. Geomagnetic ley lines, one might even say.	确实是非常，*非常*独特的能量。甚至可以说是，地磁方位线。
0x0100000600018B51	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Encyclopedia	The antlers on the hood of the man's cloak and his piercing blue eyes are familiar....	男人斗篷兜帽上的鹿角，还有那双浅蓝色的眼睛看起来很熟悉……
0x0100000600018BC3	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Physical Instrument	Stop talking about this nerd stuff. It will make you *weedy*.  Buy the damn shirt already, it's powerful.	别再说些傻里傻气的话了，这样会让你变得*弱不禁风*的。赶快买下那件该死的T恤吧，它很强大。
0x0100000600018BD4	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Physical Instrument	Stop talking about this nerd stuff. It will make you *weedy*.	别再说些傻里傻气的话了，这样会让你变得*弱不禁风*的。
0x010000070001ADF0	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	You	"Couldn't you just give it to me for free then?"	“你就不能免费送我吗？”
0x0100004D00003C8B	Dialogue Text	PAWNSHOP / RACK OF SECOND-HAND UNIFORMS	Rack of Second-Hand Uniforms	Wow! A very large red T-shirt with an impressive print stands out from the other garb.	哇哦！一件非常大的红色T恤，上面的印花给人留下了深刻的印象，一下就从其他衣服里脱颖而出。
