ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001C238	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Visual Calculus	Remember the tyre tracks in Martinaise? This is where they were leading.	还记得马丁内斯的轮胎印吗？就是通往这里的。
0x010000060001C246	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Visual Calculus	That *rebel* who jumped the canal and broke the waterlock! This is their doing.	那个跃过运河，弄坏水闸的*叛徒*！这是他们的作为。
0x010000060001C254	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Rhetoric	Looks like this might take a while. Time to present a good topic for discussion.	看来也许还要一会儿。是时候提出一个好议题了。
0x010000060001C25C	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Interfacing	Yes. Why haven't you?	是的。你为什么没认出来呢？
0x010000060001C268	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Electrochemistry	Probably? Try definitely.	也许？肯定要试试。
0x010000060001C27E	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Logic	The damage is too extensive.	损伤太严重了。
0x010000060001C287	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Savoir Faire	It's sunken too deep.	它陷得太深了。
0x010000060001C28F	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Savoir Faire	It's sunken too deep. There is no access ramp to the coast.	它陷得太深了。没有通向海岸的坡道。
0x010000060001C297	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Logic	This was 20% of the station's vehicular budget?	大概占了警局車辆预算的20%？
0x01000007000063CF	Alternate1	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	"So this is where all the tracks were leading to!"\n	“原来所有痕迹都指向了这里！”
0x01000007000063CF	Alternate2	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	So this is where all the tracks were leading to!	原来所有痕迹都指向了这里！
0x01000007000063CF	Alternate3	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	This is where the tracks on the plaza were leading to.	广场上的所有痕迹都指向了这里。
0x01000007000063CF	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	"This is where the tracks on the plaza were leading to."	“广场上的轮胎印一直延伸到这里。”
0x01000007000063D4	Alternate1	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	"This is where the rebel who jumped the canal ended up. Not so daring anymore!"	“这里就是叛逆者跳入运河终结生命的地方。再也不会有人这么勇敢了！”
0x01000007000063D4	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	This is where the rebel who jumped the canal ended up. Not so daring anymore!	这里就是叛逆者跳入运河终结生命的地方。再也不会这么大胆了！
0x01000007000063D9	Alternate1	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	"A carriage in the sea? Where did this come from?"	“海里有辆汽車？这是从哪里来的？”
0x01000007000063D9	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	A carriage in the sea? Where did this come from?	大海里的汽車？它是从哪里来的？
0x0100000700006420	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Kim Kitsuragi	"It appears to be so." The lieutenant has a peculiar look in his eyes as he inspects the wreckage.	“似乎是这样。”警督看着残骸，眼睛里露出奇怪的光芒。
0x0100000700006426	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Kim Kitsuragi	"It appears to be so." The lieutenant has a peculiar look in his eyes as he inspects the wreckage.	“似乎是这样。”警督看着残骸，眼睛里露出奇怪的光芒。
0x0100000700006430	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Sunken Motor Carriage	The motor carriage sits in the salty ocean water, cold and sad. It doesn't have an opinion.	汽車坐在咸咸的海水里，冰冷又悲伤。它没有什么意见。
0x0100000700006437	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	"Let's investigate."	“我们开始调查吧。”
0x010000070000643D	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Kim Kitsuragi	"I agree," the lieutenant replies, his eyes never leave the sunken vehicle. "We should definitely investigate."	“我同意，”警督回答到，但他的眼睛始终没有离开那辆沉没的汽車。“我们应该好好调查一下。”
0x010000070000644B	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Sunken Motor Carriage	The motor carriage sits in the salty ocean water, cold and sad. It doesn't have an opinion.	汽車坐在咸咸的海水里，冰冷又悲伤。它没有什么意见。
0x0100000700006452	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	"We don't have time for traffic hooliganism right now." [Leave.]	“我们现在没时间管什么交通流氓。”[离开。]
0x01000007000064B6	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	You	I wonder what all these people in the city behind me are doing...	不知道我身后城里的人们都在做些什么……
0x01000007000064BC	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Sunken Motor Carriage	Dreaming, drinking, fucking, fighting, trying to improve their lives. Wishing for a better tomorrow.	做梦，喝酒，调情，打架，想要改善自己的生活。希望明天能变得更好。
0x0100000700006551	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Tutorial Agent	Go to your inventory and interact with the item by clicking the INTERACT tab and then INTERACT.	打开你的道具栏，点击互动按钮，然后与里面的道具进行交互。
0x010000070000689B	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Empathy	It must be cold and lonely down there, in the icy water.	冰水下面一定很冷，很孤独吧。
0x01000007000068A8	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Inland Empire	It must be cold and lonely down there, in the icy water.	冰水下面一定很冷，很孤独吧。
0x01000007000068AF	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Interfacing	The seawater is already corroding the fuel lines, metalworks, and undercarriage components. It's seeping into the various modules and short-circuiting the electrical systems, including the electro-magnetic steering and brakes...	海水已经腐蚀了燃料管、金属制品、还有底盘组件。它还渗入了各种各样的组件，让电气系统短路，包括电磁转向器和刹車……
0x01000007000068C2	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Interfacing	The seawater has already started to corrode the metalworks.	海水已经开始腐蚀金属制品了。
0x010000070000697D	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Inland Empire	Suddenly you're reminded of the lieutenant's Kineema and the weird feeling about the fish and seaweed you had...	突然间，你想起了警督的锐影，对鱼和海藻产生了一种奇怪的感觉……
0x0100000700006986	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Inland Empire	You get a sudden sinking feeling. Stomach acid comes up as you look at the motor carriage in the deep, dark, cold water.	你突然有一种下沉的感觉。当你看着汽車泡在那深不见底、冰冷黑暗的海里，你的胃部开始隐隐抽痛。
0x0100000700006990	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Interfacing	The seawater has already started to corrode the metalworks.	海水已经开始腐蚀金属制品了。
0x010000070000699F	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Interfacing	The seawater is already corroding the fuel lines, metalworks, and undercarriage components. It's seeping into the various modules and short-circuiting the electrical systems, including the electro-magnetic steering and brakes...	海水已经腐蚀了燃料管、金属制品、还有底盘组件。它还渗入了各种各样的组件，让电气系统短路，包括电磁转向器和刹車……
0x01000007000069BB	Dialogue Text	SOUTHCOAST / SUNKEN MOTOR CARRIAGE	Sunken Motor Carriage	The motor carriage sits in the salty ocean water, cold and sad, and doesn't provide an immediate answer.	汽車坐在咸咸的海水里，冰冷又悲伤，它没有立即给出答案。
