ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000040001501A	Dialogue Text	FRITTE / APOTHECARY	Encyclopedia	Their logo is the bloodless rose -- pure white, untouched by harm.	他们的商标是毫无血色的玫瑰——纯白，不受一点伤害。
0x0100000500002971	Dialogue Text	FRITTE / APOTHECARY	Frittte clerk	"Mkay, here. I hope Saint-Batiste makes you feel better or something."	“好的，给你。希望圣巴蒂斯特会让你感觉好受一些。”
0x0100000500002977	Dialogue Text	FRITTE / APOTHECARY	Frittte clerk	"Mkay, here. I hope Saint-Batiste makes you feel better or something."	“好的，给你。希望圣巴蒂斯特会让你感觉好受一些。”
0x010000050000297D	Dialogue Text	FRITTE / APOTHECARY	Frittte clerk	"Mkay, here. I hope Saint-Batiste makes you feel better or something."	“好的，给你。希望圣巴蒂斯特会让你感觉好受一些。”
0x0100000600018421	Dialogue Text	FRITTE / APOTHECARY	Tutorial Agent	NOSAPHED heals +1 Health. DROUAMINE heals +3 Health. MAGNESIUM heals +1 Morale. HYPNOGAMMA heals +3 Morale.	鼻通灵+1点生命值。多巴宁+3点生命值。镁+1点意志。海普伽叮+3点意志。
0x010000060001A6D8	Dialogue Text	FRITTE / APOTHECARY	Saint-Batiste Pharmaceutics	A small cabinet on the wall is filled with various medicine bottles, nasal sprays and blister packs. They all bear the Saint-Batiste Pharmaceutics logo.	墙上有一个小橱柜，里面装满了各式各样的药瓶，鼻用喷雾和吸塑装。上面全都有圣巴蒂斯特制药的商标。
0x0100002B000869F2	Dialogue Text	FRITTE / APOTHECARY	Saint-Batiste Pharmaceutics	A small cabinet on the wall is filled with various medicine bottles, nasal sprays and blister packs. They all bear the Saint-Batiste Pharmaceutics logo.	墙上有一个小橱柜，里面装满了各式各样的药瓶，鼻用喷雾和吸塑装。上面全都有圣巴蒂斯特制药的商标。
0x0100002B00086A16	Dialogue Text	FRITTE / APOTHECARY	You	[Leave.]	[离开。]
0x0100002B00086DD9	Dialogue Text	FRITTE / APOTHECARY	You	"I want to buy some ammonia."	“我想买点氨。”
0x0100002B00086DE0	Dialogue Text	FRITTE / APOTHECARY	You	"A bottle of magnesium, please."	“来一瓶镁片，谢谢。”
0x0100002B00086DE6	Dialogue Text	FRITTE / APOTHECARY	You	"I need Drouamine."	“我需要多巴宁。”
