ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000060001491D	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Shivers	Behind this building -- the other one. Once filled with engineers and designers of Feld Electric, now collapsed and dead, but for some rats... You feel drawn, for some reason, to the faded mural again.	在这栋大厦之后——是另一栋大厦。曾经里面都是菲尔德电气的工程师和设计师，现在只剩断壁颓垣、白骨累累，不过对于某些老鼠来说……不知道为什么，你被一幅褪色的壁画吸引住了。
0x010000060001D7D9	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	I'm dumb.	我无话可说。
0x010000060001D7E7	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	Fine. Okay.	好吧。很好。
0x010000060001D7F4	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Perception (Sight)	The scattering of bullet holes looks like one giant smiling mouth. Smiling its deadly smile.	散布的弹孔看起来就像一张巨大的微笑的嘴。展露出致命的微笑。
0x010000060001D7FB	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Perception (Sight)	The scattering of bullet holes looks like one giant smiling mouth. Smiling its deadly smile. Laughing at you and the world and the living.	散布的弹孔看起来就像一张巨大的微笑的嘴。展露出致命的微笑。嘲笑着你，这个世界，还有活着的人们。
0x010000060001D80B	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	What *is* this...	这*是*什么……
0x010000060001D813	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Empathy	Maybe you should change it. They were praying... screaming...	也许你应该改变它。他们在祈祷……尖叫……
0x010000060001D81F	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Logic	Remember what Trant Heidelstam said about Feld.	记起特兰特·海德斯塔姆口中菲尔德的故事。
0x010000060001D827	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Reaction Speed	Or maybe...	或者也许……
0x0100002100000B93	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	"You mentioned Coalition forces. Could it have been them against the wall?"	“你刚说联盟军队。墙边的可能是他们吗？”
0x0100005A0000FD24	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Perception (Sight)	A scattering of bullet holes is spread across the cracked wall, reaching from one corner to the other.	破裂的墙上布满了弹孔，从一个角落一直延伸到另一个角落。
0x0100005A0000FD36	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	Why this many bullet holes?	为什么有这么多弹孔？
0x0100005A0000FD36	tooltip1	WESTCOAST / EXECUTIONS VISCAL	You	Bullet holes on the plaza.	广场上的弹孔。
0x0100005A0000FD36	tooltip2	WESTCOAST / EXECUTIONS VISCAL	You	Bullet holes in the back yard.	后院的弹孔。
0x0100005A0000FD36	tooltip3	WESTCOAST / EXECUTIONS VISCAL	You	Know about the revolution.	了解大革命的事。
0x0100005A0000FD36	tooltip4	WESTCOAST / EXECUTIONS VISCAL	You	Know about Feld Electrical.	了解菲尔德电气的事。
0x0100005A0000FD3B	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	Walk away. [Leave.]	走开。[离开。]
0x0100005A0000FD4B	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Visual Calculus	A row of ghostly shades stand facing the wall. There are many of them, a dozen at least, their heads lowered and eyes blindfolded. It's quiet. No sound, no movement.	一排幽影面对墙站立着。有很多，至少十几个，他们的头部低垂，眼睛也被蒙上了。周围很安静。没有声音，没有动作。
0x0100005A0000FD50	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Visual Calculus	Unable to piece together the *big picture* just now. There's a hole in the hypothesis.	现在还没办法把*完整的画面*拼凑起来。假说里还存在一个漏洞。
0x0100005A0000FE5C	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	Who were they?	他们是谁？
0x0100005A0000FE76	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Esprit de Corps	Comrades. The forsaken, the wretched, who tried to rise against the horrors of the world.	同伴们。那些被遗弃的可怜人，他们想要挺身而出，反抗世界的恐怖。
0x0100005A0000FE7B	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Esprit de Corps	Foreign dissidents, unwashed criminals, and hoi polloi. Such is your belief, officer.	外国异见分子，下层罪犯，还有普通民众。这就是你的信念，警官。
0x0100005A0000FE80	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Esprit de Corps	Leeches, fleas, and thieves. All the freeloader scum living off the hard work of others. Such is your belief.	水蛭，跳蚤，还有小偷。这些吃白食的人渣靠着他人的辛勤劳动生活。这就是你的信念。
0x0100005A0000FE85	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Esprit de Corps	Collateral damage on the path toward normalcy and progress. Such is your belief, officer.	通往常态和发展道路上的连带伤害。这就是你的信念，警官。
0x0100005A0000FE91	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Esprit de Corps	Ordinary people -- familiar, each and every one of them.	普通民众——熟悉的，每一个人。
0x0100005A00011A5D	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Kim Kitsuragi	"Hmm, correct." The lieutenant examines the wall closely. "The density of the bullet holes is unusual, even in a general *average bullet hole frequency in Martinaise* sense. Grim affairs."	“嗯，没错。”警督仔细检查着墙壁。“这些弹孔的密度很不寻常，就算以马丁内斯的*弹孔平均出现频率*来说，都有些夸张了。”
0x0100005A00011A62	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Perception (Sight)	The density and spread of these bullet holes is surprising -- this takes *a lot* of bullets. Fully-automatic rifle fire.	这些弹孔的密度和覆盖范围都很惊人——需要*大量*子弹才能达到这种效果。一定是全自动步枪的杰作。
0x0100005A00011A67	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	"Oh my god, look at all these bullet holes! I haven't seen any other bullet holes in the walls before, somehow."	“我的天，看看这些弹孔！不知道为什么，我之前从没在墙上见过其他弹孔。”
0x0100005A00011A6D	Alternate1	WESTCOAST / EXECUTIONS VISCAL	You	"Look, Kim. Even more bullet holes. Something's definitely gone down here."	“看，金。还有更多弹孔。这里肯定发生过什么。”
0x0100005A00011A6D	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	Even more bullet holes. Something has definitely happened here.	还有更多弹孔。这里肯定发生过什么。
0x0100005A00011A75	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Visual Calculus	Ten metres away -- other shades are lined up in an orderly manner, automatic rifles primed. A gust of wind blows by -- the coats of the firing squad flap slowly in the breeze. A single person stands on the side.	10米外——其他阴影井井有条地排成一行，自动步枪蓄势待发。一阵狂风吹过——行刑队的衣角在风中慢慢飞舞。有一个身影站在边上。
0x0100005A00011A7B	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Visual Calculus	A long time has passed since the moment of this fusillading. Rain and brine have since washed all the blood away. Not a trace remains.	自从那次齐射以来，已经过去了很长时间。血液早已被大雨和海水冲洗干净。没有留下一丝痕迹。
0x0100005A00011A81	Alternate1	WESTCOAST / EXECUTIONS VISCAL	You	"Kim, who was who in this execution?"	“金，谁参与了这次行刑？”
0x0100005A00011A81	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	Who was who in this execution? I need to understand.	谁参与了这次行刑？我需要搞清楚。
0x0100005A00011A87	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Kim Kitsuragi	At first the lieutenant doesn't say a word... he just stares at the wall. "I don't know," he says finally. "I don't know who died here, lined up beside that horrible wall. It could have been any of the parties involved in the Revolution."	一开始，警督一言不发……只是默默地凝视墙壁。“我不知道，”他终于开了口。“我不知道谁死在这里，在那堵可怕的墙边一字排开。跟大革命有关的任何党派都有可能。”
0x0100005A00011A92	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	You	"What about people from the Coalition? The so-called moralists?"	“联盟的人呢？那些所谓的道德家呢？”
0x0100005A00011A98	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Kim Kitsuragi	"Yeah... it's very unlikely the Coalition forces were the ones who died here. They were always the *last* ones against the wall."	“是啊……死在这里的不太可能是联盟的人。他们总是*最后*靠在墙边的人。”
0x0100005A00011A9E	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Visual Calculus	Seven men in combat uniforms and dark coats, holding automatic rifles aimed at the people. Soldiers from some side... but from which one?	7个穿着战斗制服和黑大衣的男人，手握自动步枪，枪口对准普通民众。是某一方的士兵……但到底是哪一方的？
0x0100005A00011AA4	Dialogue Text	WESTCOAST / EXECUTIONS VISCAL	Visual Calculus	The abundance of bullet holes leads to two options: either an inordinate amount of executions were performed here, or they did not use a *conscience round* -- where only one soldier has the loaded rifle. Looks like this was a mass execution with everyone fully armed.	这么多弹孔只会有两种可能：要么是在这里执行过大量死刑，要么就是他们没用*道德子弹*——只有一个士兵拿着上膛的步枪。看来这是一场大规模的处决，每个人都是全副武装。
