ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000500000205	Dialogue Text	CHURCH ORB / cone of silence	Tiago	Maybe it's possible to... talk to it?	也许可以……跟它说话？
0x010000050000020D	Dialogue Text	CHURCH ORB / cone of silence	Kim Kitsuragi	"Officer, what are you looking at?" He follows your gaze, attempting to see whatever it is that you are seeing.	“警官，上面有什么东西吗？”警督追随者你的目光，试着辨认你看到的东西。
0x010000050000022A	Dialogue Text	CHURCH ORB / cone of silence	Inland Empire	It's like you see your own face reflected back at you in the vanishing geometry -- a strange, alien image that's supposed to be you.	就好像在消失的几何图形中看见你自己反射出来的脸庞——本应是你的一种奇怪又陌生的图像。
0x01000005000016D2	Dialogue Text	CHURCH ORB / cone of silence	Tiago	Maybe it's possible to... talk to it?	也许可以……跟它说话？
0x010000060001E3EE	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	But to what? There is almost nothing.	但是，跟什么说话呢？那里几乎什么也没有啊。
0x010000060001E3FB	Dialogue Text	CHURCH ORB / cone of silence	You	"Can't hear shit."	“什么狗屁都听不见。”
0x010000060001E40B	Dialogue Text	CHURCH ORB / cone of silence	Volition	Relax. It'll be okay.	放松，会没事的。
0x010000060001E414	Dialogue Text	CHURCH ORB / cone of silence	Physical Instrument	It's *climbing*. Climbing down, holding on the beams.	它正在*攀爬*。爬下来，抓在横梁上。
0x01000021000004F1	Dialogue Text	CHURCH ORB / cone of silence	You	"It's probably nothing, just our imagination."	“可能什么也不是，只是我们的想象。”
0x01000021000004FA	Dialogue Text	CHURCH ORB / cone of silence	Kim Kitsuragi	The lieutenant doesn't reply, but you can sense him tense up next to you.	警督没有回应，但你能感到身边的他变得有些紧张。
0x0100002100000507	Dialogue Text	CHURCH ORB / cone of silence	Rhetoric	He doesn't seem entirely convinced, though.	不过他好像没有完全信服。
0x010000580000F8C4	Dialogue Text	CHURCH ORB / cone of silence	You	"Not really, but it's extraordinary. I've never experienced anything like this."	“不算吧，不过真的很特别。我从来没有过这种经历。”
0x010000580000F8CB	Dialogue Text	CHURCH ORB / cone of silence	Kim Kitsuragi	"I wonder why the... church was built with such strange acoustics..."	“不知道为什么……教堂要搞出这么奇怪的音响效果……”
0x010000580000F8D2	Dialogue Text	CHURCH ORB / cone of silence	Empathy	His detached tone conceals how uncomfortable he is.	他用冷漠的语气掩饰着自己的不安。
0x010000580000F8DC	Dialogue Text	CHURCH ORB / cone of silence	Conceptualization	Maybe the church was designed in this way to prevent boisterous activity -- singing and dancing -- on its premises?	也许教堂这么设计是为了防止喧闹的活动——不让别人在这个地盘上载歌载舞？
0x010000580000F8E6	Dialogue Text	CHURCH ORB / cone of silence	You	"Maybe they wanted to discourage singing and dancing."	“也许他们不想别人在这里载歌载舞。”
0x010000580000F901	Dialogue Text	CHURCH ORB / cone of silence	You	"Hey, what if it's something *paranatural*?"	“喂，我说，如果是*超自然现象*会怎么样？”
0x010000580000F90C	Dialogue Text	CHURCH ORB / cone of silence	You	"Whatever it is, it's definitely real. Something odd is happening around us."	“不管是什么，它肯定是真实的。我们周围确实发生了很奇怪的事情。”
0x010000580000F912	Dialogue Text	CHURCH ORB / cone of silence	Kim Kitsuragi	"Hmm, could be..."	“嗯，也许吧……”
0x010000580000F91A	Dialogue Text	CHURCH ORB / cone of silence	Kim Kitsuragi	"Please, detective, not this again."	“拜托，警探，别又来这一套。”
0x010000580000F921	Dialogue Text	CHURCH ORB / cone of silence	Suggestion	He's trying to act dismissive, but at this particular moment, he's more open than usual to the idea of paranatural phenomena.	“拜托，警探，别又来这一套。”
0x010000580000F934	Dialogue Text	CHURCH ORB / cone of silence	Perception (Hearing)	Maybe if you were to stand in just the right spot, even your footsteps would be completely silent...	如果站在正确的点上，说不定连你的脚步声都会完全消失不见……
0x010000580000F93C	Dialogue Text	CHURCH ORB / cone of silence	Logic	It seems that sound here is detached from its source somehow, if not blotted out outright. Truly unusual.	看来这里的声音以某种方法挣脱了它的源头，如果没有被彻底清除的话。真的很不寻常。
0x010000580000F973	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	Sounds like the pale.	听起来很像灰域。
0x010000580000F986	Dialogue Text	CHURCH ORB / cone of silence	Half Light	It's unnerving.	让人感觉很不安。
0x010000580000F9A8	Dialogue Text	CHURCH ORB / cone of silence	You	How do I know what the pale sounds like?	我怎么知道灰域是什么声音？
0x010000580000F9B4	Dialogue Text	CHURCH ORB / cone of silence	You	No. Let me just listen.	不。让我听听。
0x010000580000F9C9	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	From recordings. Of the far pale. You've heard them. We all have.	从录音里。遥远的灰域。你听过它们的声音。我们全都听过。
0x010000580000F9E6	Dialogue Text	CHURCH ORB / cone of silence	Perception (Hearing)	You can hardly hear your own breathing.	你几乎听不见自己的呼吸声了。
0x010000580000F9FC	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	You know, in the middle of the last century, there was a group of Revacholian painters who famously disdained the use of black.	你知道吗，在上世纪中叶，有一群瑞瓦肖的画家就是因为鄙视使用黑色闻名的。
0x010000580000FA13	Dialogue Text	CHURCH ORB / cone of silence	You	What did they have against black?	他们对黑色有什么意见吗？
0x010000580000FA19	Dialogue Text	CHURCH ORB / cone of silence	You	Why only Revacholian?	为什么只有瑞瓦肖人？
0x010000580000FA2C	Dialogue Text	CHURCH ORB / cone of silence	You	Can I use this to see through the darkness up there, somehow? (Proceed.)	这些信息能帮我看穿周围的黑暗吗？（继续。）
0x010000580000FA33	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	No, this is just an intellectual musing. In fact, it's probably dangerous to waste time like this. You should stop.	不，这只是一种智力的冥想。事实上，这样浪费时间可能是很危险的。你应该停下来。
0x010000580000FA3F	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	Revachol was an overwhelmingly colourful place back then. They made most of the world's dyes here.	那个时候的瑞瓦肖是一个极为色彩艳丽的地方。世界上绝大多数染料都是在这里生产的。
0x010000580000FA45	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	They wanted to capture what it really felt like to look at the world -- to be *inside* colour, to be blinded by early afternoon light glittering on the crests of sea waves.	他们真的很想捕捉到看着这个世界的真实感受——*深入*色彩内部，为午后浪尖的闪光而盲目。
0x010000580000FA57	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	Such an effect is best achieved by using the juxtaposition of complementary colours -- rather than the addition of black -- to create contrast.	这种效果最好是使用并置的互补色实现——而不是增加黑色——来创造对比。
0x010000580000FA65	Dialogue Text	CHURCH ORB / cone of silence	You	Hmm, maybe I should take up painting.	嗯，也许我应该开始画画。
0x010000580000FA6B	Dialogue Text	CHURCH ORB / cone of silence	You	Seems unfair to black. I like black, look at it!	好像对黑色不太公平。我喜欢黑色，看看它！
0x010000580000FA80	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	It's unclear if you have enough years left in you to make up for your lack of technique...	不清楚你余下的人生是否足够填补技术的鸿沟……
0x010000580000FA88	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	Sometimes an encounter with an opposing aesthetic is required for one to truly grow into one's tastes and preferences.	有时候，遇到一种对立的审美理念是真正提升自我品味和偏好的必要条件。
0x010000580000FA90	Dialogue Text	CHURCH ORB / cone of silence	Encyclopedia	It would likely be easier to explain with a hands-on demonstration. Alas!	要是有亲身实践的案例，那解释起来就容易多了。哎！
0x010000580000FA96	Dialogue Text	CHURCH ORB / cone of silence	You	Sounds complicated.	听起来很复杂。
0x010000580000FAB2	Dialogue Text	CHURCH ORB / cone of silence	Half Light	Prepare for an attack!	准备迎战！
0x010000580000FABA	Dialogue Text	CHURCH ORB / cone of silence	Kim Kitsuragi	"Officer, is there something up there?" The lieutenant follows your gaze, attempting to see whatever it is that you are seeing.	“警官，上面有什么东西吗？”警督追随者你的目光，试着辨认你看到的东西。
