ArticyId	TermType	ConvTitle	Actor	En	Zh
0x010000040001682C	Dialogue Text	PARTY / CUNO MAIN	You	"What am I missing? What haven't I done?"	“我错过什么了？还有什么没做的？”
0x0100000400016834	Dialogue Text	PARTY / CUNO MAIN	Cuno	"We never did that ballistics shit here." He sniffs. "Let's check out where he shot my gimp. You should know that shit, pig."	“我们这里从来不搞弹道什么的狗屁。”他闷哼一声。“我们找找他是从哪里打中我家瘸子的。你应该知道那些屁事的，猪猡。”
0x010000040001683F	Dialogue Text	PARTY / CUNO MAIN	Suggestion	Good one, Cuno. It doesn't have to hold in court. Just establish a line of sight and he'll do the rest himself.	不错，坤诺。确实没必要送上法庭。只要视线瞄准，他自己会继续做完一切。
0x010000040001684A	Dialogue Text	PARTY / CUNO MAIN	Cuno	"We can take another look in the mini-tower, where the bed was." He sniffs. "Let's check out where he shot my gimp. Ballistics shit. You should know that, pig."	“我们可以再去看看那个小塔，就是有床的那个地方。”他闷哼一声。“我们找找他是从哪里打中我家瘸子的。你应该知道那些屁事的，猪猡。”
0x01000004000168BC	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Cuno's in the game. Let's fucking do this, pig." he whispers, excitedly.	“坤诺决定加入这个游戏。赶快他妈的开始吧，猪猡。”他兴奋地低语。
0x010000060000EC16	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Yes, Cuno can see that. You got this. Think of like..." He rubs his nose. "... what *other* shit he's done too. Cuno can tell he's a killer."	“是啊，坤诺看得到。你可以的。就好像……”他摸了摸鼻子。“……他*还*做了些什么破事。坤诺能看出来，他是个杀人犯。”
0x010000060000EC20	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Good." He nods. "I think it's going really fucking well." He leans closer. "Just cut it with the punching shit, alright? Makes us look like we got nothing."	“很好。”他点点头。“我觉得一切进展还真他妈的不错。”他又靠近了些。“用那个什么鬼东西把它剪开，明白吗？装着好像我们什么也不知道。”
0x010000060000EC28	Dialogue Text	PARTY / CUNO MAIN	Cuno	"He's into some ancient warrior shit. Hate shit. Pressure cook him. Push it on him, like -- motive shit. Pig style."	“他对什么古代战士之类的屁事很着迷。狗屁仇恨。他肯定很有压力。给他点压力，比如——作案动机之类的。按照猪猡的方式来。”
0x010000060000EC58	Dialogue Text	PARTY / CUNO MAIN	Drama	Good. Talk to him, demonstratively pick it up, then push it along with the other accusations. This is a good idea.	很好。跟他聊聊，公开挑明，然后用其他指控推进。这是个好主意。
0x010000060000EC6E	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Well. There's the gun," he says, scratching his head... "Why you still haven't picked it up and used it against him is beyond Cuno."	“这个嘛。有枪啊。”他抓了抓脑袋，开口说到……“你怎么还不把它捡起来，然后用来对付他啊，那就超过坤诺了。”
0x010000060000EC7F	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Cuno's in the game. Let's fucking do this, pig." he whispers, excitedly.	“坤诺决定加入这个游戏。赶快他妈的开始吧，猪猡。”他兴奋地低语。
0x010000060000ECA9	Dialogue Text	PARTY / CUNO MAIN	Composure	You hear that? He thinks you're very close...	听到了吗？他觉得你们很亲近……
0x010000060000ECCE	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Also, the gun." The scratches his head. "Why you still haven't picked it up and used it against him is beyond Cuno."	“还有，那把枪。”他抓了抓脑袋，开口说到……“你怎么还不把它捡起来，然后用来对付他啊，那就超过坤诺了。”
0x010000060000ECDE	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Yeah, Cuno can see that," the kid says seriously. "So can fuckin' murderoonie here. You should stop -- it's weird as fuck."	“是啊，坤诺能看见，”小孩严肃地说到。“那些该死的杀人犯也能。你应该住手——感觉太他妈的诡异了。”
0x010000060000ED16	Dialogue Text	PARTY / CUNO MAIN	Logic	Of course -- why didn't *you* think of it?! Motive shit. Pig style.	当然——*你*为什么没想到？！狗屁动机什么的。猪猡的风格。
0x01000006000169E8	Dialogue Text	PARTY / CUNO MAIN	Cuno	Cuno doesn't say anything. Stares out the window. You're on your own.	坤诺什么也没说，静静凝视着窗外。你只能靠自己了。
0x01000006000169F5	Dialogue Text	PARTY / CUNO MAIN	Inland Empire	Something tells you this is going to be a rough ride.	你有种预感，这将会是一趟艰难的旅程。
0x01000006000169FF	Dialogue Text	PARTY / CUNO MAIN	You	"What happened to your art thing?"	“你的艺术品怎么样了？”
0x0100000600016A07	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Locust city?" He swallows. "Cuno dropped that art shit coz Cuno's fucking *poor* and has shit for brains."	“你说蝗城吗？”他吞了吞口水。“坤诺把那个狗屁艺术品弄掉了，因为坤诺他妈的*很穷*，而且脑子里还进屎了。”
0x0100000600016A0F	Dialogue Text	PARTY / CUNO MAIN	Empathy	A truly rare moment of self pity.	真正难能可贵的自我怜悯时刻。
0x0100000600016A1D	Dialogue Text	PARTY / CUNO MAIN	Cuno	"You better not make Cuno fucking *cry* about his art-shit, okay? Change the subject, Cuno doesn't do that shit no more. Fuck that shit, fuck *everything*."	“你最好别让坤诺为那个该死的狗屁艺术品流眼泪，明白吗？换个话题，坤诺我他妈的再也不做这种事了。都他妈的滚蛋吧，*一切*全他妈的操蛋。”
0x0100000700008CCF	Dialogue Text	PARTY / CUNO MAIN	Rhetoric	Apparently he has never formed an opinion on the matter and isn't going to do so on the fly either.	很显然，他对这个问题从来没有自己的看法，不工作的时候也不打算这么做。
0x0100000700008CD6	Dialogue Text	PARTY / CUNO MAIN	You	"So who's side are you on?"	“所以，你站在哪边？”
0x0100000700008CDC	Dialogue Text	PARTY / CUNO MAIN	You	"Small time shit. Got it."	“不重要的屁事。明白了。”
0x0100000700008CE4	Dialogue Text	PARTY / CUNO MAIN	Cuno	The kid nods, obviously relieved.	小孩点点头，显然轻松了不少。
0x0100000700008CEC	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Whose side's Cuno on?!" His tone gets angry. "Cuno's on fucking Cuno's side, pig! This is beneath the Cuno. Don't talk to me about this playground bullshit. You're getting shit in Cuno's head."	“坤诺站哪边？！”他的语气变得有些愤怒。“坤诺当然他妈的是站在坤诺这边啊，猪猡！比坤诺低级多了好吗。不要再他妈的跟我说这些废话。你他妈的把坤诺的脑子都搞乱了。”
0x0100000700008CF3	Dialogue Text	PARTY / CUNO MAIN	Empathy	Being put in the spotlight like this makes him feel exposed, makes him lash out.	把他放在聚光灯下让他觉得暴露无遗，这会让他抓狂。
0x0100000700008D06	Dialogue Text	PARTY / CUNO MAIN	Logic	He was probably collecting tare or stealing stuff that wasn't nailed down.	他可能只是捡些破烂，或者偷些没被钉起来的东西。
0x0100000700008D16	Dialogue Text	PARTY / CUNO MAIN	Empathy	Just don't ask him about it. Boys in that age can be quite sensitive about such matters.	别问他了。那个年纪的小男孩对这类事情挺敏感的。
0x0100000700008D1F	Dialogue Text	PARTY / CUNO MAIN	You	"It's okay, I like her too."	“没事的，我也喜欢她。”
0x0100000700008D25	Dialogue Text	PARTY / CUNO MAIN	You	"I'm sorry, Cuno. I'll stop."	“抱歉，坤诺。我不说了。”
0x0100000700008D2B	Dialogue Text	PARTY / CUNO MAIN	You	"Your secret is safe with me, Cuno." (Give him a wink.)	“我不会把你的秘密说出去的，坤诺。”（朝他眨眨眼。）
0x0100000700008D33	Dialogue Text	PARTY / CUNO MAIN	You	"Lilienne is nice though."	“想来莉莉恩挺不错的。”
0x0100000700008D3A	Dialogue Text	PARTY / CUNO MAIN	You	"About Martinaise..."	“关于马丁内斯……”
0x0100000700008D40	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Well *I* don't," the kid says, pointing to himself with his thumb. "Cuno's got no time for this shit. He's a pig now."	“*我*没有，”小孩用拇指指着自己。“坤诺没时间管这些屁事。他现在是头猪了。”
0x0100000700008D47	Dialogue Text	PARTY / CUNO MAIN	Drama	He tries to keep his voice casual and businesslike, but it trembles ever so slightly.	他努力想让自己的声音放松而镇定，但还是能感到微微的颤抖。
0x0100000700008D4F	Dialogue Text	PARTY / CUNO MAIN	Cuno	"You fuckin' better, pig!" His index finger is pointed straight at you. "We're partners now. You got to be professional with the Cuno."	“你他妈最好做到，猪猡！”他伸出食指直直地指向你。“现在我们是搭档了。你要对坤诺专业一点。”
0x0100000700008D58	Dialogue Text	PARTY / CUNO MAIN	Cuno	"What fucking secret?! You gotta stop this shit with me!" He's trying to control himself. "Cuno's a pig. We're partners now. You got to be professional with the Cuno. Talk sense to him."	“什么狗屁秘密？！你他妈的最好赶快给我闭嘴！”他努力控制自己。“坤诺是猪猡。我们现在是搭档了。你要对坤诺专业一点。说话要讲道理。”
0x0100000700008D64	Dialogue Text	PARTY / CUNO MAIN	Cuno	"She's okay," the kid suddenly speaks with a high pitched squeak. "I mean... With all the fucking drunks and relics around, she's like the only one who isn't a walking shit hole. She's okay."	“她还不错，”小孩突然尖尖地提高嗓门。“我是说……周围这么多该死的醉汉，还有死人，她是两条腿的垃圾里面唯一不烂的人。她不错。”
0x0100000700008D72	Dialogue Text	PARTY / CUNO MAIN	Suggestion	Sounds like the kid has a soft spot for Lilienne.	看来这个小孩对莉莉恩有好感。
0x0100000700008D7F	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Yeah?" He places his hands on the hips, waiting for your question.	“是吗？”他把双手搭在后腰下面，等着你的提问。
0x0100000700008D90	Dialogue Text	PARTY / CUNO MAIN	Drama	The kid is admitting falsehood, sire. He just doesn't know.	这个孩子在撒谎，大人。他根本不知道。
0x0100000700008D9E	Dialogue Text	PARTY / CUNO MAIN	Rhetoric	This is the extent of the boy's knowledge.	这就是一个小男孩的知识范围。
0x0100000700008DA6	Dialogue Text	PARTY / CUNO MAIN	Rhetoric	The *Train*. Speed-Train. Amphetamine Express.	*火车*。思必得号快车。安非他命专列。
0x0100002F00012CDD	Dialogue Text	PARTY / CUNO MAIN	You	"We still need to get him back, but... yeah. We got our man."	“我们还要把他带回来，不过……好吧。有我们自己的人。”
0x0100002F00012CE6	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Makes you proud to be a pig," the kid says. "Oink oink."	“让你能骄傲的做一头猪，”小孩说到。“哼哼。”
0x0100008200003F16	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Fucking island is spooky as fuck. Cuno never liked it here."	“该死的岛吓人的跟鬼一样。坤诺从来都不喜欢这里。”
0x0100008200003F1C	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Cuno is present on the scene." He looks around with his hands on his hips.	“坤诺在场”。他双手叉在腰后，看了看周围。
0x0100008200003F2E	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Talk to Cuno."	“跟坤诺说说吧。”
0x0100008200003F43	Dialogue Text	PARTY / CUNO MAIN	Cuno	"A fucking giant stick insect..."	“一只该死的巨型竹节虫……”
0x0100008200003F60	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Cuno's a pig now." He picks his tooth with a dirty fingernail.	“现在坤诺是一头猪了。”他用肮脏的指甲挖了挖牙齿缝。
0x01000082000053C2	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Shoot," he says with a nod. "Cuno knows this shithole better than anyone."	“说吧，”他点点头。“坤诺比任何人都了解这个烂地方。”
0x01000082000053C8	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Totally, pig. Cuno's in the same shit every time he's coming off speed." His tone gets parental. "You need to *medicate* that shit."	“是啊，猪猡。每次嗑完思必得，坤诺也会这个样子。”他的语气变得像个家长。“沾上那种狗屎，你只能用*药物治疗*。”
0x01000082000053CE	Dialogue Text	PARTY / CUNO MAIN	You	"Mag?"	“玛格？”
0x01000082000053D4	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Uh..." He looks confused. "Well you know, pig... Shit's fucked. And like... Cuno's got no time for this small time shit. Cuno's got *enterprises* to run."	“呃……”他看上去很困惑。“你也知道的，猪猡……都是瞎扯淡。再说……坤诺没时间搭理这些不重要的破事。坤诺有*公司*要管。”
0x01000082000053E0	Dialogue Text	PARTY / CUNO MAIN	Cuno	"What do you mean, what's going on? This is good shit." He seems surprised. "You wouldn't believe the crap Cuno's getting from the trucks."	“你说怎么了，是什么意思？这是他妈的好事啊。”他看起来有些吃惊。“你绝对不会相信，坤诺从那个卡车里弄到了什么”。
0x01000082000053F7	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Cuno used to hang there sometimes. It's a real shit-hole. Everyone is old or a fucking drunk or dead, except..."	“坤诺有时候会去那里玩。真是个烂地方。所有人都老了，要么就是醉醺醺的，要么就是死了，不过……”
0x01000082000053FD	Dialogue Text	PARTY / CUNO MAIN	You	"What do you know about the village southwest, across the canal?"	“运河对面西南方向的那个村子，你了解多少？”
0x0100008200005409	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Yeah, pig... yeah." He scratches his head. "It's a... seafort. For... It's for defence, pig. Don't bore Cuno with this historic shit."	“是啊，猪猡……没错。”他搔了搔头。“那是个……海堡。为了……为了防御的，猪猡。不要拿这种狗屁历史问题来烦坤诺。”
0x010000820000540F	Dialogue Text	PARTY / CUNO MAIN	You	"There seems to be a seafort in the bay. Do you know anything about it?"	“海湾那边好像有个海堡。你知道什么吗？”
0x0100008200005415	Dialogue Text	PARTY / CUNO MAIN	Cuno	"It's Cuno's," he says without pause or hesitation.	“那是坤诺的，”他脱口而出，没有丝毫停顿或犹豫。
0x0100008200005421	Dialogue Text	PARTY / CUNO MAIN	You	"No, it's more than that. It's like the city is speaking to me."	“不对，比这个更严重。就好像这座城市在跟我说话。”
0x0100008200005427	Dialogue Text	PARTY / CUNO MAIN	You	"Whose statue is it on the roundabout?"	“环岛上那个雕像是谁？”
0x010000820000542D	Dialogue Text	PARTY / CUNO MAIN	You	"Well, I have been partying a lot lately..."	“呃，我最近有点嗨过头了……”
0x0100008200005439	Dialogue Text	PARTY / CUNO MAIN	Cuno	"You gotta hit *Magnesolam*, when you get off the train, pig. I always hit it to get the mag back."	“你清醒的时候，一定要试试*镁奥兰*，猪猡。我总是会用，把玛格拿回来。”
0x010000820000543F	Dialogue Text	PARTY / CUNO MAIN	You	"What are your thoughts on the strike?"	“你对罢工有什么看法？”
0x0100008200005445	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Tell 'em Cuno sent you. They'll know what it means."	“就说是坤诺派你来的。他们知道什么意思。”
0x010000820000544B	Dialogue Text	PARTY / CUNO MAIN	Cuno	"Magnesium, pig."	“是镁，猪猡。”
