ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000400013CF3	Dialogue Text	WHIRLING F3 / BARRED DOOR	Half Light	Your foot is ready to explode and punish this *object*!	你的脚已经准备爆发，好好惩罚一下这个*物体*了！
0x0100000400013CFE	Dialogue Text	WHIRLING F3 / BARRED DOOR	Perception (Sight)	It could be that your eyesight is still too poor to notice it... behind that window.	可能是你的视力还是太差，没能注意到它……就在窗户背后。
0x0100000400013D1A	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	"*Disrespecting* the force?!?!" (Kick the door.)	“你敢*不尊重*力量？！？！”（踹门。）
0x0100000400013D20	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	Swallow the rage.	咽下你的怒火。
0x0100000400013D2A	Dialogue Text	WHIRLING F3 / BARRED DOOR	Barred Door	The door receives a thorough disciplining.	这扇门接受过十分彻底地训练。
0x0100000400013D37	Dialogue Text	WHIRLING F3 / BARRED DOOR	Barred Door	The door receives a thorough disciplining -- at the cost of your foot. Your foot hurts. A lot.	这扇门接受过十分彻底地训练——代价就是你的脚。你的脚很疼。非常疼。
0x0100000400013D3D	Dialogue Text	WHIRLING F3 / BARRED DOOR	Barred Door	The sturdy wood door has lost *all* respect for you.	这扇坚固的木门已经*完全*失去了对你的尊重。
0x0100000400013D4D	Dialogue Text	WHIRLING F3 / BARRED DOOR	Electrochemistry	Its pain and grovelling is much to your liking.	它的痛苦和卑微很合你的意。
0x0100000400013D56	Dialogue Text	WHIRLING F3 / BARRED DOOR	Pain Threshold	This kind of stuff would hurt -- if not for you not caring about little things like that.	这种事情很伤人的——若不是因为你不在乎这种小事的话。
0x0100000400013D63	Dialogue Text	WHIRLING F3 / BARRED DOOR	Barred Door	The door receives a thorough disciplining -- and it doesn't even hurt!	这扇门接受过十分彻底地训练——它甚至都不觉得疼！
0x0100000400013D6E	Dialogue Text	WHIRLING F3 / BARRED DOOR	Klaasje (Miss Oranje Disco Dancer)	"Suck on that, door."	“去死吧，门。”
0x0100000400013D7F	Dialogue Text	WHIRLING F3 / BARRED DOOR	Electrochemistry	Filling you with a *belief* in your own body.	让你对自己的身体充满了*信念*。
0x0100000400013D8C	Alternate1	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"Well," the lieutenant cups his ear. "Sounds like *this time* the property damage was at least resultive. Would it hurt to look in?"	“好吧，”警督捂起耳朵。“看来*这次*的财产损失至少是有些成果的。顺便搜查一下应该也无妨吧？”
0x0100000400013D8C	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"Sounds like the property damage wasn't in vain, at least. Would it hurt to look in?"	“看来财产损失至少不是徒然无功的。顺便搜查一下应该也无妨吧？”
0x0100000400013D91	Dialogue Text	WHIRLING F3 / BARRED DOOR	Klaasje (Miss Oranje Disco Dancer)	"I think the brackets broke inside. I've always wanted to know what's in there..."	“我觉得里面得支架坏了。我一直都想知道里面有什么……”
0x0100000400013D98	Dialogue Text	WHIRLING F3 / BARRED DOOR	Empathy	She sounds genuinely curious.	她是真的很好奇。
0x0100000400013DB4	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	"I thought it was an Ace's High moment, Kim."	“我觉得这是做高击掌的好时候，金。”
0x0100000400013DBA	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	"I thought it was an Ace's Low moment, Kim."	“我觉得做低击掌的好时候，金。”
0x0100000400013DC0	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	"Let's see." [Leave.]	“让我们来看看。”[离开。]
0x0100000400013DD3	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"I don't know about that..." The lieutenant smiles an uncomfortable smile.	“那我就不知道了……”警督的笑容有些不自在。
0x0100000400013DD9	Dialogue Text	WHIRLING F3 / BARRED DOOR	Empathy	It totally was.	完全就是。
0x0100000400013DEB	Dialogue Text	WHIRLING F3 / BARRED DOOR	Klaasje (Miss Oranje Disco Dancer)	"Nice." The young woman nods.	“漂亮，”年轻女子点点头。
0x0100000400013E25	Dialogue Text	WHIRLING F3 / BARRED DOOR	Logic	Must be something valuable inside to go through the trouble of protecting it -- the door is very sturdy indeed.	里面肯定有什么贵重东西，所以才会费这么大功夫保护它——这扇门确实很牢固。
0x0100000400015A90	Dialogue Text	WHIRLING F3 / BARRED DOOR	Physical Instrument	It is an unbelievably satisfying sound.	这个声响带来了让人难以置信的满足感。
0x0100000400015A95	Dialogue Text	WHIRLING F3 / BARRED DOOR	Physical Instrument	It is an unbelievably satisfying sound.	这个声响带来了让人难以置信的满足感。
0x010000450000E72A	Alternate1	WHIRLING F3 / BARRED DOOR	Barred Door	The same small, heavy door. No lock in sight.	还是那扇厚重的小门。没看见锁的存在。
0x010000450000E72A	Dialogue Text	WHIRLING F3 / BARRED DOOR	Barred Door	This is a small, heavy door. There is no lock in sight.	这是一扇沉重的小门。没有看见锁的存在。
0x010000450000EE05	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	Push.	用力推。
0x010000450000EE0B	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	Kick the door in.	把门踹开。
0x010000450000EE0B	tooltip1	WHIRLING F3 / BARRED DOOR	You	Anti-Object Task Force initiate.	反物体特遣部队开始行动。
0x010000450000EE0B	tooltip2	WHIRLING F3 / BARRED DOOR	You	Anti-Object Task Force expert!	反物体特遣部队专家！
0x010000450000EE11	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	[Leave.]	[离开。]
0x010000450000EE19	Dialogue Text	WHIRLING F3 / BARRED DOOR	Barred Door	It's barred from the inside. You hear the bar rattle in the brackets.	它从里面挡住了。你听见挡板在支架上嘎吱作响。
0x010000450000EE25	Dialogue Text	WHIRLING F3 / BARRED DOOR	Perception (Hearing)	Sounds like it's heavy too. Very sturdy.	听起来很厚重。非常牢固。
0x010000450000EE3C	Alternate1	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"I don't know, lieutenant-yefreitor." He makes a note.	“我不知道，荣誉警督。”他做了点笔记。
0x010000450000EE3C	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"I don't know." He makes a note in his notebook.	“我不知道。”他在笔记本里做了些笔记。
0x010000450000EE43	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"To the workshop behind the wall." He points somewhere within. "This must be the barred door we saw -- we *could* return and open it from the inside." He looks at the door with suspicion.	“通往墙壁后面的工作室。”他指向里面的某个地方。“这肯定就是我们看见的那扇封闭的门——我们*可以*回去，然后从里面打开它。”他看着那扇门，满脸的怀疑。
0x010000450000EE4B	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	"Where does this lead to?"	“它会通向什么地方？”
0x010000450000EE67	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"It is not the first closed door we've found in this building -- there is also your mysterious blue kitchen door."	“这不是我们在这栋建筑里发现的第一扇门——还有那扇神秘的蓝色厨房门。”
0x010000450000EE74	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	"Do you think it's important?"	“你觉得它重要吗？”
0x010000450000EE79	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"The further we get, the more this building seems to be tied to the case..."	“我们查的越深，这栋建筑跟这起案件的关联就越深……”
0x010000450000EE80	Dialogue Text	WHIRLING F3 / BARRED DOOR	Shivers	Below, the hostel-cafeteria creaks and groans under your added weight -- a skeleton of composite support beams and cantilevers.	下面，加上你的重量之后，旅社餐厅发出嘎吱嘎吱的呻吟声——就像一副由复合支撑梁和悬臂组成的骨架。
0x010000450000EE87	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	Tap on the roof with your foot.	用你的脚轻拍屋顶。
0x010000450000EE8D	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	Shake it off.	甩掉它。
0x010000450000EE93	Dialogue Text	WHIRLING F3 / BARRED DOOR	Shivers	A dull thump. Somewhere inside a wind brace rattles from the imperceptible motion of the building.	一声沉闷的重击。里面的某个地方，一个抗风支撑因为建筑极其细微的运动而嘎吱作响。
0x010000450000EEAA	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"The vigilantes, the cadaver, and..." He nods toward the young woman. "A number of people connected to the case are *in* or around this building. This door is part of it. It's not *unimportant*."	“义务警员，尸体，还有……”他朝年轻女子点点头。“很多跟案件有关的人都在这栋建筑*里面*或者是周围。这扇门也是其中一部分。它不可能*不重要*。”
0x010000450000EF3D	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"It must be connected to the room we found behind the kitchen door. Maybe we should go back and take that elevator up..." He looks at the door with suspicion.	“它肯定跟我们在厨房门背后发现的那个房间是相连的。也许我们应该回去，然后乘电梯上去……”他看着那扇门，满脸都是怀疑。
0x010000450000EF68	Alternate1	WHIRLING F3 / BARRED DOOR	Physical Instrument	This time -- something cracks inside.	这一次——里面有什么东西裂开了。
0x010000450000EF68	Dialogue Text	WHIRLING F3 / BARRED DOOR	Physical Instrument	Something cracks inside.	里面有什么东西裂开了。
0x010000450000EF6D	Alternate1	WHIRLING F3 / BARRED DOOR	Physical Instrument	You give it another, more *ferocious* kick. The door still does not move.	你又来了一下，更*残暴*的一脚。门还是纹丝不动。
0x010000450000EF6D	Dialogue Text	WHIRLING F3 / BARRED DOOR	Physical Instrument	You kick it -- gung ho-style, *entering the premises*-style -- but the door fails to respect the force. All you hear is the bar rattling inside, laughing at you.	你踢了一脚——狂野范，*破门而入*的风格——但是门并不尊重力量。你只听见里面传来挡板的嘎吱声，像是在嘲笑你。
0x010000450000EF7E	Dialogue Text	WHIRLING F3 / BARRED DOOR	Klaasje (Miss Oranje Disco Dancer)	"All right," the woman nods approvingly: "Let's trash the place."	“好吧，”女人点头表示赞同：“我们把这个地方弄个乱七八糟吧。”
0x010000450000EF84	Dialogue Text	WHIRLING F3 / BARRED DOOR	Klaasje (Miss Oranje Disco Dancer)	The woman takes a drag of her ziggie and nods: "Demolish the place."	女人抽了一口烟，然后点点头：“拆了这个地方。”
0x010000450000EFAA	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"Let's not."	“还是不要了。”
0x010000450000EFCB	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"I don't see how this is going to give new results." He measures the door, stoically. "There must be another way in there."	“我不觉得这样能产生什么新结果。”他冷漠地打量着这扇门。“肯定还有别的办法进去。”
0x010000450000EFDD	Dialogue Text	WHIRLING F3 / BARRED DOOR	Inland Empire	Below... in the Union box... was there something behind the window? In the hawthorn branches, brushing against the glass.	在下面……在工会的包厢里……窗户背后是不是有些什么？在山楂树的树枝上，磨蹭着窗户。
0x010000450000EFED	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	What?	什么？
0x010000450000EFF3	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	Ignore the feeling.	忽略这种感觉。
0x010000450000EFFA	Dialogue Text	WHIRLING F3 / BARRED DOOR	Inland Empire	You are a numb, imprecise instrument to ignore this feeling...	你是一个麻木又不精准的工具，忽略这种感觉吧……
0x010000450000F001	Dialogue Text	WHIRLING F3 / BARRED DOOR	Inland Empire	No one knows. It is a fleeting feeling.	没人知道。这种感觉稍纵即逝。
0x010000450000F00E	Dialogue Text	WHIRLING F3 / BARRED DOOR	Perception (Sight)	It could be that your eyesight is still too poor to notice it... behind that window.	可能是你的视力还是太差，没能注意到它……就在窗户背后。
0x010000450000F029	Dialogue Text	WHIRLING F3 / BARRED DOOR	You	"How?"	“怎么做？”
0x010000450000F03A	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"Through the kitchen door, perhaps? Let's explore, rather than destroy."	“也许可以从厨房门穿过去？我们还是多探索吧，不要搞破坏。”
0x010000450000F041	Dialogue Text	WHIRLING F3 / BARRED DOOR	Kim Kitsuragi	"We should search downstairs. There are things about this building we don't know yet."	“我们应该去楼下搜查一下。这栋建筑里还有很多我们不知道的东西。”
0x0100005800009EBA	Dialogue Text	WHIRLING F3 / BARRED DOOR	Barred Door	This is the door to the pinball workshop that you left barred on the inside.	这是通往弹球工作室的门，你没有把里面的挡板拿下来。
0x0100006B0000A8DE	Alternate1	WHIRLING F3 / BARRED DOOR	Physical Instrument	This time -- something cracks inside.	这一次——里面有什么东西裂开了。
